"metric","side","n","min","max","median","mean","sd"
"BTB MPKI (BAClears)","SPEC",26,0.00041,1.63552,0.007845,0.104866923076923,0.325888704361096
"BTB MPKI (BAClears)","Agentic",36,0.1944,1.63295,0.774575,0.826373611111111,0.347000096847683
"Branch MPKI","SPEC",26,0.00132,11.80665,0.847255,2.30900192307692,3.00093293964929
"Branch MPKI","Agentic",36,1.999,6.14465,4.301425,4.130775,1.01108121671096
"Branch-direction MPKI","SPEC",26,0.00097,11.84357,0.824925,2.04765846153846,2.82426167648069
"Branch-direction MPKI","Agentic",36,1.9039,5.0411,3.59695,3.44264027777778,0.828423840694695
"Context switches (/CPU-s)","SPEC",26,0,9.8561,0,2.07681576923077,3.96800515236276
"Context switches (/CPU-s)","Agentic",36,9.8097,1997.3238,549.4301,545.706630555556,457.037169235508
"DRAM read (GB/s)","SPEC",26,0.00181,12.14915,1.516585,2.69387,3.49039261565458
"DRAM read (GB/s)","Agentic",36,0.12105,3.1282,0.456725,0.689756944444444,0.613349127467124
"DSB coverage (%)","SPEC",26,0.01012,99.81155,93.899075,76.5218842307692,28.2240034033438
"DSB coverage (%)","Agentic",36,55.46875,81.4134,66.1248,67.3187472222222,6.43089736198772
"IPC","SPEC",26,0.71902,4.15447,2.18502,2.29794038461538,0.877416724283192
"IPC","Agentic",36,1.32965,2.02375,1.7489,1.72728888888889,0.163950765741736
"L1D miss rate (%)","SPEC",26,0.08381,19.68378,2.40615,4.24633538461538,5.0105118096827
"L1D miss rate (%)","Agentic",36,1.1345,2.7892,1.8866,1.91176944444444,0.423922090766313
"L1D-load MPKI","SPEC",26,0.23535,127.94444,8.12929,15.3532830769231,25.733612046891
"L1D-load MPKI","Agentic",36,2.6738,8.0862,4.839025,5.0203,1.21830183616376
"L1I MPKI (code-read)","SPEC",26,0.03106,106.7709,0.845405,11.1758315384615,22.4719475467351
"L1I MPKI (code-read)","Agentic",36,4.652,24.48605,15.6338,16.1358541666667,4.55767250616827
"L1I stall (% cycles)","SPEC",26,0.02072,27.99014,0.63099,3.25085153846154,5.81713748124879
"L1I stall (% cycles)","Agentic",36,2.73205,8.99885,6.64745,6.47407361111111,1.52354948067644
"L2-load MPKI","SPEC",26,0.00076,18.79417,0.33444,1.87350115384615,3.97341991722327
"L2-load MPKI","Agentic",36,0.2421,0.93775,0.5454,0.550280555555556,0.166022243465738
"L2-load miss rate (%)","SPEC",26,0.00539,66.70153,5.884875,12.70854,16.5048540372646
"L2-load miss rate (%)","Agentic",36,6.876,19.0344,11.417275,12.0564125,3.21393177317519
"LLC MPKI","SPEC",26,2e-05,17.94153,0.042905,0.956384615384615,3.57578206052688
"LLC MPKI","Agentic",36,0.05235,0.328,0.143875,0.163148611111111,0.074514246467285
"LLC miss rate (%)","SPEC",25,0.40887,91.95635,21.18552,24.9874984,24.7095361327877
"LLC miss rate (%)","Agentic",36,16.6922,51.9918,33.472875,34.0735097222222,8.7523637510252
"uop-cache (DSB) MPKI","SPEC",26,0.24339,120.2947,9.278945,32.1276007692308,38.25160633952
