metric,family,n_pooled_windows,n_workloads,pooled_p5,pooled_p95,onevote_p5,onevote_p95,width_ratio
IPC,SPEC,22411,26,0.713451473023546,4.143785507953526,1.190777778051055,3.6527204132413504,1.39
IPC,Agentic,26821,36,0.8057,3.5206,1.4449,1.9816,5.06
Branch MPKI,SPEC,2029,26,0.0042269453638960975,6.467717919096665,0.004695775703034201,6.307271895905075,1.03
Branch MPKI,Agentic,26821,36,0.4697,8.4744,2.3655,5.4919,2.56
Branch-direction MPKI,SPEC,2040,26,0.004274906036740193,6.344327161224467,0.004522004910334524,5.768812796723289,1.1
Branch-direction MPKI,Agentic,26522,36,0.3905,6.4025,2.1039,4.49825,2.51
BTB MPKI (BAClears),SPEC,2040,26,0.00043513995114850444,0.870952217630661,0.0007127279090611386,0.2871234416491176,3.04
BTB MPKI (BAClears),Agentic,26522,36,0.0161,4.3582,0.3635,1.4027,4.18
L1I MPKI (code-read),SPEC,2034,26,0.031349029125349856,106.76562825879229,0.039002429859377095,31.93557356729884,3.35
L1I MPKI (code-read),Agentic,26403,36,0.767,51.8411,9.69165,22.5703,3.97
uop-cache (DSB) MPKI,SPEC,2040,26,0.24264054784980618,107.93130654934825,0.25648240069235856,97.39524258994965,1.11
uop-cache (DSB) MPKI,Agentic,26522,36,7.935,89.1124,28.5247,55.79345,2.98
DSB coverage (%),SPEC,2041,26,0.015662076384528476,99.7425286364361,27.932064320629898,99.55923049212535,1.39
DSB coverage (%),Agentic,26344,36,38.74,92.8524,58.9811,78.3112,2.8
L1D-load MPKI,SPEC,2036,26,0.5178457790188323,127.9311672478158,0.5280876047662628,39.94725403270633,3.23
L1D-load MPKI,Agentic,26449,36,0.8672,10.4495,3.2537,6.9985,2.56
L2-load MPKI,SPEC,2036,26,0.005525633562112086,19.639797098707966,0.001040069832792024,5.26996583744411,3.73
L2-load MPKI,Agentic,26449,36,0.0763,2.4147,0.2732,0.8602,3.98
LLC MPKI,SPEC,2033,26,0.00027291511637972415,17.62571135448337,4.3023759449976286e-05,0.6927665711215156,25.44
LLC MPKI,Agentic,26449,36,0.0154,1.2678,0.0545,0.3154,4.8
DRAM read (GB/s),SPEC,2038,26,0.01905162792713797,14.066509131327189,0.009305251034041864,10.490723070415065,1.34
DRAM read (GB/s),Agentic,26674,36,0.0494,5.6379,0.16745,1.4234499999999999,4.45
Context switches (/CPU-s),SPEC,2035,26,0.0,19.70831690973591,0.0,9.804882831650161,2.01
Context switches (/CPU-s),Agentic,23929,36,0.0,3626.5309,9.8203,1125.58915,3.25
