"metric","side","n","min","max","median","mean","sd","workload"
"BTB MPKI (BAClears)","SPEC",26,0.00041,1.63552,0.007845,0.104866923076923,0.325888704361096,NA
"BTB MPKI (BAClears)","Agentic",36,0.1944,1.63295,0.774575,0.826373611111111,0.347000096847683,NA
"Branch MPKI","SPEC",26,0.00132,11.80665,0.847255,2.30900192307692,3.00093293964929,NA
"Branch MPKI","Agentic",36,1.999,6.14465,4.301425,4.130775,1.01108121671096,NA
"Branch-direction MPKI","SPEC",26,0.00097,11.84357,0.824925,2.04765846153846,2.82426167648069,NA
"Branch-direction MPKI","Agentic",36,1.9039,5.0411,3.59695,3.44264027777778,0.828423840694695,NA
"Context switches (/CPU-s)","SPEC",26,0,9.8561,0,2.07681576923077,3.96800515236276,NA
"Context switches (/CPU-s)","Agentic",36,9.8097,1997.3238,549.4301,545.706630555556,457.037169235508,NA
"DRAM read (GB/s)","SPEC",26,0.00181,12.14915,1.516585,2.69387,3.49039261565458,NA
"DRAM read (GB/s)","Agentic",36,0.12105,3.1282,0.456725,0.689756944444444,0.613349127467124,NA
"DSB coverage (%)","SPEC",26,0.01012,99.81155,93.899075,76.5218842307692,28.2240034033438,NA
"DSB coverage (%)","Agentic",36,55.46875,81.4134,66.1248,67.3187472222222,6.43089736198772,NA
"IPC","SPEC",26,0.71902,4.15447,2.18502,2.29794038461538,0.877416724283192,NA
"IPC","Agentic",36,1.32965,2.02375,1.7489,1.72728888888889,0.163950765741736,NA
"L1D miss rate (%)","SPEC",26,0.08381,19.68378,2.40615,4.24633538461538,5.0105118096827,NA
"L1D miss rate (%)","Agentic",36,1.1345,2.7892,1.8866,1.91176944444444,0.423922090766313,NA
"L1D-load MPKI","SPEC",26,0.23535,127.94444,8.12929,15.3532830769231,25.733612046891,NA
"L1D-load MPKI","Agentic",36,2.6738,8.0862,4.839025,5.0203,1.21830183616376,NA
"L1I MPKI (code-read)","SPEC",26,0.03106,106.7709,0.845405,11.1758315384615,22.4719475467351,NA
"L1I MPKI (code-read)","Agentic",36,4.652,24.48605,15.6338,16.1358541666667,4.55767250616827,NA
"L1I stall (% cycles)","SPEC",26,0.02072,27.99014,0.63099,3.25085153846154,5.81713748124879,NA
"L1I stall (% cycles)","Agentic",36,2.73205,8.99885,6.64745,6.47407361111111,1.52354948067644,NA
"L2-load MPKI","SPEC",26,0.00076,18.79417,0.33444,1.87350115384615,3.97341991722327,NA
"L2-load MPKI","Agentic",36,0.2421,0.93775,0.5454,0.550280555555556,0.166022243465738,NA
"L2-load miss rate (%)","SPEC",26,0.00539,66.70153,5.884875,12.70854,16.5048540372646,NA
"L2-load miss rate (%)","Agentic",36,6.876,19.0344,11.417275,12.0564125,3.21393177317519,NA
"LLC MPKI","SPEC",26,2e-05,17.94153,0.042905,0.956384615384615,3.57578206052688,NA
"LLC MPKI","Agentic",36,0.05235,0.328,0.143875,0.163148611111111,0.074514246467285,NA
"LLC miss rate (%)","SPEC",25,0.40887,91.95635,21.18552,24.9874984,24.7095361327877,NA
"LLC miss rate (%)","Agentic",36,16.6922,51.9918,33.472875,34.0735097222222,8.7523637510252,NA
"uop-cache (DSB) MPKI","SPEC",26,0.24339,120.2947,9.278945,32.1276007692308,38.25160633952,NA
"uop-cache (DSB) MPKI","Agentic",36,20.1519,58.8459,46.9053,45.4335541666667,9.0772855991549,NA
"BTB MPKI (BAClears)","DCPerf",2497,0.5498,2.5559,1.6355,1.6355,NA,"feedsim"
"BTB MPKI (BAClears)","DCPerf",1500,0.0402,0.057925,0.0477,0.0477,NA,"video_transcode"
"BTB MPKI (BAClears)","DaCapo",1504,1.8816,9.0435,2.2371,2.2371,NA,"cassandra"
"BTB MPKI (BAClears)","DaCapo",1509,0.2171,0.2838,0.2433,0.2433,NA,"kafka"
"BTB MPKI (BAClears)","DaCapo",1514,2.097025,2.438325,2.2832,2.2832,NA,"tomcat"
"BTB MPKI (BAClears)","Renaissance",1504,0.626175,0.729925,0.66795,0.66795,NA,"finagle-chirper"
"BTB MPKI (BAClears)","Renaissance",1512,1.679975,1.7188,1.69945,1.69945,NA,"finagle-http"
"BTB MPKI (BAClears)","Renaissance",1481,0.0053,0.1322,0.0342,0.0342,NA,"naive-bayes"
"BTB MPKI (BAClears)","Renaissance",1513,0.007,0.0273,0.0135,0.0135,NA,"neo4j-analytics"
"BTB MPKI (BAClears)","Renaissance",1503,0.0101,0.0554,0.0233,0.0233,NA,"page-rank"
"Branch MPKI","DCPerf",2522,3.436875,7.6173,4.86475,4.86475,NA,"feedsim"
"Branch MPKI","DCPerf",1512,1.83665,2.7217,2.2653,2.2653,NA,"video_transcode"
"Branch MPKI","DaCapo",1537,1.5306,5.3922,3.2782,3.2782,NA,"cassandra"
"Branch MPKI","DaCapo",1540,0.484475,0.60655,0.5275,0.5275,NA,"kafka"
"Branch MPKI","DaCapo",1539,2.3304,2.8561,2.5247,2.5247,NA,"tomcat"
"Branch MPKI","Renaissance",1525,1.1833,1.3572,1.2602,1.2602,NA,"finagle-chirper"
"Branch MPKI","Renaissance",1527,0.51745,0.55,0.5337,0.5337,NA,"finagle-http"
"Branch MPKI","Renaissance",1514,0.2602,0.6359,0.3084,0.3084,NA,"naive-bayes"
"Branch MPKI","Renaissance",1530,0.2347,0.4531,0.40545,0.40545,NA,"neo4j-analytics"
"Branch MPKI","Renaissance",1530,0.8269,1.5793,1.12655,1.12655,NA,"page-rank"
"Branch-direction MPKI","DCPerf",2497,2.0782,3.9756,3.3787,3.3787,NA,"feedsim"
"Branch-direction MPKI","DCPerf",1500,1.73665,2.6663,2.1862,2.1862,NA,"video_transcode"
"Branch-direction MPKI","DaCapo",1504,1.227725,4.553875,2.7298,2.7298,NA,"cassandra"
"Branch-direction MPKI","DaCapo",1509,0.3896,0.508,0.4268,0.4268,NA,"kafka"
"Branch-direction MPKI","DaCapo",1514,2.0708,2.47745,2.26505,2.26505,NA,"tomcat"
"Branch-direction MPKI","Renaissance",1504,0.97015,1.129925,1.0427,1.0427,NA,"finagle-chirper"
"Branch-direction MPKI","Renaissance",1512,0.302175,0.33545,0.32225,0.32225,NA,"finagle-http"
"Branch-direction MPKI","Renaissance",1481,0.2362,0.5339,0.274,0.274,NA,"naive-bayes"
"Branch-direction MPKI","Renaissance",1513,0.237,0.4435,0.3936,0.3936,NA,"neo4j-analytics"
"Branch-direction MPKI","Renaissance",1503,0.81575,1.5606,1.1059,1.1059,NA,"page-rank"
"Context switches (/CPU-s)","DCPerf",2559,144.53325,231.5325,190.8752,190.8752,NA,"feedsim"
"Context switches (/CPU-s)","DCPerf",1536,83.813025,366.03965,158.9502,158.9502,NA,"video_transcode"
"Context switches (/CPU-s)","DaCapo",759,46656.86335,49843.9456,49362.6459,49362.6459,NA,"cassandra"
"Context switches (/CPU-s)","DaCapo",1537,3707.1149,4045.3434,3853.483,3853.483,NA,"kafka"
"Context switches (/CPU-s)","DaCapo",1552,34004.366625,38542.35705,36949.7781,36949.7781,NA,"tomcat"
"Context switches (/CPU-s)","Renaissance",1542,8048.808375,8774.737525,8415.2647,8415.2647,NA,"finagle-chirper"
