"metric","side","n","min","max","median","mean","sd","workload"
"BTB MPKI (BAClears)","SPEC",26,0.00041,1.63552,0.007845,0.104866923076923,0.325888704361096,NA
"BTB MPKI (BAClears)","Server",8,0.0135,2.2832,0.455625,0.90025,1.00920020136174,NA
"BTB MPKI (BAClears)","Agentic",36,0.1944,1.63295,0.774575,0.826373611111111,0.347000096847683,NA
"Branch MPKI","SPEC",26,0.00132,11.80665,0.847255,2.30900192307692,3.00093293964929,NA
"Branch MPKI","Server",8,0.3084,3.2782,0.830125,1.2455875,1.09470222394364,NA
"Branch MPKI","Agentic",36,1.999,6.14465,4.301425,4.130775,1.01108121671096,NA
"Branch-direction MPKI","SPEC",26,0.00097,11.84357,0.824925,2.04765846153846,2.82426167648069,NA
"Branch-direction MPKI","Server",8,0.274,2.7298,0.73475,1.0700125,0.944841929618011,NA
"Branch-direction MPKI","Agentic",36,1.9039,5.0411,3.59695,3.44264027777778,0.828423840694695,NA
"Context switches (/CPU-s)","SPEC",26,0,9.8561,0,2.07681576923077,3.96800515236276,NA
"Context switches (/CPU-s)","Server",8,106.1797,49362.6459,6134.37385,17538.53141875,21071.7471135032,NA
"Context switches (/CPU-s)","Agentic",36,9.8097,1997.3238,549.4301,545.706630555556,457.037169235508,NA
"DRAM read (GB/s)","SPEC",26,0.00181,12.14915,1.516585,2.69387,3.49039261565458,NA
"DRAM read (GB/s)","Server",8,0.0185,8.8897,2.861875,3.6539625,3.39759060015329,NA
"DRAM read (GB/s)","Agentic",36,0.12105,3.1282,0.456725,0.689756944444444,0.613349127467124,NA
"DSB coverage (%)","SPEC",26,0.01012,99.81155,93.899075,76.5218842307692,28.2240034033438,NA
"DSB coverage (%)","Server",8,11.2163,96.1544,51.908425,52.13861875,32.0103207713871,NA
"DSB coverage (%)","Agentic",36,55.46875,81.4134,66.1248,67.3187472222222,6.43089736198772,NA
"IPC","SPEC",26,0.71902,4.15447,2.18502,2.29794038461538,0.877416724283192,NA
"IPC","Server",8,0.905,3.6009,1.6883,1.99506875,0.974200518717601,NA
"IPC","Agentic",36,1.32965,2.02375,1.7489,1.72728888888889,0.163950765741736,NA
"L1D miss rate (%)","SPEC",26,0.08381,19.68378,2.40615,4.24633538461538,5.0105118096827,NA
"L1D miss rate (%)","Server",8,0.313,4.8414,2.5949,2.35445625,1.78130395746597,NA
"L1D miss rate (%)","Agentic",36,1.1345,2.7892,1.8866,1.91176944444444,0.423922090766313,NA
"L1D-load MPKI","SPEC",26,0.23535,127.94444,8.12929,15.3532830769231,25.733612046891,NA
"L1D-load MPKI","Server",8,0.9983,12.8029,6.6493,6.4248125,4.80923651564288,NA
"L1D-load MPKI","Agentic",36,2.6738,8.0862,4.839025,5.0203,1.21830183616376,NA
"L1I MPKI (code-read)","SPEC",26,0.03106,106.7709,0.845405,11.1758315384615,22.4719475467351,NA
"L1I MPKI (code-read)","Server",8,0.4434,70.8417,21.945475,27.245325,26.1665714882012,NA
"L1I MPKI (code-read)","Agentic",36,4.652,24.48605,15.6338,16.1358541666667,4.55767250616827,NA
"L1I stall (% cycles)","SPEC",26,0.02072,27.99014,0.63099,3.25085153846154,5.81713748124879,NA
"L1I stall (% cycles)","Server",8,0.4107,13.18445,5.263575,5.46044375,4.56551924651649,NA
"L1I stall (% cycles)","Agentic",36,2.73205,8.99885,6.64745,6.47407361111111,1.52354948067644,NA
"L2-load MPKI","SPEC",26,0.00076,18.79417,0.33444,1.87350115384615,3.97341991722327,NA
"L2-load MPKI","Server",8,0.1045,1.5057,0.567575,0.60599375,0.418620849966632,NA
"L2-load MPKI","Agentic",36,0.2421,0.93775,0.5454,0.550280555555556,0.166022243465738,NA
"L2-load miss rate (%)","SPEC",26,0.00539,66.70153,5.884875,12.70854,16.5048540372646,NA
"L2-load miss rate (%)","Server",8,4.7841,36.05015,10.353375,14.2042875,11.3664108225492,NA
"L2-load miss rate (%)","Agentic",36,6.876,19.0344,11.417275,12.0564125,3.21393177317519,NA
"LLC MPKI","SPEC",26,2e-05,17.94153,0.042905,0.956384615384615,3.57578206052688,NA
"LLC MPKI","Server",8,0.0133,0.38055,0.0971,0.16191875,0.146545738685182,NA
"LLC MPKI","Agentic",36,0.05235,0.328,0.143875,0.163148611111111,0.074514246467285,NA
"LLC miss rate (%)","SPEC",25,0.40887,91.95635,21.18552,24.9874984,24.7095361327877,NA
"LLC miss rate (%)","Server",8,2.1617,75.57685,31.61505,33.37294375,26.9912401727121,NA
"LLC miss rate (%)","Agentic",36,16.6922,51.9918,33.472875,34.0735097222222,8.7523637510252,NA
"uop-cache (DSB) MPKI","SPEC",26,0.24339,120.2947,9.278945,32.1276007692308,38.25160633952,NA
"uop-cache (DSB) MPKI","Server",8,5.607,113.93885,58.4228,59.03928125,41.9821329037973,NA
"uop-cache (DSB) MPKI","Agentic",36,20.1519,58.8459,46.9053,45.4335541666667,9.0772855991549,NA
"BTB MPKI (BAClears)","Server:DaCapo",1504,1.8816,9.0435,2.2371,2.2371,NA,"cassandra"
"BTB MPKI (BAClears)","Server:Renaissance",1504,0.626175,0.729925,0.66795,0.66795,NA,"finagle-chirper"
"BTB MPKI (BAClears)","Server:Renaissance",1512,1.679975,1.7188,1.69945,1.69945,NA,"finagle-http"
"BTB MPKI (BAClears)","Server:DaCapo",1509,0.2171,0.2838,0.2433,0.2433,NA,"kafka"
"BTB MPKI (BAClears)","Server:Renaissance",1481,0.0053,0.1322,0.0342,0.0342,NA,"naive-bayes"
"BTB MPKI (BAClears)","Server:Renaissance",1513,0.007,0.0273,0.0135,0.0135,NA,"neo4j-analytics"
"BTB MPKI (BAClears)","Server:Renaissance",1503,0.0101,0.0554,0.0233,0.0233,NA,"page-rank"
"BTB MPKI (BAClears)","Server:DaCapo",1514,2.097025,2.438325,2.2832,2.2832,NA,"tomcat"
"Branch MPKI","Server:DaCapo",1537,1.5306,5.3922,3.2782,3.2782,NA,"cassandra"
"Branch MPKI","Server:Renaissance",1525,1.1833,1.3572,1.2602,1.2602,NA,"finagle-chirper"
"Branch MPKI","Server:Renaissance",1527,0.51745,0.55,0.5337,0.5337,NA,"finagle-http"
"Branch MPKI","Server:DaCapo",1540,0.484475,0.60655,0.5275,0.5275,NA,"kafka"
"Branch MPKI","Server:Renaissance",1514,0.2602,0.6359,0.3084,0.3084,NA,"naive-bayes"
"Branch MPKI","Server:Renaissance",1530,0.2347,0.4531,0.40545,0.40545,NA,"neo4j-analytics"
"Branch MPKI","Server:Renaissance",1530,0.8269,1.5793,1.12655,1.12655,NA,"page-rank"
"Branch MPKI","Server:DaCapo",1539,2.3304,2.8561,2.5247,2.5247,NA,"tomcat"
"Branch-direction MPKI","Server:DaCapo",1504,1.227725,4.553875,2.7298,2.7298,NA,"cassandra"
"Branch-direction MPKI","Server:Renaissance",1504,0.97015,1.129925,1.0427,1.0427,NA,"finagle-chirper"
"Branch-direction MPKI","Server:Renaissance",1512,0.302175,0.33545,0.32225,0.32225,NA,"finagle-http"
"Branch-direction MPKI","Server:DaCapo",1509,0.3896,0.508,0.4268,0.4268,NA,"kafka"
"Branch-direction MPKI","Server:Renaissance",1481,0.2362,0.5339,0.274,0.274,NA,"naive-bayes"
"Branch-direction MPKI","Server:Renaissance",1513,0.237,0.4435,0.3936,0.3936,NA,"neo4j-analytics"
"Branch-direction MPKI","Server:Renaissance",1503,0.81575,1.5606,1.1059,1.1059,NA,"page-rank"
"Branch-direction MPKI","Server:DaCapo",1514,2.0708,2.47745,2.26505,2.26505,NA,"tomcat"
"Context switches (/CPU-s)","Server:DaCapo",759,46656.86335,49843.9456,49362.6459,49362.6459,NA,"cassandra"
"Context switches (/CPU-s)","Server:Renaissance",1542,8048.808375,8774.737525,8415.2647,8415.2647,NA,"finagle-chirper"
"Context switches (/CPU-s)","Server:Renaissance",1544,40659.375325,41319.29375,41000.85535,41000.85535,NA,"finagle-http"
"Context switches (/CPU-s)","Server:DaCapo",1537,3707.1149,4045.3434,3853.483,3853.483,NA,"kafka"
"Context switches (/CPU-s)","Server:Renaissance",1525,138.0477,554.2181,180.0315,180.0315,NA,"naive-bayes"
"Context switches (/CPU-s)","Server:Renaissance",1543,187.19045,494.32975,440.0131,440.0131,NA,"neo4j-analytics"
"Context switches (/CPU-s)","Server:Renaissance",1541,23.0407,254.4061,106.1797,106.1797,NA,"page-rank"
"Context switches (/CPU-s)","Server:DaCapo",1552,34004.366625,38542.35705,36949.7781,36949.7781,NA,"tomcat"
"DRAM read (GB/s)","Server:DaCapo",1535,0.0032,3.53145,0.0185,0.0185,NA,"cassandra"
"DRAM read (GB/s)","Server:Renaissance",1524,6.31925,6.95355,6.68115,6.68115,NA,"finagle-chirper"
"DRAM read (GB/s)","Server:Renaissance",1534,6.542125,6.674,6.613,6.613,NA,"finagle-http"
"DRAM read (GB/s)","Server:DaCapo",1523,0.71865,0.79335,0.738,0.738,NA,"kafka"
"DRAM read (GB/s)","Server:Renaissance",1509,5.1619,11.9736,8.8897,8.8897,NA,"naive-bayes"
"DRAM read (GB/s)","Server:Renaissance",1532,1.252,2.636975,1.6427,1.6427,NA,"neo4j-analytics"
"DRAM read (GB/s)","Server:Renaissance",1526,2.9368,6.5246,4.08105,4.08105,NA,"page-rank"
"DRAM read (GB/s)","Server:DaCapo",1539,0.5262,0.61895,0.5676,0.5676,NA,"tomcat"
"DSB coverage (%)","Server:DaCapo",1516,7.030175,16.8263,11.2163,11.2163,NA,"cassandra"
"DSB coverage (%)","Server:Renaissance",1507,57.6919,62.6524,60.1276,60.1276,NA,"finagle-chirper"
"DSB coverage (%)","Server:Renaissance",1514,12.71455,13.392,13.3143,13.3143,NA,"finagle-http"
"DSB coverage (%)","Server:DaCapo",1510,43.108875,44.41415,43.68925,43.68925,NA,"kafka"
"DSB coverage (%)","Server:Renaissance",1485,88.5894,93.6872,91.9531,91.9531,NA,"naive-bayes"
"DSB coverage (%)","Server:Renaissance",1514,58.098725,75.118075,63.1,63.1,NA,"neo4j-analytics"
"DSB coverage (%)","Server:Renaissance",1505,93.4433,97.8726,96.1544,96.1544,NA,"page-rank"
"DSB coverage (%)","Server:DaCapo",1517,36.9241,42.1559,37.554,37.554,NA,"tomcat"
"IPC","Server:DaCapo",1537,0.6164,0.993,0.905,0.905,NA,"cassandra"
"IPC","Server:Renaissance",1525,1.8665,1.9951,1.9538,1.9538,NA,"finagle-chirper"
"IPC","Server:Renaissance",1527,1.4161,1.4282,1.4228,1.4228,NA,"finagle-http"
"IPC","Server:DaCapo",1540,1.330675,1.3923,1.35825,1.35825,NA,"kafka"
"IPC","Server:Renaissance",1514,2.365275,3.875575,3.6009,3.6009,NA,"naive-bayes"
"IPC","Server:Renaissance",1530,3.104175,3.46435,3.2969,3.2969,NA,"neo4j-analytics"
"IPC","Server:Renaissance",1530,1.64245,2.46165,2.0897,2.0897,NA,"page-rank"
"IPC","Server:DaCapo",1539,1.30275,1.37055,1.3332,1.3332,NA,"tomcat"
"L1D miss rate (%)","Server:DaCapo",1517,4.4118,5.1364,4.8414,4.8414,NA,"cassandra"
"L1D miss rate (%)","Server:Renaissance",1508,2.98675,3.15285,3.06805,3.06805,NA,"finagle-chirper"
"L1D miss rate (%)","Server:Renaissance",1511,4.40765,4.42625,4.4146,4.4146,NA,"finagle-http"
"L1D miss rate (%)","Server:DaCapo",1505,2.2907,2.4107,2.3521,2.3521,NA,"kafka"
"L1D miss rate (%)","Server:Renaissance",1486,0.2752,0.421525,0.313,0.313,NA,"naive-bayes"
"L1D miss rate (%)","Server:Renaissance",1516,0.338675,0.4502,0.38925,0.38925,NA,"neo4j-analytics"
"L1D miss rate (%)","Server:Renaissance",1506,0.46215,1.007025,0.61955,0.61955,NA,"page-rank"
"L1D miss rate (%)","Server:DaCapo",1517,2.7918,2.8647,2.8377,2.8377,NA,"tomcat"
"L1D-load MPKI","Server:DaCapo",1517,11.3489,13.0963,12.3325,12.3325,NA,"cassandra"
"L1D-load MPKI","Server:Renaissance",1508,8.816125,9.26535,9.04405,9.04405,NA,"finagle-chirper"
"L1D-load MPKI","Server:Renaissance",1511,12.78255,12.8342,12.8029,12.8029,NA,"finagle-http"
"L1D-load MPKI","Server:DaCapo",1505,6.0792,6.375,6.2302,6.2302,NA,"kafka"
"L1D-load MPKI","Server:Renaissance",1486,0.882525,1.304725,0.9983,0.9983,NA,"naive-bayes"
"L1D-load MPKI","Server:Renaissance",1516,0.968975,1.26735,1.0845,1.0845,NA,"neo4j-analytics"
"L1D-load MPKI","Server:Renaissance",1506,1.417675,3.0629,1.83765,1.83765,NA,"page-rank"
"L1D-load MPKI","Server:DaCapo",1517,7.0005,7.1412,7.0684,7.0684,NA,"tomcat"
"L1I MPKI (code-read)","Server:DaCapo",1514,69.149125,102.09635,70.8417,70.8417,NA,"cassandra"
"L1I MPKI (code-read)","Server:Renaissance",1504,24.0539,27.169225,25.45515,25.45515,NA,"finagle-chirper"
"L1I MPKI (code-read)","Server:Renaissance",1513,52.5891,52.7868,52.6894,52.6894,NA,"finagle-http"
"L1I MPKI (code-read)","Server:DaCapo",1508,18.032575,19.004475,18.4358,18.4358,NA,"kafka"
"L1I MPKI (code-read)","Server:Renaissance",1488,0.192875,3.222475,0.79555,0.79555,NA,"naive-bayes"
"L1I MPKI (code-read)","Server:Renaissance",1513,3.807,7.163,5.5122,5.5122,NA,"neo4j-analytics"
"L1I MPKI (code-read)","Server:Renaissance",1505,0.1759,1.4515,0.4434,0.4434,NA,"page-rank"
"L1I MPKI (code-read)","Server:DaCapo",1521,41.9819,44.5854,43.7894,43.7894,NA,"tomcat"
"L1I stall (% cycles)","Server:DaCapo",1514,8.03285,25.1877,13.18445,13.18445,NA,"cassandra"
"L1I stall (% cycles)","Server:Renaissance",1504,7.0957,7.534575,7.28465,7.28465,NA,"finagle-chirper"
"L1I stall (% cycles)","Server:Renaissance",1513,8.2164,8.3845,8.2911,8.2911,NA,"finagle-http"
"L1I stall (% cycles)","Server:DaCapo",1508,3.0667,3.45645,3.2425,3.2425,NA,"kafka"
"L1I stall (% cycles)","Server:Renaissance",1488,0.5219,1.734725,0.86605,0.86605,NA,"naive-bayes"
"L1I stall (% cycles)","Server:Renaissance",1513,1.4308,2.0236,1.7928,1.7928,NA,"neo4j-analytics"
"L1I stall (% cycles)","Server:Renaissance",1505,0.2645,0.8158,0.4107,0.4107,NA,"page-rank"
"L1I stall (% cycles)","Server:DaCapo",1521,8.1808,9.0356,8.6113,8.6113,NA,"tomcat"
"L2-load MPKI","Server:DaCapo",1517,0.8166,2.6983,1.5057,1.5057,NA,"cassandra"
"L2-load MPKI","Server:Renaissance",1508,0.5027,0.5492,0.52285,0.52285,NA,"finagle-chirper"
"L2-load MPKI","Server:Renaissance",1511,0.6074,0.6182,0.6123,0.6123,NA,"finagle-http"
"L2-load MPKI","Server:DaCapo",1505,0.5938,0.6614,0.6274,0.6274,NA,"kafka"
"L2-load MPKI","Server:Renaissance",1486,0.089325,0.1692,0.1045,0.1045,NA,"naive-bayes"
"L2-load MPKI","Server:Renaissance",1516,0.174075,0.362,0.311,0.311,NA,"neo4j-analytics"
"L2-load MPKI","Server:Renaissance",1506,0.4095,1.17135,0.7694,0.7694,NA,"page-rank"
"L2-load MPKI","Server:DaCapo",1517,0.3574,0.4346,0.3948,0.3948,NA,"tomcat"
"L2-load miss rate (%)","Server:DaCapo",1517,6.4908,23.094,13.8761,13.8761,NA,"cassandra"
"L2-load miss rate (%)","Server:Renaissance",1508,5.51725,6.039175,5.73185,5.73185,NA,"finagle-chirper"
"L2-load miss rate (%)","Server:Renaissance",1511,4.7437,4.8291,4.7841,4.7841,NA,"finagle-http"
"L2-load miss rate (%)","Server:DaCapo",1505,9.702,10.8653,10.2704,10.2704,NA,"kafka"
"L2-load miss rate (%)","Server:Renaissance",1486,9.6385,13.020525,10.43635,10.43635,NA,"naive-bayes"
"L2-load miss rate (%)","Server:Renaissance",1516,21.7211,33.225275,26.93175,26.93175,NA,"neo4j-analytics"
"L2-load miss rate (%)","Server:Renaissance",1506,27.750675,45.65945,36.05015,36.05015,NA,"page-rank"
"L2-load miss rate (%)","Server:DaCapo",1517,4.9855,6.1452,5.5536,5.5536,NA,"tomcat"
"LLC MPKI","Server:DaCapo",1517,0.1157,0.9606,0.3201,0.3201,NA,"cassandra"
"LLC MPKI","Server:Renaissance",1508,0.0577,0.072,0.0618,0.0618,NA,"finagle-chirper"
"LLC MPKI","Server:Renaissance",1511,0.0123,0.0138,0.0133,0.0133,NA,"finagle-http"
"LLC MPKI","Server:DaCapo",1505,0.2681,0.3259,0.297,0.297,NA,"kafka"
"LLC MPKI","Server:Renaissance",1486,0.0688,0.108875,0.07565,0.07565,NA,"naive-bayes"
"LLC MPKI","Server:Renaissance",1516,0.08435,0.1632,0.11855,0.11855,NA,"neo4j-analytics"
"LLC MPKI","Server:Renaissance",1506,0.23725,0.71245,0.38055,0.38055,NA,"page-rank"
"LLC MPKI","Server:DaCapo",1517,0.0194,0.0377,0.0284,0.0284,NA,"tomcat"
"LLC miss rate (%)","Server:DaCapo",1516,13.941625,39.056425,19.2605,19.2605,NA,"cassandra"
"LLC miss rate (%)","Server:Renaissance",1508,11.21585,13.431075,11.9762,11.9762,NA,"finagle-chirper"
"LLC miss rate (%)","Server:Renaissance",1511,2.01635,2.2505,2.1617,2.1617,NA,"finagle-http"
"LLC miss rate (%)","Server:DaCapo",1505,44.4024,50.5989,47.5798,47.5798,NA,"kafka"
"LLC miss rate (%)","Server:Renaissance",1486,64.884225,80.281525,75.57685,75.57685,NA,"naive-bayes"
"LLC miss rate (%)","Server:Renaissance",1516,36.54385,53.496975,43.9696,43.9696,NA,"neo4j-analytics"
"LLC miss rate (%)","Server:Renaissance",1506,48.08385,68.243975,59.4328,59.4328,NA,"page-rank"
"LLC miss rate (%)","Server:DaCapo",1517,5.1051,9.2415,7.0261,7.0261,NA,"tomcat"
"uop-cache (DSB) MPKI","Server:DaCapo",1504,112.721925,138.861325,113.93885,113.93885,NA,"cassandra"
"uop-cache (DSB) MPKI","Server:Renaissance",1504,48.693225,54.908175,51.7684,51.7684,NA,"finagle-chirper"
"uop-cache (DSB) MPKI","Server:Renaissance",1512,113.1714,113.561375,113.32995,113.32995,NA,"finagle-http"
"uop-cache (DSB) MPKI","Server:DaCapo",1509,64.393,66.036,65.0772,65.0772,NA,"kafka"
"uop-cache (DSB) MPKI","Server:Renaissance",1481,5.8363,10.7991,7.0754,7.0754,NA,"naive-bayes"
"uop-cache (DSB) MPKI","Server:Renaissance",1513,25.8555,45.7817,38.6773,38.6773,NA,"neo4j-analytics"
"uop-cache (DSB) MPKI","Server:Renaissance",1503,2.18165,11.41615,5.607,5.607,NA,"page-rank"
"uop-cache (DSB) MPKI","Server:DaCapo",1514,73.388975,77.4352,76.84015,76.84015,NA,"tomcat"
