family,subgroup,workload,metric,value,windows,runs
spec26,SPEC-int,706.stockfish_r,IPC,1.68295,494,1
spec26,SPEC-int,706.stockfish_r,Branch MPKI,5.93174,62,1
spec26,SPEC-int,706.stockfish_r,Branch-direction MPKI,5.92232,62,1
spec26,SPEC-int,706.stockfish_r,BTB MPKI (BAClears),0.0277346,62,1
spec26,SPEC-int,706.stockfish_r,uop-cache (DSB) MPKI,70.9385,62,1
spec26,SPEC-int,706.stockfish_r,DSB coverage (%),38.5787,62,1
spec26,SPEC-int,706.stockfish_r,L1I MPKI (code-read),11.2154,61,1
spec26,SPEC-int,706.stockfish_r,L1I stall (% cycles),2.31505,61,1
spec26,SPEC-int,706.stockfish_r,L1D-load MPKI,2.92513,62,1
spec26,SPEC-int,706.stockfish_r,L2-load MPKI,0.325431,62,1
spec26,SPEC-int,706.stockfish_r,LLC MPKI,0.237547,62,1
spec26,SPEC-int,706.stockfish_r,L1D miss rate (%),1.05945,62,1
spec26,SPEC-int,706.stockfish_r,L2-load miss rate (%),11.1253,62,1
spec26,SPEC-int,706.stockfish_r,LLC miss rate (%),72.9947,62,1
spec26,SPEC-int,706.stockfish_r,DRAM read (GB/s),0.361517,62,1
spec26,SPEC-int,706.stockfish_r,Context switches (/CPU-s),2.54477,62,1
spec26,SPEC-int,707.ntest_r,IPC,3.24742,1328,1
spec26,SPEC-int,707.ntest_r,Branch MPKI,2.55702,166,1
spec26,SPEC-int,707.ntest_r,Branch-direction MPKI,2.52859,166,1
spec26,SPEC-int,707.ntest_r,BTB MPKI (BAClears),0.00178017,166,1
spec26,SPEC-int,707.ntest_r,uop-cache (DSB) MPKI,4.85213,166,1
spec26,SPEC-int,707.ntest_r,DSB coverage (%),95.3495,166,1
spec26,SPEC-int,707.ntest_r,L1I MPKI (code-read),0.0605538,166,1
spec26,SPEC-int,707.ntest_r,L1I stall (% cycles),0.0283199,166,1
spec26,SPEC-int,707.ntest_r,L1D-load MPKI,2.45837,166,1
spec26,SPEC-int,707.ntest_r,L2-load MPKI,0.0740283,166,1
spec26,SPEC-int,707.ntest_r,LLC MPKI,0.00535866,166,1
spec26,SPEC-int,707.ntest_r,L1D miss rate (%),0.971214,166,1
spec26,SPEC-int,707.ntest_r,L2-load miss rate (%),3.01128,166,1
spec26,SPEC-int,707.ntest_r,LLC miss rate (%),7.23866,166,1
spec26,SPEC-int,707.ntest_r,DRAM read (GB/s),0.0608356,166,1
spec26,SPEC-int,707.ntest_r,Context switches (/CPU-s),5.76104,166,1
spec26,SPEC-int,708.sqlite_r,IPC,1.91112,893,1
spec26,SPEC-int,708.sqlite_r,Branch MPKI,1.52814,111,1
spec26,SPEC-int,708.sqlite_r,Branch-direction MPKI,1.64504,112,1
spec26,SPEC-int,708.sqlite_r,BTB MPKI (BAClears),0.00769995,112,1
spec26,SPEC-int,708.sqlite_r,uop-cache (DSB) MPKI,12.3636,112,1
spec26,SPEC-int,708.sqlite_r,DSB coverage (%),92.3376,112,1
spec26,SPEC-int,708.sqlite_r,L1I MPKI (code-read),1.60402,112,1
spec26,SPEC-int,708.sqlite_r,L1I stall (% cycles),1.33016,112,1
spec26,SPEC-int,708.sqlite_r,L1D-load MPKI,2.84819,112,1
spec26,SPEC-int,708.sqlite_r,L2-load MPKI,1.13214,112,1
spec26,SPEC-int,708.sqlite_r,LLC MPKI,0.524518,112,1
spec26,SPEC-int,708.sqlite_r,L1D miss rate (%),0.952571,112,1
spec26,SPEC-int,708.sqlite_r,L2-load miss rate (%),39.7495,112,1
spec26,SPEC-int,708.sqlite_r,LLC miss rate (%),46.3297,112,1
spec26,SPEC-int,708.sqlite_r,DRAM read (GB/s),2.08707,112,1
