"metric","side","n","min","max","median","mean","sd","workload"
"BTB MPKI (BAClears)","SPEC",26,0.000500955,1.57245,0.01521085,0.136479464461538,0.339670300819616,NA
"BTB MPKI (BAClears)","Agentic",36,0.27713,1.72727,0.6409475,0.739495111111111,0.33947284505941,NA
"Branch MPKI","SPEC",26,0.00243422,11.848,1.1759245,2.09912966038462,2.7586353167407,NA
"Branch MPKI","Agentic",36,1.69851,5.53617,3.993705,3.68606722222222,0.989486594144693,NA
"Branch-direction MPKI","SPEC",26,0.00122782,11.5275,1.036316,1.98201696730769,2.68466807538925,NA
"Branch-direction MPKI","Agentic",36,1.43529,5.14805,3.35616,3.18571277777778,0.895456183171815,NA
"Context switches (/CPU-s)","SPEC",26,1.97951,7.40521,4.544515,4.54062923076923,1.41819783410615,NA
"Context switches (/CPU-s)","Agentic",36,38.386,3931.74,1011.8565,1388.01232777778,1168.78440398014,NA
"DRAM read (GB/s)","SPEC",26,0.00183784,11.3313,1.68268,2.74226610153846,3.28626703009187,NA
"DRAM read (GB/s)","Agentic",36,0.10255,3.91521,1.0530545,1.41631080555556,1.02405159110441,NA
"DSB coverage (%)","SPEC",26,13.9186,99.7347,92.50665,77.3636192307692,24.7029770794213,NA
"DSB coverage (%)","Agentic",36,57.3019,81.4115,70.90965,71.1815833333333,5.71463565850252,NA
"IPC","SPEC",26,0.774801,4.15115,2.41271,2.34955157692308,0.785232112543453,NA
"IPC","Agentic",36,1.60415,2.40199,1.904025,1.95262833333333,0.200400925910322,NA
"L1D miss rate (%)","SPEC",26,0.0818913,18.7128,2.52606,4.12248039615385,4.84106461992372,NA
"L1D miss rate (%)","Agentic",36,0.84542,4.93457,1.67329,1.8719725,0.721624669384993,NA
"L1D-load MPKI","SPEC",26,0.230389,117.9,6.709175,14.3667671923077,23.8197381337189,NA
"L1D-load MPKI","Agentic",36,2.40462,12.7406,4.272555,4.83660611111111,2.00381993420749,NA
"L1I MPKI (code-read)","SPEC",26,0.0310977,93.279,0.9833755,10.0791921269231,19.7348602345086,NA
"L1I MPKI (code-read)","Agentic",36,6.89377,19.4958,12.78685,13.3030383333333,3.12535959468941,NA
"L1I stall (% cycles)","SPEC",26,0.0283199,24.179,0.617565,2.94873472692308,5.03382555487278,NA
"L1I stall (% cycles)","Agentic",36,2.71071,8.98395,5.59931,5.71866305555556,1.19323341019701,NA
"L2-load MPKI","SPEC",26,0.000754194,19.3663,0.6927285,2.14250536938462,4.15774989593337,NA
"L2-load MPKI","Agentic",36,0.216151,1.2105,0.4964215,0.542720416666667,0.205793272870113,NA
"L2-load miss rate (%)","SPEC",26,0.00576402,63.2097,9.453105,13.5894396161538,15.307873925999,NA
"L2-load miss rate (%)","Agentic",36,1.69655,28.524,11.2574,12.4935391666667,5.51645816389899,NA
"LLC MPKI","SPEC",26,2.08879e-05,18.0156,0.10011615,1.01114396053462,3.55472252437235,NA
"LLC MPKI","Agentic",36,0.0524806,0.489503,0.182375,0.203190827777778,0.10482921322078,NA
"LLC miss rate (%)","SPEC",26,0.343392,93.0257,20.02455,29.7350374615385,29.2607192233623,NA
"LLC miss rate (%)","Agentic",36,14.4673,60.0583,36.6376,37.1335027777778,11.1339205853999,NA
"uop-cache (DSB) MPKI","SPEC",26,0.250673,113.866,11.10359,30.7233257692308,34.648392633247,NA
"uop-cache (DSB) MPKI","Agentic",36,23.9913,50.839,39.3253,39.5727916666667,7.15512687516042,NA
"BTB MPKI (BAClears)","DCPerf",2497,0.5498,2.5559,1.4058,1.4058,NA,"feedsim"
"BTB MPKI (BAClears)","DCPerf",1500,0.0402,0.057925,0.0495314,0.0495314,NA,"video_transcode"
"BTB MPKI (BAClears)","DaCapo",1504,1.8816,9.0435,1.73815,1.73815,NA,"cassandra"
"BTB MPKI (BAClears)","DaCapo",1509,0.2171,0.2838,0.361436,0.361436,NA,"kafka"
"BTB MPKI (BAClears)","DaCapo",1514,2.097025,2.438325,2.10066,2.10066,NA,"tomcat"
"BTB MPKI (BAClears)","Renaissance",1504,0.626175,0.729925,0.722743,0.722743,NA,"finagle-chirper"
"BTB MPKI (BAClears)","Renaissance",1512,1.679975,1.7188,1.69826,1.69826,NA,"finagle-http"
"BTB MPKI (BAClears)","Renaissance",1481,0.0053,0.1322,0.0446065,0.0446065,NA,"naive-bayes"
"BTB MPKI (BAClears)","Renaissance",1513,0.007,0.0273,0.0200241,0.0200241,NA,"neo4j-analytics"
"BTB MPKI (BAClears)","Renaissance",1503,0.0101,0.0554,0.0344095,0.0344095,NA,"page-rank"
"Branch MPKI","DCPerf",2522,3.436875,7.6173,4.68542,4.68542,NA,"feedsim"
"Branch MPKI","DCPerf",1512,1.83665,2.7217,2.27125,2.27125,NA,"video_transcode"
"Branch MPKI","DaCapo",1537,1.5306,5.3922,1.67897,1.67897,NA,"cassandra"
"Branch MPKI","DaCapo",1540,0.484475,0.60655,1.88654,1.88654,NA,"kafka"
"Branch MPKI","DaCapo",1539,2.3304,2.8561,2.82879,2.82879,NA,"tomcat"
"Branch MPKI","Renaissance",1525,1.1833,1.3572,1.33292,1.33292,NA,"finagle-chirper"
"Branch MPKI","Renaissance",1527,0.51745,0.55,0.578506,0.578506,NA,"finagle-http"
"Branch MPKI","Renaissance",1514,0.2602,0.6359,0.422235,0.422235,NA,"naive-bayes"
"Branch MPKI","Renaissance",1530,0.2347,0.4531,0.428322,0.428322,NA,"neo4j-analytics"
"Branch MPKI","Renaissance",1530,0.8269,1.5793,1.30639,1.30639,NA,"page-rank"
"Branch-direction MPKI","DCPerf",2497,2.0782,3.9756,3.32435,3.32435,NA,"feedsim"
"Branch-direction MPKI","DCPerf",1500,1.73665,2.6663,2.1979,2.1979,NA,"video_transcode"
"Branch-direction MPKI","DaCapo",1504,1.227725,4.553875,1.37104,1.37104,NA,"cassandra"
"Branch-direction MPKI","DaCapo",1509,0.3896,0.508,1.64459,1.64459,NA,"kafka"
"Branch-direction MPKI","DaCapo",1514,2.0708,2.47745,2.46686,2.46686,NA,"tomcat"
"Branch-direction MPKI","Renaissance",1504,0.97015,1.129925,1.10526,1.10526,NA,"finagle-chirper"
"Branch-direction MPKI","Renaissance",1512,0.302175,0.33545,0.363886,0.363886,NA,"finagle-http"
