"metric","side","n","min","max","median","mean","sd","workload"
"BTB MPKI (BAClears)","SPEC",26,0.000500955,1.57245,0.01521085,0.136479464461538,0.339670300819616,NA
"BTB MPKI (BAClears)","Server",10,0.0119459,2.10066,0.7681535,0.84789163,0.710859846169287,NA
"BTB MPKI (BAClears)","Agentic",36,0.27713,1.72727,0.6409475,0.739495111111111,0.33947284505941,NA
"Branch MPKI","SPEC",26,0.00243422,11.848,1.1759245,2.09912966038462,2.7586353167407,NA
"Branch MPKI","Server",10,0.578506,4.68542,1.507465,1.8640156,1.15073081890995,NA
"Branch MPKI","Agentic",36,1.69851,5.53617,3.993705,3.68606722222222,0.989486594144693,NA
"Branch-direction MPKI","SPEC",26,0.00122782,11.5275,1.036316,1.98201696730769,2.68466807538925,NA
"Branch-direction MPKI","Server",10,0.363886,3.32435,1.431535,1.5955902,0.853038491874233,NA
"Branch-direction MPKI","Agentic",36,1.43529,5.14805,3.35616,3.18571277777778,0.895456183171815,NA
"Context switches (/CPU-s)","SPEC",26,1.97951,7.40521,4.544515,4.54062923076923,1.41819783410615,NA
"Context switches (/CPU-s)","Server",10,70.9272,40575.1,12901.95,14471.02439,15119.2504383277,NA
"Context switches (/CPU-s)","Agentic",36,38.386,3931.74,1011.8565,1388.01232777778,1168.78440398014,NA
"DRAM read (GB/s)","SPEC",26,0.00183784,11.3313,1.68268,2.74226610153846,3.28626703009187,NA
"DRAM read (GB/s)","Server",10,0.742931,26.1214,7.81888,8.9106759,7.22463159060275,NA
"DRAM read (GB/s)","Agentic",36,0.10255,3.91521,1.0530545,1.41631080555556,1.02405159110441,NA
"DSB coverage (%)","SPEC",26,13.9186,99.7347,92.50665,77.3636192307692,24.7029770794213,NA
"DSB coverage (%)","Server",10,14.424,96.9237,61.91395,59.05722,28.311624830047,NA
"DSB coverage (%)","Agentic",36,57.3019,81.4115,70.90965,71.1815833333333,5.71463565850252,NA
"IPC","SPEC",26,0.774801,4.15115,2.41271,2.34955157692308,0.785232112543453,NA
"IPC","Server",10,1.20841,2.45967,1.5603,1.67392,0.412955246028213,NA
"IPC","Agentic",36,1.60415,2.40199,1.904025,1.95262833333333,0.200400925910322,NA
"L1D miss rate (%)","SPEC",26,0.0818913,18.7128,2.52606,4.12248039615385,4.84106461992372,NA
"L1D miss rate (%)","Server",10,0.847397,9.54239,3.10929,3.5475037,2.40113138572151,NA
"L1D miss rate (%)","Agentic",36,0.84542,4.93457,1.67329,1.8719725,0.721624669384993,NA
"L1D-load MPKI","SPEC",26,0.230389,117.9,6.709175,14.3667671923077,23.8197381337189,NA
"L1D-load MPKI","Server",10,2.60256,26.2738,8.545665,9.629938,6.65914792475701,NA
"L1D-load MPKI","Agentic",36,2.40462,12.7406,4.272555,4.83660611111111,2.00381993420749,NA
"L1I MPKI (code-read)","SPEC",26,0.0310977,93.279,0.9833755,10.0791921269231,19.7348602345086,NA
"L1I MPKI (code-read)","Server",10,0.46074,52.2515,19.8978,23.436426,19.8345113969477,NA
"L1I MPKI (code-read)","Agentic",36,6.89377,19.4958,12.78685,13.3030383333333,3.12535959468941,NA
"L1I stall (% cycles)","SPEC",26,0.0283199,24.179,0.617565,2.94873472692308,5.03382555487278,NA
"L1I stall (% cycles)","Server",10,0.381389,9.28171,6.93765,5.6211419,3.20731633192447,NA
"L1I stall (% cycles)","Agentic",36,2.71071,8.98395,5.59931,5.71866305555556,1.19323341019701,NA
"L2-load MPKI","SPEC",26,0.000754194,19.3663,0.6927285,2.14250536938462,4.15774989593337,NA
"L2-load MPKI","Server",10,0.41614,10.4208,0.614712,1.986537,3.17582273418996,NA
"L2-load MPKI","Agentic",36,0.216151,1.2105,0.4964215,0.542720416666667,0.205793272870113,NA
"L2-load miss rate (%)","SPEC",26,0.00576402,63.2097,9.453105,13.5894396161538,15.307873925999,NA
"L2-load miss rate (%)","Server",10,4.85702,43.3739,10.17741,17.69583,15.6361480061541,NA
"L2-load miss rate (%)","Agentic",36,1.69655,28.524,11.2574,12.4935391666667,5.51645816389899,NA
"LLC MPKI","SPEC",26,2.08879e-05,18.0156,0.10011615,1.01114396053462,3.55472252437235,NA
"LLC MPKI","Server",10,0.0179786,3.94635,0.234445,0.63327411,1.18919252933507,NA
"LLC MPKI","Agentic",36,0.0524806,0.489503,0.182375,0.203190827777778,0.10482921322078,NA
"LLC miss rate (%)","SPEC",26,0.343392,93.0257,20.02455,29.7350374615385,29.2607192233623,NA
"LLC miss rate (%)","Server",10,2.91135,86.8816,25.0851,31.39436,27.4814460824208,NA
