metric,server_suite_median,server_realistic_median,ratio_realistic_over_suite,agentic_median,spec_median,n_server,n_agentic,n_spec
IPC,1.87518,1.5603,0.8321,1.90402,2.41271,10,36,26
Branch MPKI,1.50595,1.50746,1.0010,3.99371,1.17592,10,36,26
Branch-direction MPKI,1.33217,1.43154,1.0746,3.35616,1.03632,10,36,26
BTB MPKI (BAClears),0.54209,0.768154,1.4170,0.640948,0.0152108,10,36,26
L1I MPKI (code-read),14.0365,19.8978,1.4176,12.7869,0.983375,10,36,26
uop-cache (DSB) MPKI,51.7942,47.2026,0.9113,39.3253,11.1036,10,36,26
DSB coverage (%),60.063,61.9139,1.0308,70.9096,92.5067,10,36,26
L1D-load MPKI,6.49865,8.54566,1.3150,4.27256,6.70918,10,36,26
L2-load MPKI,0.579056,0.614712,1.0616,0.496421,0.692728,10,36,26
LLC MPKI,0.110746,0.234445,2.1170,0.182375,0.100116,10,36,26
DRAM read (GB/s),5.20563,7.81888,1.5020,1.05305,1.68268,10,36,26
Context switches (/CPU-s),2934.31,12902,4.3969,1011.86,4.54452,10,36,26
