metric,workload,v,side
IPC,SPEC-int #1,1.69004,SPEC
IPC,SPEC-int #2,3.22922,SPEC
IPC,SPEC-int #3,1.52447,SPEC
IPC,SPEC-fp #1,1.58877,SPEC
IPC,SPEC-int #4,1.98895,SPEC
IPC,SPEC-int #5,3.65272,SPEC
IPC,SPEC-int #6,1.80574,SPEC
IPC,SPEC-fp #2,3.70501,SPEC
IPC,SPEC-int #7,1.63517,SPEC
IPC,SPEC-int #8,3.07167,SPEC
IPC,SPEC-int #9,1.44559,SPEC
IPC,SPEC-fp #3,2.70586,SPEC
IPC,SPEC-int #10,1.5158,SPEC
IPC,SPEC-int #11,2.71898,SPEC
IPC,SPEC-fp #4,1.72563,SPEC
IPC,SPEC-fp #5,1.44408,SPEC
IPC,SPEC-fp #6,3.15877,SPEC
IPC,SPEC-fp #7,0.71902,SPEC
IPC,SPEC-int #12,4.15447,SPEC
IPC,SPEC-int #13,2.68161,SPEC
IPC,SPEC-fp #8,1.19078,SPEC
IPC,SPEC-fp #9,2.79524,SPEC
IPC,SPEC-fp #10,1.75963,SPEC
IPC,SPEC-fp #11,2.38109,SPEC
IPC,SPEC-int #14,2.65992,SPEC
IPC,SPEC-fp #12,2.79822,SPEC
IPC,axios-5892,1.4449,Agentic
IPC,axum-1730,1.52135,Agentic
IPC,babel-15649,1.6328,Agentic
IPC,bat-2835,1.761,Agentic
IPC,caddy-4774,2.0084,Agentic
IPC,carbon-2752,1.93595,Agentic
IPC,core-11870,1.6074,Agentic
IPC,docusaurus-10130,1.5937000000000001,Agentic
IPC,docusaurus-9897,1.5739,Agentic
IPC,fastlane-20958,1.972,Agentic
IPC,fluentd-3328,1.32965,Agentic
IPC,fmt-2457,1.8059,Agentic
IPC,fmt-3750,1.8577,Agentic
IPC,fmt-3901,1.82815,Agentic
IPC,framework-52684,1.5110000000000001,Agentic
IPC,gin-2121,1.5838,Agentic
IPC,gson-1093,1.6352,Agentic
IPC,gson-2134,1.707,Agentic
IPC,hugo-12579,1.7793,Agentic
IPC,immutable-js-2006,1.767,Agentic
IPC,javaparser-4538,1.7902,Agentic
IPC,jekyll-8167,1.9816,Agentic
IPC,jq-2598,1.8374,Agentic
IPC,json-4237,2.0237499999999997,Agentic
IPC,lombok-3479,1.7969,Agentic
IPC,micropython-13039,1.738,Agentic
IPC,nushell-13831,1.5917,Agentic
IPC,php-cs-fixer-8064,1.7361,Agentic
IPC,phpspreadsheet-3463,1.5053,Agentic
IPC,preact-3763,1.66665,Agentic
IPC,prometheus-10720,1.7829000000000002,Agentic
IPC,redis-10068,1.8125,Agentic
IPC,redis-12272,1.7589000000000001,Agentic
IPC,ripgrep-2209,1.6491500000000001,Agentic
IPC,rubocop-13560,1.91635,Agentic
IPC,three.js-26589,1.7389000000000001,Agentic
