"fence","metric","grp","col","n","median","mean","p5","p95","max"
"harness","BTB MPKI (BAClears)","C","jq-2598",263,0.4581,3.70999087452471,0.01915,10.09984,14.5464
"harness","BTB MPKI (BAClears)","C","micropython-13039",109,7.0745,5.35083853211009,0.1876,9.92632,10.6247
"harness","BTB MPKI (BAClears)","C","redis-12272",99,3.7059,4.78128888888889,0.16602,9.89519,10.2175
"harness","BTB MPKI (BAClears)","C++","fmt-2457",850,0.0713,2.06934129411765,0.0033,10.02042,11.9589
"harness","BTB MPKI (BAClears)","C++","fmt-3750",249,0.6773,3.95440040160643,0.03834,10.12232,11.6128
"harness","BTB MPKI (BAClears)","C++","fmt-3901",83,4.2609,4.97480602409639,0.23072,9.86305,10.0017
"harness","BTB MPKI (BAClears)","C++","json-4237",267,0.4516,3.9190925093633,0.02384,10.08555,13.5074
"harness","BTB MPKI (BAClears)","Go","caddy-4774",702,0.11655,2.52830156695157,0.003505,10.30781,16.2309
"harness","BTB MPKI (BAClears)","Go","gin-2121",81,2.678,5.02410740740741,0.2652,10.0144,11.2478
"harness","BTB MPKI (BAClears)","Go","hugo-12579",135,1.3897,4.40758296296296,0.09601,10.17266,13.3569
"harness","BTB MPKI (BAClears)","Go","prometheus-10720",585,0.1516,2.91656512820513,0.0043,10.1967,11.8999
"harness","BTB MPKI (BAClears)","Java","gson-1093",124,2.63555,4.76468870967742,0.118325,10.24586,13.2782
"harness","BTB MPKI (BAClears)","Java","gson-2134",100,2.5303,4.773677,0.167315,10.026615,10.5143
"harness","BTB MPKI (BAClears)","Java","javaparser-4538",140,2.01765,4.46563785714286,0.108565,10.13187,10.4761
"harness","BTB MPKI (BAClears)","Java","lombok-3479",552,0.15185,2.9988125,0.0046,10.215485,12.7359
"harness","BTB MPKI (BAClears)","JavaScript","babel-15649",147,2.2803,5.05871156462585,0.104,10.58294,15.8167
"harness","BTB MPKI (BAClears)","JavaScript","preact-3763",109,2.7482,4.90746788990826,0.12538,10.31308,11.6028
"harness","BTB MPKI (BAClears)","JavaScript","three.js-26589",351,0.2636,3.52528945868946,0.0064,10.2372,12
"harness","BTB MPKI (BAClears)","PHP","carbon-2752",223,0.9879,3.99102331838565,0.04283,10.08383,10.9937
"harness","BTB MPKI (BAClears)","PHP","framework-52684",135,2.1192,4.80976518518519,0.09749,10.28792,10.5847
"harness","BTB MPKI (BAClears)","PHP","php-cs-fixer-8064",378,0.3537,3.40457407407407,0.0073,10.240725,12.9585
"harness","BTB MPKI (BAClears)","PHP","phpspreadsheet-3463",187,1.5274,4.65720320855615,0.06405,10.35598,14.0635
"harness","BTB MPKI (BAClears)","Ruby","fastlane-20958",143,1.1788,4.49406573426573,0.07473,10.14133,11.7486
"harness","BTB MPKI (BAClears)","Ruby","fpm-1829",146,1.2554,4.41029246575342,0.066125,9.954,11.9839
"harness","BTB MPKI (BAClears)","Ruby","rubocop-13560",573,0.1256,2.9133965095986,0.00376,10.15392,13.9932
"harness","BTB MPKI (BAClears)","Rust","axum-1730",214,0.5402,4.2671023364486,0.033755,10.172575,13.7063
"harness","BTB MPKI (BAClears)","Rust","bat-2835",651,0.1162,2.73174869431644,0.0038,10.16485,11.9495
"harness","BTB MPKI (BAClears)","Rust","nushell-13831",156,2.0882,4.79174743589744,0.07955,10.736825,12.4685
"harness","BTB MPKI (BAClears)","Rust","ripgrep-2209",335,0.3215,3.59021731343284,0.00785,10.23544,11.9707
"harness","BTB MPKI (BAClears)","SPEC-fp","SPEC-fp",12,0.006745,0.01607,0.0007015,0.0622449999999999,0.11884
"harness","BTB MPKI (BAClears)","SPEC-int","SPEC-int",14,0.017505,0.180978571428571,0.001061,0.8306835,1.63552
"harness","BTB MPKI (BAClears)","TypeScript","docusaurus-10130",158,0.9975,4.51321265822785,0.056305,10.096135,11.585
"harness","BTB MPKI (BAClears)","TypeScript","docusaurus-9897",201,0.8726,4.45044427860697,0.0465,10.3147,14.6978
"harness","BTB MPKI (BAClears)","TypeScript","immutable-js-2006",378,0.2551,3.29024206349206,0.004985,10.14762,12.3382
"harness","Branch MPKI","C","jq-2598",286,3.973,9.17156538461538,0.691875,20.203275,21.255
"harness","Branch MPKI","C","micropython-13039",103,10.6328,11.4054339805825,1.3396,20.13837,21.2131
"harness","Branch MPKI","C","redis-12272",96,10.7604,11.0937020833333,1.4526,20.166375,20.368
"harness","Branch MPKI","C++","fmt-2457",887,1.1132,5.47263821871477,0.45515,20.1553,21.1682
"harness","Branch MPKI","C++","fmt-3750",258,3.85745,9.51047674418605,0.80019,20.12181,21.2781
"harness","Branch MPKI","C++","fmt-3901",78,11.94115,11.605291025641,1.692135,20.256325,20.4407
"harness","Branch MPKI","C++","json-4237",283,2.6057,8.45584946996467,0.73841,20.07889,20.7591
"harness","Branch MPKI","Go","caddy-4774",716,1.21015,6.04600656424581,0.4747,19.965,20.9324
"harness","Branch MPKI","Go","gin-2121",84,10.97345,11.7528904761905,1.453175,20.33055,20.7052
"harness","Branch MPKI","Go","hugo-12579",136,6.9493,10.5813573529412,1.179,20.306725,21.2672
"harness","Branch MPKI","Go","prometheus-10720",582,1.41555,6.91458762886598,0.49168,20.28537,21.2782
"harness","Branch MPKI","Java","gson-1093",127,9.4032,10.7969251968504,1.34259,20.50856,21.733
"harness","Branch MPKI","Java","gson-2134",100,11.33765,11.561394,1.324385,20.3512,21.4638
"harness","Branch MPKI","Java","javaparser-4538",147,8.6339,10.7772115646258,1.02992,20.27275,21.4229
"harness","Branch MPKI","Java","lombok-3479",561,1.4481,7.00611497326203,0.4886,20.1718,21.0391
"harness","Branch MPKI","JavaScript","babel-15649",159,10.6051,11.0635119496855,1.05881,20.07469,20.6273
"harness","Branch MPKI","JavaScript","preact-3763",118,7.0976,10.4950415254237,1.22422,20.227145,21.0024
"harness","Branch MPKI","JavaScript","three.js-26589",352,1.7495,8.02297244318182,0.71424,20.26224,21.1489
"harness","Branch MPKI","PHP","carbon-2752",222,4.97495,9.51973018018018,0.805355,20.058535,20.5133
"harness","Branch MPKI","PHP","framework-52684",139,7.4437,10.5776294964029,1.19409,20.22629,21.323
"harness","Branch MPKI","PHP","php-cs-fixer-8064",384,2.1668,8.1505515625,0.719515,20.112105,21.4205
"harness","Branch MPKI","PHP","phpspreadsheet-3463",186,6.8258,10.2164559139785,0.92485,20.077275,20.5896
"harness","Branch MPKI","Python","astropy",1322,0.7399,4.44694508320726,0.34922,20.124475,21.9203
"harness","Branch MPKI","Python","scikit-learn",144,11.40605,11.1015944444444,1.08921,20.16714,20.7922
"harness","Branch MPKI","Python","sympy",1966,0.7424,3.86302441505595,0.38225,20.020775,21.1461
"harness","Branch MPKI","Ruby","fastlane-20958",140,5.50765,10.4691678571429,1.02224,20.44881,21.2464
"harness","Branch MPKI","Ruby","fpm-1829",139,6.9985,10.2686654676259,1.27694,20.02262,20.2788
"harness","Branch MPKI","Ruby","rubocop-13560",598,1.32095,6.75403712374582,0.48034,20.16453,21.2885
"harness","Branch MPKI","Rust","axum-1730",222,3.3941,9.42581171171171,0.986475,20.171715,20.8338
"harness","Branch MPKI","Rust","bat-2835",649,1.3248,6.21304268104777,0.47148,20.23994,21.1258
