row,language,cell,n_episodes,tool_core_s_median,tool_core_s_min,tool_core_s_max,harness_core_s_median,harness_core_s_min,harness_core_s_max,tool_core_s,harness_core_s
redis-t12272,C,B,9.0,56.4,56.3,56.6,1.7,1.6,1.7,,
micropython-t13039,C,T,9.0,24.7,24.5,24.8,1.7,1.6,1.7,,
redis-t10068,C,M,9.0,60.5,59.0,62.2,2.5,2.4,2.6,,
jqlang-t2598,C,S,9.0,81.8,81.6,82.4,9.8,9.8,9.9,,
nlohmann-t4237,C++,B,9.0,524.2,522.4,524.7,9.9,9.9,10.0,,
fmtlib-t3750,C++,B,9.0,230.8,230.4,231.1,8.1,8.0,8.1,,
fmtlib-t3901,C++,B,9.0,195.4,194.9,195.8,1.3,1.3,1.4,,
fmtlib-t2457,C++,B,9.0,170.4,170.2,170.8,65.4,64.9,65.7,,
sharkdp-t2835,Rust,M,9.0,286.0,285.5,286.5,42.6,42.6,42.8,,
burntsushi-t2209,Rust,T,9.0,95.4,95.2,96.0,15.0,14.9,15.1,,
nushell-t13831,Rust,B,9.0,380.2,380.0,380.9,3.6,3.5,3.6,,
tokio-rs-t1730,Rust,B,9.0,414.9,414.6,416.3,7.0,6.9,7.0,,
gin-gonic-t2121,Go,T,9.0,22.1,22.0,22.2,1.3,1.3,1.4,,
caddyserver-t4774,Go,B,9.0,250.0,249.5,250.5,48.1,47.6,48.4,,
prometheus-t10720,Go,M,9.0,200.7,200.5,201.6,34.3,34.2,34.3,,
gohugoio-t12579,Go,M,9.0,331.3,330.8,332.0,2.9,2.8,2.9,,
google-t1093,Java,B,9.0,39.2,35.0,39.7,2.4,2.3,2.5,,
google-t2134,Java,T,9.0,72.0,70.6,72.8,1.7,1.7,1.8,,
javaparser-t4538,Java,M,9.0,160.0,158.9,161.2,2.9,2.8,2.9,,
projectlombok-t3479,Java,S,9.0,242.9,242.1,244.7,32.3,32.1,32.4,,
laravel-t52684,PHP,B,9.0,6.9,6.9,7.2,2.7,2.6,2.7,,
phpoffice-t3463,PHP,M,9.0,18.5,18.5,18.6,4.5,4.4,4.6,,
php-cs-fixer-t8064,PHP,T,9.0,47.9,47.8,48.1,17.4,17.4,17.5,,
briannesbitt-t2752,PHP,S,9.0,16.1,16.1,16.3,6.4,6.3,6.4,,
jekyll-t8167,Ruby,T,9.0,28.3,28.3,28.5,3.5,3.4,3.5,,
fluent-t3328,Ruby,T,9.0,32.3,31.9,32.8,23.2,23.1,23.6,,
rubocop-t13560,Ruby,M,9.0,60.9,60.8,61.0,35.3,35.2,35.6,,
fastlane-t20958,Ruby,T,9.0,33.5,33.4,33.6,3.3,3.3,3.4,,
preactjs-t3763,JavaScript,M,9.0,71.5,71.1,71.8,2.1,2.1,2.2,,
babel-t15649,JavaScript,T,9.0,33.5,33.4,34.5,2.8,2.8,2.9,,
axios-t5892,JavaScript,T,9.0,22.3,22.2,22.4,6.2,6.0,6.2,,
mrdoob-t26589,JavaScript,T,9.0,27.1,27.1,27.2,16.5,16.4,16.9,,
vuejs-t11870,TypeScript,S,9.0,113.7,113.6,113.9,3.9,3.8,3.9,,
facebook-t9897,TypeScript,T,9.0,32.0,31.9,32.1,5.4,5.4,5.5,,
immutable-js-t2006,TypeScript,T,9.0,464.3,459.0,468.0,18.5,18.4,18.6,,
facebook-t10130,TypeScript,T,9.0,26.8,26.6,26.9,4.0,4.0,4.1,,
AVG,,,,,,,,,,135.4,12.5
MEDIAN,,,,,,,,,,66.2,5.0
