row,language,cell,n_episodes,tool_busy_s_median,tool_busy_s_min,tool_busy_s_max,harness_busy_s_median,episode_wall_s_median,tool_parallelism_x,tool_busy_s,harness_busy_s,episode_wall_s
redis-t12272,C,B,9.0,34.1,34.0,38.5,7.3,80.4,1.66,,,
micropython-t13039,C,T,9.0,37.6,36.3,41.4,7.6,44.0,0.66,,,
redis-t10068,C,M,9.0,87.1,85.7,92.9,9.4,102.3,0.69,,,
jqlang-t2598,C,S,9.0,112.9,112.5,113.2,22.2,125.0,0.72,,,
nlohmann-t4237,C++,B,9.0,186.8,186.4,187.1,22.7,201.5,2.81,,,
fmtlib-t3750,C++,B,9.0,149.5,149.0,149.7,19.9,159.5,1.54,,,
fmtlib-t3901,C++,B,9.0,76.4,76.2,76.6,6.1,83.7,2.56,,,
fmtlib-t2457,C++,B,9.0,237.8,236.1,238.3,88.5,297.4,0.72,,,
sharkdp-t2835,Rust,M,9.0,159.7,159.3,161.3,62.9,198.3,1.79,,,
burntsushi-t2209,Rust,T,9.0,67.4,66.9,67.8,28.6,81.1,1.41,,,
nushell-t13831,Rust,B,9.0,160.6,159.6,162.0,12.3,171.1,2.37,,,
tokio-rs-t1730,Rust,B,9.0,154.7,154.1,155.1,17.0,165.6,2.68,,,
gin-gonic-t2121,Go,T,9.0,19.2,19.2,19.5,6.0,24.9,1.15,,,
caddyserver-t4774,Go,B,9.0,158.1,157.0,158.6,69.4,221.5,1.58,,,
prometheus-t10720,Go,M,9.0,104.5,104.2,105.0,53.8,133.2,1.92,,,
gohugoio-t12579,Go,M,9.0,91.8,91.0,92.8,10.1,101.0,3.61,,,
google-t1093,Java,B,9.0,33.6,33.3,34.6,9.1,39.8,1.17,,,
google-t2134,Java,T,9.0,34.6,34.5,34.8,7.6,40.7,2.08,,,
javaparser-t4538,Java,M,9.0,60.7,60.4,61.2,10.6,67.5,2.63,,,
projectlombok-t3479,Java,S,9.0,133.1,132.6,133.7,51.1,161.3,1.83,,,
laravel-t52684,PHP,B,9.0,24.9,24.5,25.4,9.9,30.9,0.28,,,
phpoffice-t3463,PHP,M,9.0,44.1,43.9,44.7,13.8,50.5,0.42,,,
php-cs-fixer-t8064,PHP,T,9.0,94.9,94.4,95.8,33.2,114.4,0.5,,,
briannesbitt-t2752,PHP,S,9.0,46.5,46.0,47.0,17.0,74.6,0.35,,,
jekyll-t8167,Ruby,T,9.0,48.9,48.7,49.2,11.9,55.3,0.58,,,
fluent-t3328,Ruby,T,9.0,129.3,113.6,130.7,40.2,468.9,0.25,,,
rubocop-t13560,Ruby,M,9.0,117.7,116.9,118.0,55.1,146.7,0.52,,,
fastlane-t20958,Ruby,T,9.0,51.3,51.2,51.8,10.7,58.0,0.65,,,
preactjs-t3763,JavaScript,M,9.0,48.8,48.6,49.3,8.4,55.5,1.46,,,
babel-t15649,JavaScript,T,9.0,32.9,32.7,34.9,10.5,39.0,1.02,,,
axios-t5892,JavaScript,T,9.0,59.1,55.1,59.7,16.4,246.3,0.38,,,
mrdoob-t26589,JavaScript,T,9.0,60.3,59.8,60.9,30.2,73.1,0.45,,,
vuejs-t11870,TypeScript,S,9.0,61.1,60.9,61.2,12.4,68.6,1.86,,,
facebook-t9897,TypeScript,T,9.0,43.7,43.4,43.9,15.2,53.6,0.73,,,
immutable-js-t2006,TypeScript,T,9.0,149.3,148.0,150.3,33.4,168.9,3.11,,,
facebook-t10130,TypeScript,T,9.0,39.4,39.3,39.6,12.5,45.7,0.68,,,
AVG,,,,,,,,,1.55,87.6,23.7,118.0
MEDIAN,,,,,,,,,1.03,64.3,14.5,82.4
