row,language,cell,wall,seg_tool,seg_harn,seg_wait,busy_tool,busy_harn,wait
redis-t12272,C,B,870.6,33.2,3.2,834.2,33.2,22.8,834.2
micropython-t13039,C,T,205.1,42.4,3.6,159.1,42.4,25.0,159.1
redis-t10068,C,M,545.3,75.0,4.8,465.5,75.0,31.0,465.5
jqlang-t2598,C,S,615.4,127.0,16.2,472.2,127.0,70.2,472.2
nlohmann-t4237,C++,B,765.5,166.0,15.6,583.8,166.0,67.4,583.8
fmtlib-t3750,C++,B,805.5,130.4,13.0,662.1,130.4,64.8,662.1
fmtlib-t3901,C++,B,240.1,54.4,2.2,183.5,54.4,18.4,183.5
fmtlib-t2457,C++,B,1596.0,219.6,87.4,1289.0,219.6,183.0,1289.0
sharkdp-t2835,Rust,M,1220.8,152.0,61.2,1007.5,152.0,146.0,1007.5
burntsushi-t2209,Rust,T,1636.1,79.4,24.0,1532.7,79.4,80.6,1532.7
nushell-t13831,Rust,B,435.2,121.4,5.2,308.6,121.4,38.4,308.6
tokio-rs-t1730,Rust,B,655.5,124.0,11.6,519.9,124.0,54.2,519.9
gin-gonic-t2121,Go,T,265.1,23.0,2.8,239.3,23.0,18.0,239.3
caddyserver-t4774,Go,B,1230.8,153.8,73.6,1003.4,153.8,155.6,1003.4
prometheus-t10720,Go,M,865.6,115.8,61.0,688.8,115.8,141.4,688.8
gohugoio-t12579,Go,M,520.4,76.4,6.6,437.3,76.4,34.0,437.3
google-t1093,Java,B,685.4,39.8,5.0,640.6,39.8,31.2,640.6
google-t2134,Java,T,215.1,34.8,3.2,177.0,34.8,24.4,177.0
javaparser-t4538,Java,M,580.3,59.8,7.4,513.1,59.8,38.0,513.1
projectlombok-t3479,Java,S,1035.7,134.8,53.2,847.7,134.8,130.4,847.7
laravel-t52684,PHP,B,815.6,35.8,9.6,770.2,35.8,37.0,770.2
phpoffice-t3463,PHP,M,880.5,54.8,10.8,814.9,54.8,48.8,814.9
php-cs-fixer-t8064,PHP,T,1135.7,113.4,33.8,988.5,113.4,96.2,988.5
briannesbitt-t2752,PHP,S,685.5,60.8,14.0,610.7,60.8,55.8,610.7
jekyll-t8167,Ruby,T,325.2,56.0,5.0,264.2,56.0,38.6,264.2
fluent-t3328,Ruby,T,1516.0,163.0,34.6,1318.4,163.0,103.8,1318.4
rubocop-t13560,Ruby,M,1451.0,130.0,56.6,1264.4,130.0,140.8,1264.4
fastlane-t20958,Ruby,T,1095.8,57.2,5.4,1033.2,57.2,37.2,1033.2
preactjs-t3763,JavaScript,M,265.1,46.4,2.8,215.9,46.4,26.4,215.9
babel-t15649,JavaScript,T,310.2,42.4,4.8,263.0,42.4,33.8,263.0
axios-t5892,JavaScript,T,915.7,73.0,9.0,833.6,73.0,48.4,833.6
mrdoob-t26589,JavaScript,T,1180.8,74.8,25.6,1080.4,74.8,84.4,1080.4
vuejs-t11870,TypeScript,S,535.3,61.8,8.2,465.3,61.8,43.0,465.3
facebook-t9897,TypeScript,T,460.2,57.2,9.0,394.0,57.2,50.6,394.0
immutable-js-t2006,TypeScript,T,1155.8,122.4,30.8,1002.5,122.4,91.8,1002.5
facebook-t10130,TypeScript,T,420.3,50.6,6.2,363.5,50.6,40.8,363.5
AVG,,,781.6,87.9,20.2,673.6,87.9,65.3,673.6
MEDIAN,,,725.5,73.9,9.3,625.6,73.9,48.6,625.6
