row,language,cell,pct_retiring,pct_fe-bound,pct_bad-spec,pct_be-bound,tool_slot_share_pct,n
redis-t12272,C,B,27.678,36.018,20.22,16.084,97.0,
micropython-t13039,C,T,30.632,34.398,16.857,18.113,93.5,
redis-t10068,C,M,32.677,31.62,14.996,20.706,95.9,
jqlang-t2598,C,S,32.311,33.301,18.271,16.117,89.2,
nlohmann-t4237,C++,B,40.375,29.162,8.623,21.84,98.1,
fmtlib-t3750,C++,B,28.657,32.739,17.971,20.633,96.6,
fmtlib-t3901,C++,B,27.747,34.069,18.12,20.064,99.3,
fmtlib-t2457,C++,B,31.323,29.723,15.567,23.387,72.2,
sharkdp-t2835,Rust,M,32.903,27.895,12.947,26.255,87.0,
burntsushi-t2209,Rust,T,29.177,29.334,15.267,26.222,86.3,
nushell-t13831,Rust,B,25.794,27.693,15.541,30.973,99.1,
tokio-rs-t1730,Rust,B,26.417,25.781,14.024,33.778,98.3,
gin-gonic-t2121,Go,T,28.237,29.995,15.341,26.427,94.0,
caddyserver-t4774,Go,B,33.778,20.629,12.244,33.348,83.7,
prometheus-t10720,Go,M,29.421,29.633,13.868,27.078,85.3,
gohugoio-t12579,Go,M,29.011,33.823,15.128,22.038,99.1,
google-t1093,Java,B,29.984,29.598,17.835,22.583,94.0,
google-t2134,Java,T,30.761,28.97,19.891,20.378,97.6,
javaparser-t4538,Java,M,31.65,29.33,17.823,21.197,98.2,
projectlombok-t3479,Java,S,30.108,28.76,17.491,23.64,88.2,
laravel-t52684,PHP,B,30.422,27.865,18.062,23.651,71.9,
phpoffice-t3463,PHP,M,28.946,32.006,15.647,23.401,80.1,
php-cs-fixer-t8064,PHP,T,32.588,28.844,13.185,25.383,73.2,
briannesbitt-t2752,PHP,S,35.976,32.834,11.003,20.187,71.3,
jekyll-t8167,Ruby,T,35.793,31.07,11.844,21.292,89.0,
fluent-t3328,Ruby,T,34.453,29.596,13.345,22.606,57.9,
rubocop-t13560,Ruby,M,33.518,26.39,12.33,27.761,63.2,
fastlane-t20958,Ruby,T,33.319,31.665,12.613,22.403,90.9,
preactjs-t3763,JavaScript,M,27.011,37.012,17.369,18.608,97.0,
babel-t15649,JavaScript,T,28.887,36.711,14.916,19.486,92.0,
axios-t5892,JavaScript,T,29.65,33.61,15.542,21.198,78.1,
mrdoob-t26589,JavaScript,T,37.21,26.55,15.426,20.814,62.0,
vuejs-t11870,TypeScript,S,27.025,37.511,17.06,18.405,96.6,
facebook-t9897,TypeScript,T,29.275,34.961,16.078,19.687,85.3,
immutable-js-t2006,TypeScript,T,31.392,32.723,15.21,20.675,96.2,
facebook-t10130,TypeScript,T,29.93,36.285,14.826,18.959,86.6,
SPEC-int,,,33.829,25.631,14.471,19.415,,14.0
SPEC-fp,,,41.547,8.934,1.487,41.98,,12.0
MEDIAN,,,30.962,31.236,15.738,22.063,,
