metric,workload,v,side
IPC,SPEC-int #1,1.69004,SPEC
Branch MPKI,SPEC-int #1,5.89401,SPEC
Branch-direction MPKI,SPEC-int #1,5.76881,SPEC
BTB MPKI (BAClears),SPEC-int #1,0.02643,SPEC
DSB coverage (%),SPEC-int #1,38.51289,SPEC
uop-cache (DSB) MPKI,SPEC-int #1,70.95997,SPEC
L1I MPKI (code-read),SPEC-int #1,11.29282,SPEC
L1D-load MPKI,SPEC-int #1,2.8608,SPEC
L2-load MPKI,SPEC-int #1,0.32698,SPEC
LLC MPKI,SPEC-int #1,0.23412,SPEC
L1I stall (% cycles),SPEC-int #1,2.25695,SPEC
L1D miss rate (%),SPEC-int #1,1.03399,SPEC
L2-load miss rate (%),SPEC-int #1,11.15001,SPEC
LLC miss rate (%),SPEC-int #1,73.06052,SPEC
DRAM read (GB/s),SPEC-int #1,0.35587,SPEC
Context switches (/CPU-s),SPEC-int #1,0.0,SPEC
IPC,SPEC-int #2,3.22922,SPEC
Branch MPKI,SPEC-int #2,2.70568,SPEC
Branch-direction MPKI,SPEC-int #2,2.72082,SPEC
BTB MPKI (BAClears),SPEC-int #2,0.00125,SPEC
DSB coverage (%),SPEC-int #2,96.8356,SPEC
uop-cache (DSB) MPKI,SPEC-int #2,3.59731,SPEC
L1I MPKI (code-read),SPEC-int #2,0.05938,SPEC
L1D-load MPKI,SPEC-int #2,1.86786,SPEC
L2-load MPKI,SPEC-int #2,0.04258,SPEC
LLC MPKI,SPEC-int #2,0.00523,SPEC
L1I stall (% cycles),SPEC-int #2,0.02072,SPEC
L1D miss rate (%),SPEC-int #2,0.72284,SPEC
L2-load miss rate (%),SPEC-int #2,2.33596,SPEC
LLC miss rate (%),SPEC-int #2,12.23367,SPEC
DRAM read (GB/s),SPEC-int #2,0.03217,SPEC
Context switches (/CPU-s),SPEC-int #2,0.0,SPEC
IPC,SPEC-int #3,1.52447,SPEC
Branch MPKI,SPEC-int #3,3.13509,SPEC
Branch-direction MPKI,SPEC-int #3,3.32711,SPEC
BTB MPKI (BAClears),SPEC-int #3,0.00279,SPEC
DSB coverage (%),SPEC-int #3,93.8414,SPEC
uop-cache (DSB) MPKI,SPEC-int #3,12.4869,SPEC
L1I MPKI (code-read),SPEC-int #3,1.65675,SPEC
L1D-load MPKI,SPEC-int #3,5.14107,SPEC
L2-load MPKI,SPEC-int #3,1.89998,SPEC
LLC MPKI,SPEC-int #3,0.4931,SPEC
L1I stall (% cycles),SPEC-int #3,0.97131,SPEC
L1D miss rate (%),SPEC-int #3,1.67473,SPEC
L2-load miss rate (%),SPEC-int #3,39.78486,SPEC
LLC miss rate (%),SPEC-int #3,50.8523,SPEC
DRAM read (GB/s),SPEC-int #3,2.38167,SPEC
Context switches (/CPU-s),SPEC-int #3,0.0,SPEC
IPC,SPEC-fp #1,1.58877,SPEC
Branch MPKI,SPEC-fp #1,0.0047,SPEC
Branch-direction MPKI,SPEC-fp #1,0.00452,SPEC
BTB MPKI (BAClears),SPEC-fp #1,0.00094,SPEC
DSB coverage (%),SPEC-fp #1,0.01012,SPEC
uop-cache (DSB) MPKI,SPEC-fp #1,107.93264,SPEC
L1I MPKI (code-read),SPEC-fp #1,106.7709,SPEC
L1D-load MPKI,SPEC-fp #1,127.94444,SPEC
L2-load MPKI,SPEC-fp #1,2.83687,SPEC
LLC MPKI,SPEC-fp #1,0.69277,SPEC
L1I stall (% cycles),SPEC-fp #1,27.99014,SPEC
L1D miss rate (%),SPEC-fp #1,19.68378,SPEC
L2-load miss rate (%),SPEC-fp #1,2.2266,SPEC
LLC miss rate (%),SPEC-fp #1,24.10502,SPEC
DRAM read (GB/s),SPEC-fp #1,1.2676,SPEC
Context switches (/CPU-s),SPEC-fp #1,9.78761,SPEC
IPC,SPEC-int #4,1.98895,SPEC
Branch MPKI,SPEC-int #4,0.9888,SPEC
Branch-direction MPKI,SPEC-int #4,0.96924,SPEC
BTB MPKI (BAClears),SPEC-int #4,0.00858,SPEC
DSB coverage (%),SPEC-int #4,63.61901,SPEC
uop-cache (DSB) MPKI,SPEC-int #4,55.85091,SPEC
L1I MPKI (code-read),SPEC-int #4,6.07574,SPEC
L1D-load MPKI,SPEC-int #4,11.35479,SPEC
L2-load MPKI,SPEC-int #4,3.64466,SPEC
LLC MPKI,SPEC-int #4,0.04273,SPEC
L1I stall (% cycles),SPEC-int #4,3.26315,SPEC
L1D miss rate (%),SPEC-int #4,3.5468,SPEC
L2-load miss rate (%),SPEC-int #4,32.17238,SPEC
LLC miss rate (%),SPEC-int #4,1.16996,SPEC
DRAM read (GB/s),SPEC-int #4,3.02639,SPEC
Context switches (/CPU-s),SPEC-int #4,0.0,SPEC
IPC,SPEC-int #5,3.65272,SPEC
Branch MPKI,SPEC-int #5,0.00132,SPEC
Branch-direction MPKI,SPEC-int #5,0.00097,SPEC
BTB MPKI (BAClears),SPEC-int #5,0.07794,SPEC
