"fence","metric","side","n","median","mean","p5","p95","max"
"harness","BTB MPKI (BAClears)","SPEC",26,0.007845,0.104866923076923,0.0007675,0.3697625,1.63552
"harness","BTB MPKI (BAClears)","Agentic",32,0.9927,1.45006875,0.1163925,3.95565,7.0745
"harness","Branch MPKI","SPEC",26,0.847255,2.30900192307692,0.0083025,6.68845,11.80665
"harness","Branch MPKI","Agentic",32,5.410025,5.529396875,1.27109,11.13734,11.94115
"harness","Branch-direction MPKI","SPEC",26,0.824925,2.04765846153846,0.00818,5.8344425,11.84357
"harness","Branch-direction MPKI","Agentic",32,3.3756,3.9443125,1.06295,8.10342,10.4778
"harness","Context switches (/CPU-s)","SPEC",26,0,2.07681576923077,0,9.8074525,9.8561
"harness","Context switches (/CPU-s)","Agentic",32,204.32035,210.79089375,19.9570275,461.74698,519.9307
"harness","DRAM read (GB/s)","SPEC",26,1.516585,2.69387,0.015025,11.28239,12.14915
"harness","DRAM read (GB/s)","Agentic",32,0.05095,0.11211875,0.021675,0.42794,0.4965
"harness","DSB coverage (%)","SPEC",26,93.899075,76.5218842307692,29.45965,99.6929775,99.81155
"harness","DSB coverage (%)","Agentic",32,53.411575,60.951996875,42.5201,82.424595,83.3917
"harness","IPC","SPEC",26,2.18502,2.29794038461538,1.254105,3.6919375,4.15447
"harness","IPC","Agentic",32,1.3171,1.4476859375,0.751365,2.209065,2.4025
"harness","L1D miss rate (%)","SPEC",26,2.40615,4.24633538461538,0.387245,14.796085,19.68378
"harness","L1D miss rate (%)","Agentic",32,1.87525,2.04345,1.116105,3.3898575,3.86625
"harness","L1D-load MPKI","SPEC",26,8.12929,15.3532830769231,0.5527025,44.309295,127.94444
"harness","L1D-load MPKI","Agentic",32,5.0317,5.3026453125,2.596135,8.77291,9.99305
"harness","L1I MPKI (code-read)","SPEC",26,0.845405,11.1758315384615,0.044095,37.9131525,106.7709
"harness","L1I MPKI (code-read)","Agentic",32,24.21595,27.9332796875,3.0042,59.1629325,96.9516
"harness","L1I stall (% cycles)","SPEC",26,0.63099,3.25085153846154,0.138725,8.7009975,27.99014
"harness","L1I stall (% cycles)","Agentic",32,10.6542,9.69126875,2.852205,15.487205,18.5739
