"metric","side","n","median","mean","p5","p95","max"
"BTB MPKI (BAClears)","SPEC",26,0.007845,0.104866923076923,0.0007675,0.3697625,1.63552
"BTB MPKI (BAClears)","Agentic",36,0.774575,0.826373611111111,0.386075,1.4191,1.63295
"Branch MPKI","SPEC",26,0.847255,2.30900192307692,0.0083025,6.68845,11.80665
"Branch MPKI","Agentic",36,4.301425,4.130775,2.510475,5.521675,6.14465
"Branch-direction MPKI","SPEC",26,0.824925,2.04765846153846,0.00818,5.8344425,11.84357
"Branch-direction MPKI","Agentic",36,3.59695,3.44264027777778,2.1408,4.5249375,5.0411
"Context switches (/CPU-s)","SPEC",26,0,2.07681576923077,0,9.8074525,9.8561
"Context switches (/CPU-s)","Agentic",36,549.4301,545.706630555556,9.826075,1273.1134375,1997.3238
"DRAM read (GB/s)","SPEC",26,1.516585,2.69387,0.015025,11.28239,12.14915
"DRAM read (GB/s)","Agentic",36,0.456725,0.689756944444444,0.1894625,1.6267625,3.1282
"DSB coverage (%)","SPEC",26,93.899075,76.5218842307692,29.45965,99.6929775,99.81155
"DSB coverage (%)","Agentic",36,66.1248,67.3187472222222,59.219825,78.556425,81.4134
"IPC","SPEC",26,2.18502,2.29794038461538,1.254105,3.6919375,4.15447
"IPC","Agentic",36,1.7489,1.72728888888889,1.4902,1.9883,2.02375
"L1D miss rate (%)","SPEC",26,2.40615,4.24633538461538,0.387245,14.796085,19.68378
"L1D miss rate (%)","Agentic",36,1.8866,1.91176944444444,1.3258,2.6495,2.7892
"L1D-load MPKI","SPEC",26,8.12929,15.3532830769231,0.5527025,44.309295,127.94444
"L1D-load MPKI","Agentic",36,4.839025,5.0203,3.262325,7.016075,8.0862
"L1I MPKI (code-read)","SPEC",26,0.845405,11.1758315384615,0.044095,37.9131525,106.7709
"L1I MPKI (code-read)","Agentic",36,15.6338,16.1358541666667,10.26375,22.861425,24.48605
"L1I stall (% cycles)","SPEC",26,0.63099,3.25085153846154,0.138725,8.7009975,27.99014
"L1I stall (% cycles)","Agentic",36,6.64745,6.47407361111111,4.1586875,8.623225,8.99885
"L2-load MPKI","SPEC",26,0.33444,1.87350115384615,0.001185,7.5616775,18.79417
"L2-load MPKI","Agentic",36,0.5454,0.550280555555556,0.2907125,0.862625,0.93775
"L2-load miss rate (%)","SPEC",26,5.884875,12.70854,0.181935,41.49159,66.70153
"L2-load miss rate (%)","Agentic",36,11.417275,12.0564125,8.1497375,17.058275,19.0344
"LLC MPKI","SPEC",26,0.042905,0.956384615384615,0.0001025,3.5779975,17.94153
"LLC MPKI","Agentic",36,0.143875,0.163148611111111,0.07175,0.315975,0.328
"LLC miss rate (%)","SPEC",25,21.18552,24.9874984,1.247836,69.5792839999999,91.95635
"LLC miss rate (%)","Agentic",36,33.472875,34.0735097222222,19.2113,46.0399625,51.9918
"uop-cache (DSB) MPKI","SPEC",26,9.278945,32.1276007692308,0.3575175,105.29829,120.2947
"uop-cache (DSB) MPKI","Agentic",36,46.9053,45.4335541666667,30.139975,55.8064875,58.8459
