"metric","column","language","med","mean","n"
"BTB MPKI (BAClears)","SPEC-int","SPEC-int",0.017505,0.180978571428571,14
"BTB MPKI (BAClears)","SPEC-fp","SPEC-fp",0.006745,0.01607,12
"BTB MPKI (BAClears)","redis-12272","C",1.0747,1.55818560209424,382
"BTB MPKI (BAClears)","micropython-13039","C",1.1159,1.86702942779292,367
"BTB MPKI (BAClears)","redis-10068","C",0.76625,1.03553620689655,696
"BTB MPKI (BAClears)","jq-2598","C",0.8752,1.02360431893688,903
"BTB MPKI (BAClears)","json-4237","C++",0.3635,0.649106743088334,1483
"BTB MPKI (BAClears)","fmt-3750","C++",0.61355,0.856775719120135,1182
"BTB MPKI (BAClears)","fmt-3901","C++",0.65875,0.859056208053691,596
"BTB MPKI (BAClears)","fmt-2457","C++",0.57625,0.87296327077748,2238
"BTB MPKI (BAClears)","bat-2835","Rust",0.4115,0.649072789581905,1459
"BTB MPKI (BAClears)","ripgrep-2209","Rust",0.7829,1.05977909407665,574
"BTB MPKI (BAClears)","nushell-13831","Rust",0.50955,0.68099295886076,1264
"BTB MPKI (BAClears)","axum-1730","Rust",0.6207,0.859800827129859,1209
"BTB MPKI (BAClears)","gin-2121","Go",1.22805,1.85683157894737,152
"BTB MPKI (BAClears)","caddy-4774","Go",0.1944,0.807637825216811,1499
"BTB MPKI (BAClears)","prometheus-10720","Go",0.3936,1.18767507723996,971
"BTB MPKI (BAClears)","hugo-12579","Go",0.8942,1.18751057023644,719
"BTB MPKI (BAClears)","gson-1093","Java",1.028,1.62638759398496,266
"BTB MPKI (BAClears)","gson-2134","Java",0.94165,1.56451911764706,272
"BTB MPKI (BAClears)","javaparser-4538","Java",0.6991,1.23865389473684,475
"BTB MPKI (BAClears)","lombok-3479","Java",0.5923,1.11218242220353,1189
"BTB MPKI (BAClears)","framework-52684","PHP",1.0202,1.90259897959184,196
"BTB MPKI (BAClears)","phpspreadsheet-3463","PHP",0.6917,1.63207857142857,350
"BTB MPKI (BAClears)","php-cs-fixer-8064","PHP",0.746,1.36269863013699,803
"BTB MPKI (BAClears)","carbon-2752","PHP",0.6369,1.60664173441734,369
"BTB MPKI (BAClears)","jekyll-8167","Ruby",0.5022,0.784807712082262,389
"BTB MPKI (BAClears)","fluentd-3328","Ruby",0.9493,3.06889077069458,1051
"BTB MPKI (BAClears)","rubocop-13560","Ruby",0.4126,0.699725764596849,1079
"BTB MPKI (BAClears)","fastlane-20958","Ruby",0.4054,0.792976923076923,403
"BTB MPKI (BAClears)","preact-3763","JavaScript",1.4027,1.63403648293963,381
"BTB MPKI (BAClears)","babel-15649","JavaScript",1.34455,1.68777328244275,262
"BTB MPKI (BAClears)","axios-5892","JavaScript",1.63295,3.87684397321429,448
"BTB MPKI (BAClears)","three.js-26589","JavaScript",0.8955,1.27093847619048,525
"BTB MPKI (BAClears)","core-11870","TypeScript",1.4683,1.5948975257732,485
"BTB MPKI (BAClears)","docusaurus-9897","TypeScript",1.20225,1.57650517241379,348
"BTB MPKI (BAClears)","immutable-js-2006","TypeScript",0.9031,1.02609306122449,1225
"BTB MPKI (BAClears)","docusaurus-10130","TypeScript",1.19575,1.55934294871795,312
"Branch MPKI","SPEC-int","SPEC-int",2.920385,3.37508714285714,14
"Branch MPKI","SPEC-fp","SPEC-fp",0.05429,1.06523583333333,12
"Branch MPKI","redis-12272","C",2.61415,3.73001387283237,346
"Branch MPKI","micropython-13039","C",5.0937,5.1750268707483,294
"Branch MPKI","redis-10068","C",3.44665,3.7737144,750
"Branch MPKI","jq-2598","C",4.5417,4.69479195652174,920
"Branch MPKI","json-4237","C++",2.7772,2.78052366666667,1500
"Branch MPKI","fmt-3750","C++",4.6914,4.61158404344194,1197
"Branch MPKI","fmt-3901","C++",5.00375,4.8339082781457,604
"Branch MPKI","fmt-2457","C++",4.2618,4.28161222958057,2265
"Branch MPKI","bat-2835","Rust",2.3655,3.33758617666891,1483
"Branch MPKI","ripgrep-2209","Rust",3.1047,4.0881837883959,586
"Branch MPKI","nushell-13831","Rust",3.6493,3.97388925490196,1275
"Branch MPKI","axum-1730","Rust",3.87535,4.06894124386252,1222
"Branch MPKI","gin-2121","Go",4.2479,4.84365256410256,156
"Branch MPKI","caddy-4774","Go",1.999,2.66956185430464,1510
"Branch MPKI","prometheus-10720","Go",2.5588,3.48226758130081,984
"Branch MPKI","hugo-12579","Go",3.8537,4.16659398907104,732
"Branch MPKI","gson-1093","Java",5.4919,5.25643048327138,269
"Branch MPKI","gson-2134","Java",5.611,5.68627391304348,276
"Branch MPKI","javaparser-4538","Java",4.6954,5.11282536082474,485
"Branch MPKI","lombok-3479","Java",4.4303,4.55240284518828,1195
"Branch MPKI","framework-52684","PHP",4.5516,5.3015635,200
"Branch MPKI","phpspreadsheet-3463","PHP",5.1592,5.11026619318182,352
"Branch MPKI","php-cs-fixer-8064","PHP",3.7478,3.93724292742927,813
