language,task,working_pct,stall_pct,tool_pct,harness_pct,n_calls,med_dur_s
C,redis-12272,4.18,95.82,94.66,5.34,45,0.136
C,micropython-13039,22.44,77.56,89.46,10.54,53,0.111
C,redis-10068,14.64,85.36,89.9,10.1,61,0.128
C,jq-2598,23.27,76.73,81.43,18.57,121,0.109
C++,json-4237,23.73,76.27,97.0,3.0,118,0.129
C++,fmt-3750,17.8,82.2,92.35,7.65,111,0.131
C++,fmt-3901,23.58,76.42,99.15,0.85,38,0.131
C++,fmt-2457,19.24,80.76,58.4,41.6,215,0.131
Rust,bat-2835,17.47,82.53,80.41,19.59,192,0.128
Rust,ripgrep-2209,6.32,93.68,78.23,21.77,127,0.118
Rust,nushell-13831,29.09,70.91,98.02,1.98,77,0.187
Rust,axum-1730,20.69,79.31,97.22,2.78,94,0.133
Go,gin-2121,9.74,90.26,91.21,8.79,43,0.109
Go,caddy-4774,18.48,81.52,76.95,23.05,202,0.109
Go,prometheus-10720,20.43,79.57,77.56,22.44,195,0.108
Go,hugo-12579,15.96,84.04,98.49,1.51,69,0.112
Java,gson-1093,6.54,93.46,90.41,9.59,60,0.11
Java,gson-2134,17.67,82.33,95.83,4.17,51,0.109
Java,javaparser-4538,11.58,88.42,96.8,3.2,74,0.11
Java,lombok-3479,18.15,81.85,80.47,19.53,185,0.109
PHP,framework-52684,5.57,94.43,52.3,47.7,81,0.108
PHP,phpspreadsheet-3463,7.45,92.55,60.04,39.96,93,0.123
PHP,php-cs-fixer-8064,12.96,87.04,60.8,39.2,149,0.116
PHP,carbon-2752,10.91,89.09,48.27,51.73,104,0.11
Ruby,jekyll-8167,18.76,81.24,75.8,24.2,79,0.135
Ruby,fluentd-3328,13.03,86.97,38.14,61.86,152,0.128
Ruby,rubocop-13560,12.86,87.14,42.12,57.88,195,0.119
Ruby,fastlane-20958,5.71,94.29,80.29,19.71,70,0.132
JavaScript,preact-3763,18.57,81.43,92.81,7.19,56,0.11
JavaScript,babel-15649,15.22,84.78,89.32,10.68,73,0.109
JavaScript,axios-5892,8.96,91.04,62.28,37.72,88,0.131
JavaScript,three.js-26589,8.5,91.5,41.21,58.79,130,0.133
TypeScript,core-11870,13.08,86.92,94.82,5.18,82,0.112
TypeScript,docusaurus-9897,14.39,85.61,77.45,22.55,95,0.109
TypeScript,immutable-js-2006,13.26,86.74,94.35,5.65,141,0.126
TypeScript,docusaurus-10130,13.52,86.48,75.02,24.98,77,0.124
AVG,AVG,14.83,85.17,79.14,20.86,105.4,0.122
MEDIAN,MEDIAN,14.51,85.49,80.95,19.05,90.5,0.119
