win	group	t_start	t_end	alive_after
000	priv	1785356737.685834	1785356739.722913	1
001	priv	1785356739.729385	1785356741.751310	1
002	priv	1785356741.757385	1785356743.777559	1
003	priv	1785356743.783986	1785356745.803944	1
004	priv	1785356745.810292	1785356747.829904	1
005	priv	1785356747.835765	1785356749.855989	1
006	priv	1785356749.862259	1785356751.882117	1
007	priv	1785356751.888295	1785356753.908567	1
008	priv	1785356753.914566	1785356755.934989	1
009	priv	1785356755.941882	1785356757.962965	1
010	priv	1785356757.969268	1785356759.989662	1
011	priv	1785356759.997798	1785356762.019912	1
012	priv	1785356762.026166	1785356764.045699	1
013	priv	1785356764.052245	1785356766.073915	1
014	priv	1785356766.079954	1785356768.100123	1
015	priv	1785356768.106379	1785356770.127888	1
016	priv	1785356770.134637	1785356772.155024	1
017	priv	1785356772.161102	1785356774.180716	1
018	priv	1785356774.187074	1785356776.207340	1
019	priv	1785356776.214064	1785356778.235693	1
020	priv	1785356778.241929	1785356780.262192	1
021	priv	1785356780.269091	1785356782.289917	1
022	priv	1785356782.296285	1785356784.317835	1
023	priv	1785356784.324439	1785356786.344412	1
024	priv	1785356786.350369	1785356788.370330	1
025	priv	1785356788.377393	1785356790.397450	1
026	priv	1785356790.403776	1785356792.423817	1
027	priv	1785356792.431143	1785356794.452332	1
028	priv	1785356794.458729	1785356796.480814	1
029	priv	1785356796.489141	1785356798.511506	1
030	priv	1785356798.517584	1785356800.537348	1
031	priv	1785356800.544212	1785356802.565988	1
032	priv	1785356802.572121	1785356804.592091	1
033	priv	1785356804.598762	1785356806.620103	1
034	priv	1785356806.626294	1785356808.646110	1
035	priv	1785356808.652652	1785356810.674830	1
036	priv	1785356810.680921	1785356812.700415	1
037	priv	1785356812.706736	1785356814.727060	1
038	priv	1785356814.733101	1785356816.753070	1
039	priv	1785356816.759456	1785356818.780170	0
