win	group	t_start	t_end	alive_after
000	core_ports	1785346614.325538	1785346616.376934	1
001	core_ports	1785346616.385017	1785346618.408301	1
002	core_ports	1785346618.415007	1785346620.437341	1
003	core_ports	1785346620.443390	1785346622.466361	1
004	core_ports	1785346622.472709	1785346624.493922	1
005	core_ports	1785346624.499892	1785346626.521735	1
006	core_ports	1785346626.527541	1785346628.550240	1
007	core_ports	1785346628.556309	1785346630.580530	1
008	core_ports	1785346630.586768	1785346632.608793	1
009	core_ports	1785346632.614805	1785346634.637484	1
010	core_ports	1785346634.643659	1785346636.666209	1
011	core_ports	1785346636.672294	1785346638.693868	1
012	core_ports	1785346638.700187	1785346640.722297	1
013	core_ports	1785346640.728295	1785346642.749951	1
014	core_ports	1785346642.756627	1785346644.778675	1
015	core_ports	1785346644.784671	1785346646.807659	1
016	core_ports	1785346646.813690	1785346648.835701	1
017	core_ports	1785346648.841779	1785346650.863519	1
018	core_ports	1785346650.869476	1785346652.891801	1
019	core_ports	1785346652.898038	1785346654.920757	1
020	core_ports	1785346654.926825	1785346656.949117	1
021	core_ports	1785346656.955375	1785346658.978150	1
022	core_ports	1785346658.984004	1785346661.008967	1
023	core_ports	1785346661.015362	1785346663.036708	1
024	core_ports	1785346663.042801	1785346665.064976	1
025	core_ports	1785346665.071330	1785346667.093278	1
026	core_ports	1785346667.101677	1785346669.123660	1
027	core_ports	1785346669.129515	1785346671.152322	1
028	core_ports	1785346671.158293	1785346673.182040	1
029	core_ports	1785346673.191135	1785346675.218361	1
030	core_ports	1785346675.224304	1785346677.246313	1
031	core_ports	1785346677.252765	1785346679.274816	1
032	core_ports	1785346679.281832	1785346681.303980	1
033	core_ports	1785346681.310093	1785346683.332721	1
034	core_ports	1785346683.338946	1785346685.361088	1
035	core_ports	1785346685.367148	1785346687.389048	1
036	core_ports	1785346687.395082	1785346689.417477	1
037	core_ports	1785346689.424099	1785346691.446082	1
038	core_ports	1785346691.452605	1785346693.476158	1
039	core_ports	1785346693.482267	1785346695.503873	1
040	core_ports	1785346695.509904	1785346697.531028	1
041	core_ports	1785346697.537091	1785346699.558605	1
042	core_ports	1785346699.564532	1785346701.586240	1
043	core_ports	1785346701.592390	1785346703.614572	1
044	core_ports	1785346703.620511	1785346705.642306	1
045	core_ports	1785346705.648296	1785346707.670465	1
046	core_ports	1785346707.676586	1785346709.699546	0
