win	group	t_start	t_end	alive_after
000	fe_miss	1785363836.872447	1785363838.906562	1
001	fe_miss	1785363838.913347	1785363840.935448	1
002	fe_miss	1785363840.941505	1785363842.964358	1
003	fe_miss	1785363842.970109	1785363844.992296	1
004	fe_miss	1785363844.998428	1785363847.020490	1
005	fe_miss	1785363847.026574	1785363849.048560	1
006	fe_miss	1785363849.054637	1785363851.076913	1
007	fe_miss	1785363851.083465	1785363853.106690	1
008	fe_miss	1785363853.112924	1785363855.134964	1
009	fe_miss	1785363855.141021	1785363857.163893	1
010	fe_miss	1785363857.169633	1785363859.191019	1
011	fe_miss	1785363859.197113	1785363861.219191	1
012	fe_miss	1785363861.225295	1785363863.247306	1
013	fe_miss	1785363863.253528	1785363865.276106	1
014	fe_miss	1785363865.283343	1785363867.306167	1
015	fe_miss	1785363867.312783	1785363869.335106	1
016	fe_miss	1785363869.341614	1785363871.363744	1
017	fe_miss	1785363871.369913	1785363873.391737	1
018	fe_miss	1785363873.397829	1785363875.420611	1
019	fe_miss	1785363875.426893	1785363877.449016	1
020	fe_miss	1785363877.455349	1785363879.478079	1
021	fe_miss	1785363879.484333	1785363881.507018	1
022	fe_miss	1785363881.513294	1785363883.535130	1
023	fe_miss	1785363883.541479	1785363885.563664	1
024	fe_miss	1785363885.569977	1785363887.592712	1
025	fe_miss	1785363887.598868	1785363889.622560	1
026	fe_miss	1785363889.631493	1785363891.658566	1
027	fe_miss	1785363891.664555	1785363893.686609	1
028	fe_miss	1785363893.693068	1785363895.716114	1
029	fe_miss	1785363895.722576	1785363897.744406	1
030	fe_miss	1785363897.750717	1785363899.780929	1
031	fe_miss	1785363899.787380	1785363901.811181	1
032	fe_miss	1785363901.817272	1785363903.839662	1
033	fe_miss	1785363903.845511	1785363905.869779	1
034	fe_miss	1785363905.875902	1785363907.897797	1
035	fe_miss	1785363907.903924	1785363909.926690	1
036	fe_miss	1785363909.933171	1785363911.955430	1
037	fe_miss	1785363911.962088	1785363913.985460	1
038	fe_miss	1785363913.991713	1785363916.014912	1
039	fe_miss	1785363916.021297	1785363918.043206	1
040	fe_miss	1785363918.049262	1785363920.072891	1
041	fe_miss	1785363920.078795	1785363922.100789	1
042	fe_miss	1785363922.107060	1785363924.130571	1
043	fe_miss	1785363924.136568	1785363926.158705	1
044	fe_miss	1785363926.164542	1785363928.186413	1
045	fe_miss	1785363928.192455	1785363930.213972	1
046	fe_miss	1785363930.220752	1785363932.243602	1
047	fe_miss	1785363932.249389	1785363934.271116	1
048	fe_miss	1785363934.277156	1785363936.298864	1
049	fe_miss	1785363936.304850	1785363938.327246	1
050	fe_miss	1785363938.333371	1785363940.356180	1
051	fe_miss	1785363940.362493	1785363942.386097	1
052	fe_miss	1785363942.392490	1785363944.414961	1
053	fe_miss	1785363944.421047	1785363946.442897	1
054	fe_miss	1785363946.448873	1785363948.472191	1
055	fe_miss	1785363948.478351	1785363950.500736	1
056	fe_miss	1785363950.506622	1785363952.530203	1
057	fe_miss	1785363952.537107	1785363954.558933	1
058	fe_miss	1785363954.565105	1785363956.589154	1
059	fe_miss	1785363956.595324	1785363958.617260	1
060	fe_miss	1785363958.623698	1785363960.648310	1
061	fe_miss	1785363960.654512	1785363962.676703	1
062	fe_miss	1785363962.682934	1785363964.705084	1
063	fe_miss	1785363964.711267	1785363966.733348	1
064	fe_miss	1785363966.740368	1785363968.762490	1
065	fe_miss	1785363968.768605	1785363970.790596	1
066	fe_miss	1785363970.796640	1785363972.818830	1
067	fe_miss	1785363972.824772	1785363974.847897	1
068	fe_miss	1785363974.854317	1785363976.876468	1
069	fe_miss	1785363976.882768	1785363978.904802	1
070	fe_miss	1785363978.910626	1785363980.932502	1
071	fe_miss	1785363980.938579	1785363982.962129	1
072	fe_miss	1785363982.968161	1785363984.990205	1
073	fe_miss	1785363984.996340	1785363987.019415	1
074	fe_miss	1785363987.025698	1785363989.048009	1
075	fe_miss	1785363989.053961	1785363991.075757	1
076	fe_miss	1785363991.081996	1785363993.105237	1
077	fe_miss	1785363993.111211	1785363995.133589	1
078	fe_miss	1785363995.139540	1785363997.162606	1
079	fe_miss	1785363997.168869	1785363999.191616	0
