win	group	t_start	t_end	alive_after
000	fe_lat	1785421538.207195	1785421540.255194	1
001	fe_lat	1785421540.261867	1785421542.285615	1
002	fe_lat	1785421542.292095	1785421544.319365	1
003	fe_lat	1785421544.326057	1785421546.350539	1
004	fe_lat	1785421546.357049	1785421548.379525	1
005	fe_lat	1785421548.385624	1785421550.408542	1
006	fe_lat	1785421550.414780	1785421552.437691	1
007	fe_lat	1785421552.444106	1785421554.465753	1
008	fe_lat	1785421554.471864	1785421556.505425	1
009	fe_lat	1785421556.511795	1785421558.538278	1
010	fe_lat	1785421558.544517	1785421560.566572	1
011	fe_lat	1785421560.572364	1785421562.594176	1
012	fe_lat	1785421562.600156	1785421564.623593	1
013	fe_lat	1785421564.629732	1785421566.653696	1
014	fe_lat	1785421566.661408	1785421568.689135	1
015	fe_lat	1785421568.695843	1785421570.720197	1
016	fe_lat	1785421570.726542	1785421572.749756	1
017	fe_lat	1785421572.757115	1785421574.784750	1
018	fe_lat	1785421574.791164	1785421576.814809	1
019	fe_lat	1785421576.821090	1785421578.843385	1
020	fe_lat	1785421578.849204	1785421580.872640	1
021	fe_lat	1785421580.878991	1785421582.901206	1
022	fe_lat	1785421582.907376	1785421584.929729	1
023	fe_lat	1785421584.936167	1785421586.959435	1
024	fe_lat	1785421586.966875	1785421588.989729	1
025	fe_lat	1785421588.995893	1785421591.017994	1
026	fe_lat	1785421591.024308	1785421593.046218	1
027	fe_lat	1785421593.052207	1785421595.075165	1
028	fe_lat	1785421595.081236	1785421597.105938	1
029	fe_lat	1785421597.114626	1785421599.142382	1
030	fe_lat	1785421599.148699	1785421601.173806	1
031	fe_lat	1785421601.180027	1785421603.202477	1
032	fe_lat	1785421603.210159	1785421605.233309	1
033	fe_lat	1785421605.239473	1785421607.263042	1
034	fe_lat	1785421607.269012	1785421609.291215	1
035	fe_lat	1785421609.297398	1785421611.322009	1
036	fe_lat	1785421611.328986	1785421613.351543	1
037	fe_lat	1785421613.358321	1785421615.383008	1
038	fe_lat	1785421615.389164	1785421617.411345	1
039	fe_lat	1785421617.417580	1785421619.439378	1
040	fe_lat	1785421619.446137	1785421621.468047	1
041	fe_lat	1785421621.474515	1785421623.498176	1
042	fe_lat	1785421623.504464	1785421625.529576	1
043	fe_lat	1785421625.535534	1785421627.558261	1
044	fe_lat	1785421627.564350	1785421629.587259	1
045	fe_lat	1785421629.593591	1785421631.616326	1
046	fe_lat	1785421631.623249	1785421633.644816	1
047	fe_lat	1785421633.651097	1785421635.673077	1
048	fe_lat	1785421635.678917	1785421637.700571	1
049	fe_lat	1785421637.706488	1785421639.731303	1
050	fe_lat	1785421639.738018	1785421641.761703	1
051	fe_lat	1785421641.768175	1785421643.798746	1
052	fe_lat	1785421643.805248	1785421645.830681	1
053	fe_lat	1785421645.836538	1785421647.858637	1
054	fe_lat	1785421647.864837	1785421649.887323	1
055	fe_lat	1785421649.893636	1785421651.918402	1
056	fe_lat	1785421651.924524	1785421653.946407	1
057	fe_lat	1785421653.952545	1785421655.975339	1
058	fe_lat	1785421655.981506	1785421658.004209	1
059	fe_lat	1785421658.011484	1785421660.034849	1
060	fe_lat	1785421660.041017	1785421662.064859	1
061	fe_lat	1785421662.071189	1785421664.093317	1
062	fe_lat	1785421664.099181	1785421666.120954	1
063	fe_lat	1785421666.126847	1785421668.149803	1
064	fe_lat	1785421668.156256	1785421670.178702	1
065	fe_lat	1785421670.185126	1785421672.207835	1
066	fe_lat	1785421672.214311	1785421674.236427	1
067	fe_lat	1785421674.242523	1785421676.265142	1
068	fe_lat	1785421676.271694	1785421678.295399	1
069	fe_lat	1785421678.301452	1785421680.323862	1
070	fe_lat	1785421680.330004	1785421682.352753	1
071	fe_lat	1785421682.358749	1785421684.380669	1
072	fe_lat	1785421684.386485	1785421686.408662	1
073	fe_lat	1785421686.415391	1785421688.438989	1
074	fe_lat	1785421688.445320	1785421690.470751	1
075	fe_lat	1785421690.477021	1785421692.501454	1
076	fe_lat	1785421692.507949	1785421694.530394	1
077	fe_lat	1785421694.536610	1785421696.558677	1
078	fe_lat	1785421696.564705	1785421698.587292	1
079	fe_lat	1785421698.594174	1785421700.616553	1
080	fe_lat	1785421700.622833	1785421702.645190	1
081	fe_lat	1785421702.651508	1785421704.674802	1
082	fe_lat	1785421704.680875	1785421706.703361	1
083	fe_lat	1785421706.709587	1785421708.733086	1
084	fe_lat	1785421708.739663	1785421710.761772	1
085	fe_lat	1785421710.768230	1785421712.792720	1
086	fe_lat	1785421712.798670	1785421714.822509	1
087	fe_lat	1785421714.828902	1785421716.851202	1
088	fe_lat	1785421716.857409	1785421718.881997	1
089	fe_lat	1785421718.888075	1785421720.910063	1
090	fe_lat	1785421720.916328	1785421722.939176	1
091	fe_lat	1785421722.945172	1785421724.967795	1
092	fe_lat	1785421724.975500	1785421727.000552	1
093	fe_lat	1785421727.006923	1785421729.030788	1
094	fe_lat	1785421729.037305	1785421731.060119	1
095	fe_lat	1785421731.066351	1785421733.088097	1
096	fe_lat	1785421733.093911	1785421735.115690	1
097	fe_lat	1785421735.121390	1785421737.143718	1
098	fe_lat	1785421737.149721	1785421739.172784	1
099	fe_lat	1785421739.178747	1785421741.200780	1
100	fe_lat	1785421741.206820	1785421743.228671	1
101	fe_lat	1785421743.235244	1785421745.258551	1
102	fe_lat	1785421745.266114	1785421747.289014	1
103	fe_lat	1785421747.294958	1785421749.317902	1
104	fe_lat	1785421749.323990	1785421751.346067	1
105	fe_lat	1785421751.351959	1785421753.374222	1
106	fe_lat	1785421753.380567	1785421755.402565	1
107	fe_lat	1785421755.408904	1785421757.434708	1
108	fe_lat	1785421757.440877	1785421759.463107	1
109	fe_lat	1785421759.469750	1785421761.492807	1
110	fe_lat	1785421761.498788	1785421763.520692	1
111	fe_lat	1785421763.526696	1785421765.552321	1
112	fe_lat	1785421765.558472	1785421767.580361	1
113	fe_lat	1785421767.586448	1785421769.609385	1
114	fe_lat	1785421769.615620	1785421771.638816	1
115	fe_lat	1785421771.645900	1785421773.668039	1
116	fe_lat	1785421773.674098	1785421775.696123	1
117	fe_lat	1785421775.702154	1785421777.723952	1
118	fe_lat	1785421777.729766	1785421779.752268	1
119	fe_lat	1785421779.758493	1785421781.781189	1
120	fe_lat	1785421781.787591	1785421783.812493	1
121	fe_lat	1785421783.818820	1785421785.840877	1
122	fe_lat	1785421785.847429	1785421787.870895	1
123	fe_lat	1785421787.876995	1785421789.898903	1
124	fe_lat	1785421789.905323	1785421791.926911	1
125	fe_lat	1785421791.932866	1785421793.955995	1
126	fe_lat	1785421793.962012	1785421795.983868	1
127	fe_lat	1785421795.990031	1785421798.014472	1
128	fe_lat	1785421798.020802	1785421800.045541	1
129	fe_lat	1785421800.065853	1785421802.090313	1
130	fe_lat	1785421802.097531	1785421804.120074	1
131	fe_lat	1785421804.126269	1785421806.148181	1
132	fe_lat	1785421806.154323	1785421808.176834	1
133	fe_lat	1785421808.183531	1785421810.208657	1
134	fe_lat	1785421810.214689	1785421812.236636	1
135	fe_lat	1785421812.242755	1785421814.265833	1
136	fe_lat	1785421814.272150	1785421816.294346	1
137	fe_lat	1785421816.300631	1785421818.322391	1
138	fe_lat	1785421818.328110	1785421820.349859	1
139	fe_lat	1785421820.355602	1785421822.378792	1
140	fe_lat	1785421822.384812	1785421824.407355	1
141	fe_lat	1785421824.413672	1785421826.436214	1
