win	group	t_start	t_end	alive_after
000	dram_bw	1785353226.982183	1785353229.024522	1
001	dram_bw	1785353229.030814	1785353231.051271	1
002	dram_bw	1785353231.057316	1785353233.080330	1
003	dram_bw	1785353233.086600	1785353235.106270	1
004	dram_bw	1785353235.112372	1785353237.132549	1
005	dram_bw	1785353237.138975	1785353239.159080	1
006	dram_bw	1785353239.165337	1785353241.185993	1
007	dram_bw	1785353241.192925	1785353243.214505	1
008	dram_bw	1785353243.220722	1785353245.242304	1
009	dram_bw	1785353245.248321	1785353247.269485	1
010	dram_bw	1785353247.275534	1785353249.296005	1
011	dram_bw	1785353249.301982	1785353251.326459	1
012	dram_bw	1785353251.332546	1785353253.352615	1
013	dram_bw	1785353253.358766	1785353255.380680	1
014	dram_bw	1785353255.386832	1785353257.409190	1
015	dram_bw	1785353257.415389	1785353259.435871	1
016	dram_bw	1785353259.442224	1785353261.462781	1
017	dram_bw	1785353261.468750	1785353263.490047	1
018	dram_bw	1785353263.496577	1785353265.518425	1
019	dram_bw	1785353265.524710	1785353267.544614	1
020	dram_bw	1785353267.550724	1785353269.572004	1
021	dram_bw	1785353269.578050	1785353271.599053	1
022	dram_bw	1785353271.605082	1785353273.626752	1
023	dram_bw	1785353273.632954	1785353275.652590	1
024	dram_bw	1785353275.658271	1785353277.677450	1
025	dram_bw	1785353277.683532	1785353279.704200	1
026	dram_bw	1785353279.710412	1785353281.732435	1
027	dram_bw	1785353281.738594	1785353283.763642	1
028	dram_bw	1785353283.770533	1785353285.795016	1
029	dram_bw	1785353285.803344	1785353287.830612	1
030	dram_bw	1785353287.836758	1785353289.857319	1
031	dram_bw	1785353289.863307	1785353291.885053	1
032	dram_bw	1785353291.890934	1785353293.911220	1
033	dram_bw	1785353293.917437	1785353295.937529	1
034	dram_bw	1785353295.943437	1785353297.963747	1
035	dram_bw	1785353297.971587	1785353299.991565	1
036	dram_bw	1785353299.997388	1785353302.017224	1
037	dram_bw	1785353302.022951	1785353304.042738	1
038	dram_bw	1785353304.049505	1785353306.071470	1
039	dram_bw	1785353306.079806	1785353308.102164	1
040	dram_bw	1785353308.108892	1785353310.130485	1
041	dram_bw	1785353310.136640	1785353312.157041	1
042	dram_bw	1785353312.163164	1785353314.183886	1
043	dram_bw	1785353314.190023	1785353316.211309	1
044	dram_bw	1785353316.217484	1785353318.238421	1
045	dram_bw	1785353318.245014	1785353320.265873	1
046	dram_bw	1785353320.272091	1785353322.293330	1
047	dram_bw	1785353322.300484	1785353324.322851	1
048	dram_bw	1785353324.328904	1785353326.349549	1
049	dram_bw	1785353326.356024	1785353328.377639	1
050	dram_bw	1785353328.384717	1785353330.405892	1
051	dram_bw	1785353330.412111	1785353332.433717	1
052	dram_bw	1785353332.440786	1785353334.461819	1
053	dram_bw	1785353334.468319	1785353336.489416	1
054	dram_bw	1785353336.495809	1785353338.516944	1
055	dram_bw	1785353338.523486	1785353340.547205	1
056	dram_bw	1785353340.554136	1785353342.576296	1
057	dram_bw	1785353342.584684	1785353344.605879	1
058	dram_bw	1785353344.611970	1785353346.633073	1
059	dram_bw	1785353346.639415	1785353348.661014	1
060	dram_bw	1785353348.667261	1785353350.688107	1
061	dram_bw	1785353350.694940	1785353352.715623	1
062	dram_bw	1785353352.721890	1785353354.744009	1
063	dram_bw	1785353354.750553	1785353356.773484	1
064	dram_bw	1785353356.780700	1785353358.802610	1
065	dram_bw	1785353358.809366	1785353360.830570	1
066	dram_bw	1785353360.836567	1785353362.857576	1
067	dram_bw	1785353362.864500	1785353364.885953	1
068	dram_bw	1785353364.893319	1785353366.915699	1
069	dram_bw	1785353366.921908	1785353368.942612	1
070	dram_bw	1785353368.948845	1785353370.968933	1
071	dram_bw	1785353370.975142	1785353372.997524	1
072	dram_bw	1785353373.003923	1785353375.025829	1
073	dram_bw	1785353375.032315	1785353377.055045	1
074	dram_bw	1785353377.062236	1785353379.084743	1
075	dram_bw	1785353379.091065	1785353381.112158	1
076	dram_bw	1785353381.118431	1785353383.139690	1
077	dram_bw	1785353383.146036	1785353385.165978	1
078	dram_bw	1785353385.172120	1785353387.192517	1
079	dram_bw	1785353387.198565	1785353389.219164	1
080	dram_bw	1785353389.225147	1785353391.245501	1
081	dram_bw	1785353391.251586	1785353393.272612	1
082	dram_bw	1785353393.278579	1785353395.298876	1
083	dram_bw	1785353395.304706	1785353397.324822	1
084	dram_bw	1785353397.331026	1785353399.352430	1
085	dram_bw	1785353399.358577	1785353401.378774	1
086	dram_bw	1785353401.385093	1785353403.406508	1
087	dram_bw	1785353403.412682	1785353405.432657	1
088	dram_bw	1785353405.438791	1785353407.459295	1
089	dram_bw	1785353407.465910	1785353409.486027	1
090	dram_bw	1785353409.493285	1785353411.513285	1
091	dram_bw	1785353411.519252	1785353413.539600	1
092	dram_bw	1785353413.545385	1785353415.565697	1
093	dram_bw	1785353415.572075	1785353417.594171	1
094	dram_bw	1785353417.600661	1785353419.620992	1
095	dram_bw	1785353419.627307	1785353421.647695	1
096	dram_bw	1785353421.653972	1785353423.674342	1
097	dram_bw	1785353423.680149	1785353425.700927	1
098	dram_bw	1785353425.706955	1785353427.728259	1
099	dram_bw	1785353427.734032	1785353429.755530	1
100	dram_bw	1785353429.761464	1785353431.781865	1
101	dram_bw	1785353431.787679	1785353433.807942	1
102	dram_bw	1785353433.813967	1785353435.834481	1
103	dram_bw	1785353435.841559	1785353437.863224	1
104	dram_bw	1785353437.869342	1785353439.889699	1
105	dram_bw	1785353439.896073	1785353441.916239	1
106	dram_bw	1785353441.922182	1785353443.945046	1
107	dram_bw	1785353443.952595	1785353445.972846	1
108	dram_bw	1785353445.978847	1785353447.999089	1
109	dram_bw	1785353448.005113	1785353450.025303	1
110	dram_bw	1785353450.031621	1785353452.053261	1
111	dram_bw	1785353452.059352	1785353454.079445	1
112	dram_bw	1785353454.085389	1785353456.105577	1
113	dram_bw	1785353456.111710	1785353458.131975	1
114	dram_bw	1785353458.137867	1785353460.159948	1
115	dram_bw	1785353460.165901	1785353462.185984	1
116	dram_bw	1785353462.191818	1785353464.214080	1
117	dram_bw	1785353464.220227	1785353466.240540	1
118	dram_bw	1785353466.246800	1785353468.267293	1
119	dram_bw	1785353468.273427	1785353470.293577	1
120	dram_bw	1785353470.299732	1785353472.320064	1
121	dram_bw	1785353472.326232	1785353474.346191	1
122	dram_bw	1785353474.352207	1785353476.372751	1
123	dram_bw	1785353476.378823	1785353478.399454	1
124	dram_bw	1785353478.405606	1785353480.425931	1
125	dram_bw	1785353480.432984	1785353482.452944	1
126	dram_bw	1785353482.459262	1785353484.479220	1
127	dram_bw	1785353484.485728	1785353486.508275	1
128	dram_bw	1785353486.514312	1785353488.534608	0
