win	group	t_start	t_end	alive_after
000	fe_lat	1785359409.945369	1785359411.989484	1
001	fe_lat	1785359411.996047	1785359414.017884	1
002	fe_lat	1785359414.024743	1785359416.046797	1
003	fe_lat	1785359416.052658	1785359418.075335	1
004	fe_lat	1785359418.081307	1785359420.103475	1
005	fe_lat	1785359420.109531	1785359422.131401	1
006	fe_lat	1785359422.137794	1785359424.159507	1
007	fe_lat	1785359424.165967	1785359426.188710	1
008	fe_lat	1785359426.194475	1785359428.217310	1
009	fe_lat	1785359428.223419	1785359430.247811	1
010	fe_lat	1785359430.253930	1785359432.276164	1
011	fe_lat	1785359432.282489	1785359434.304537	1
012	fe_lat	1785359434.310502	1785359436.332360	1
013	fe_lat	1785359436.338601	1785359438.361990	1
014	fe_lat	1785359438.368077	1785359440.390270	1
015	fe_lat	1785359440.396246	1785359442.419836	1
016	fe_lat	1785359442.425906	1785359444.447901	1
017	fe_lat	1785359444.454032	1785359446.476051	1
018	fe_lat	1785359446.482120	1785359448.504605	1
019	fe_lat	1785359448.510959	1785359450.532909	1
020	fe_lat	1785359450.539634	1785359452.562447	1
021	fe_lat	1785359452.568655	1785359454.594076	1
022	fe_lat	1785359454.599916	1785359456.621658	1
023	fe_lat	1785359456.627640	1785359458.649561	1
024	fe_lat	1785359458.655529	1785359460.677909	1
025	fe_lat	1785359460.684427	1785359462.706525	1
026	fe_lat	1785359462.712486	1785359464.736483	1
027	fe_lat	1785359464.742368	1785359466.764223	1
028	fe_lat	1785359466.769988	1785359468.795322	1
029	fe_lat	1785359468.804061	1785359470.832153	1
030	fe_lat	1785359470.838065	1785359472.859765	1
031	fe_lat	1785359472.865674	1785359474.888039	1
032	fe_lat	1785359474.894103	1785359476.915784	1
033	fe_lat	1785359476.921681	1785359478.943432	1
034	fe_lat	1785359478.949476	1785359480.971619	1
035	fe_lat	1785359480.977567	1785359482.999720	1
036	fe_lat	1785359483.006816	1785359485.029139	1
037	fe_lat	1785359485.035353	1785359487.059486	1
038	fe_lat	1785359487.065582	1785359489.088347	1
039	fe_lat	1785359489.094898	1785359489.109925	1
040	fe_lat	1785359489.115794	1785359489.130411	1
041	fe_lat	1785359489.136304	1785359489.152344	1
042	fe_lat	1785359489.158419	1785359489.173425	1
043	fe_lat	1785359489.179305	1785359489.194605	1
044	fe_lat	1785359489.200942	1785359489.216127	1
045	fe_lat	1785359489.222163	1785359489.237037	1
046	fe_lat	1785359489.242924	1785359489.258847	1
047	fe_lat	1785359489.264799	1785359489.279140	1
048	fe_lat	1785359489.285170	1785359489.300610	1
049	fe_lat	1785359489.306608	1785359489.321525	1
050	fe_lat	1785359489.327421	1785359489.342159	1
051	fe_lat	1785359489.347959	1785359489.364492	1
052	fe_lat	1785359489.370182	1785359489.384837	1
053	fe_lat	1785359489.390737	1785359489.405598	1
054	fe_lat	1785359489.411499	1785359489.426375	1
