win	group	t_start	t_end	alive_after
000	cache	1785343878.363502	1785343880.406065	1
001	cache	1785343880.412101	1785343882.434308	1
002	cache	1785343882.441039	1785343884.463597	1
003	cache	1785343884.469733	1785343886.492766	1
004	cache	1785343886.498957	1785343888.523690	1
005	cache	1785343888.530131	1785343890.552790	1
006	cache	1785343890.559047	1785343892.585300	1
007	cache	1785343892.591729	1785343894.616209	1
008	cache	1785343894.622328	1785343896.645825	1
009	cache	1785343896.651926	1785343898.674143	1
010	cache	1785343898.680225	1785343900.703339	1
011	cache	1785343900.709544	1785343902.731536	1
012	cache	1785343902.737581	1785343904.759765	1
013	cache	1785343904.766017	1785343906.788036	1
014	cache	1785343906.794485	1785343908.816890	1
015	cache	1785343908.823510	1785343910.845782	1
016	cache	1785343910.852060	1785343912.874964	1
017	cache	1785343912.880997	1785343914.903559	1
018	cache	1785343914.909338	1785343916.931247	1
019	cache	1785343916.938412	1785343918.961765	1
020	cache	1785343918.967901	1785343920.989629	1
021	cache	1785343920.995786	1785343923.018876	1
022	cache	1785343923.024949	1785343925.047338	1
023	cache	1785343925.053365	1785343927.075562	1
024	cache	1785343927.081775	1785343929.103232	1
025	cache	1785343929.109190	1785343931.132776	1
026	cache	1785343931.141204	1785343933.171247	1
027	cache	1785343933.178501	1785343935.204050	1
028	cache	1785343935.210911	1785343937.233620	1
029	cache	1785343937.239743	1785343939.262177	1
030	cache	1785343939.269116	1785343941.291139	1
031	cache	1785343941.297197	1785343943.320506	1
032	cache	1785343943.326437	1785343945.347845	1
033	cache	1785343945.354230	1785343947.376475	1
034	cache	1785343947.382964	1785343949.405142	1
035	cache	1785343949.411255	1785343951.437043	1
036	cache	1785343951.442960	1785343953.466368	1
037	cache	1785343953.472513	1785343955.495374	1
038	cache	1785343955.501534	1785343957.523418	1
039	cache	1785343957.529393	1785343959.554282	1
040	cache	1785343959.560381	1785343961.582749	1
041	cache	1785343961.588828	1785343963.611196	1
042	cache	1785343963.618107	1785343965.640502	1
043	cache	1785343965.646782	1785343967.670203	1
044	cache	1785343967.676631	1785343967.692153	1
045	cache	1785343967.698279	1785343967.714074	1
046	cache	1785343967.719894	1785343967.735157	1
047	cache	1785343967.741124	1785343967.755731	1
048	cache	1785343967.761720	1785343967.777241	1
049	cache	1785343967.783196	1785343967.798400	1
050	cache	1785343967.804677	1785343967.820370	1
051	cache	1785343967.826235	1785343967.841111	1
052	cache	1785343967.847085	1785343967.861970	1
053	cache	1785343967.867873	1785343967.882786	1
054	cache	1785343967.888897	1785343967.904138	1
