win	group	t_start	t_end	alive_after
000	fe	1785347976.249526	1785347981.300115	1
001	fe_lat	1785347981.302873	1785347986.330359	1
002	cache	1785347986.332930	1785347991.358486	1
003	fpbr	1785347991.361279	1785347996.384283	1
004	dram_bw	1785347996.386926	1785348001.409621	1
005	mlp	1785348001.419850	1785348006.440343	1
006	core_ports	1785348006.442853	1785348011.466808	1
007	priv	1785348011.469552	1785348016.492008	1
008	priv	1785348016.498046	1785348021.521009	1
009	mlp	1785348021.523697	1785348026.543926	1
010	fe	1785348026.546296	1785348031.571045	1
011	fpbr	1785348031.573840	1785348036.596224	1
012	dram_bw	1785348036.598833	1785348041.620965	1
013	cache	1785348041.623607	1785348046.647184	1
014	core_ports	1785348046.649886	1785348051.673917	1
015	fe_lat	1785348051.676717	1785348056.700596	1
016	mlp	1785348056.706980	1785348061.730413	1
017	core_ports	1785348061.733036	1785348066.758410	1
018	fpbr	1785348066.761148	1785348071.783477	1
019	priv	1785348071.786356	1785348076.810322	1
020	cache	1785348076.812904	1785348081.836725	1
021	dram_bw	1785348081.839456	1785348086.861468	1
022	fe_lat	1785348086.864063	1785348091.888876	1
023	fe	1785348091.891589	1785348096.914621	1
024	fe	1785348096.920556	1785348101.943996	1
025	priv	1785348101.946620	1785348106.968897	1
026	mlp	1785348106.971594	1785348111.992071	1
027	fe_lat	1785348111.994892	1785348117.019893	1
028	fpbr	1785348117.022668	1785348122.045857	1
029	core_ports	1785348122.048486	1785348127.072098	1
030	cache	1785348127.074771	1785348132.098958	1
031	dram_bw	1785348132.101709	1785348137.123769	1
032	cache	1785348137.129831	1785348142.154767	1
033	mlp	1785348142.157631	1785348147.178600	1
034	fpbr	1785348147.181402	1785348152.203693	1
035	dram_bw	1785348152.206336	1785348157.228000	1
036	core_ports	1785348157.230687	1785348162.254601	1
037	fe_lat	1785348162.257124	1785348167.282702	1
038	fe	1785348167.285354	1785348172.309090	1
039	priv	1785348172.311656	1785348177.335432	1
040	priv	1785348177.341272	1785348182.364122	1
041	core_ports	1785348182.366675	1785348187.390256	1
042	mlp	1785348187.393104	1785348192.414906	1
043	fpbr	1785348192.417329	1785348197.439746	1
044	cache	1785348197.442657	1785348202.466966	1
045	fe	1785348202.469758	1785348207.494504	1
046	fe_lat	1785348207.497095	1785348212.521195	1
047	dram_bw	1785348212.524085	1785348217.545705	1
048	fe_lat	1785348217.551763	1785348222.576948	1
049	cache	1785348222.579844	1785348227.603629	1
050	fe	1785348227.606337	1785348232.631339	1
051	core_ports	1785348232.634035	1785348237.658778	1
052	mlp	1785348237.661531	1785348242.684136	1
053	fpbr	1785348242.686706	1785348247.709017	1
054	dram_bw	1785348247.711635	1785348252.733496	1
055	priv	1785348252.736124	1785348257.759364	1
056	cache	1785348257.765260	1785348262.789418	1
057	dram_bw	1785348262.792002	1785348267.813515	1
058	fpbr	1785348267.816125	1785348272.838413	1
059	priv	1785348272.841270	1785348277.863048	1
060	fe_lat	1785348277.865580	1785348282.890912	1
061	core_ports	1785348282.893626	1785348287.918746	1
062	mlp	1785348287.921408	1785348292.942559	1
063	fe	1785348292.945152	1785348297.968877	1
064	cache	1785348297.975144	1785348302.999034	1
065	dram_bw	1785348303.001688	1785348308.024179	1
066	fpbr	1785348308.026895	1785348313.049266	1
067	fe_lat	1785348313.051811	1785348318.076322	1
068	core_ports	1785348318.078937	1785348323.102889	1
069	mlp	1785348323.105601	1785348328.127418	1
070	priv	1785348328.130114	1785348333.152054	1
071	fe	1785348333.154582	1785348338.178018	1
072	fpbr	1785348338.183921	1785348343.206819	1
073	mlp	1785348343.209361	1785348348.232092	1
074	priv	1785348348.234797	1785348353.256293	1
075	dram_bw	1785348353.259063	1785348358.281175	1
076	fe	1785348358.283740	1785348363.307164	1
077	core_ports	1785348363.309868	1785348368.333243	1
078	fe_lat	1785348368.335926	1785348373.359913	1
079	cache	1785348373.362882	1785348378.388710	1
080	fe	1785348378.394980	1785348383.418252	1
081	mlp	1785348383.420768	1785348388.441450	1
082	fpbr	1785348388.444188	1785348393.467224	1
083	priv	1785348393.469880	1785348398.492194	1
084	cache	1785348398.494689	1785348403.518167	1
085	dram_bw	1785348403.521273	1785348408.544285	1
086	fe_lat	1785348408.546920	1785348413.570266	1
087	core_ports	1785348413.572880	1785348418.596566	1
088	mlp	1785348418.602809	1785348423.624057	1
089	core_ports	1785348423.626781	1785348428.650844	1
090	priv	1785348428.653516	1785348433.676167	1
091	fe_lat	1785348433.678827	1785348438.702021	1
