win	group	t_start	t_end	alive_after
000	fpbr	1785354622.824821	1785354627.898186	1
001	cache	1785354627.900797	1785354632.924460	1
002	core_ports	1785354632.927092	1785354637.950291	1
003	mlp	1785354637.952767	1785354642.972905	1
004	fe_lat	1785354642.975422	1785354647.999435	1
005	dram_bw	1785354648.002059	1785354653.025360	1
006	priv	1785354653.028202	1785354658.050475	1
007	fe	1785354658.053117	1785354663.076588	1
008	cache	1785354663.082691	1785354668.106817	1
009	fe	1785354668.109682	1785354673.135736	1
010	dram_bw	1785354673.138400	1785354678.160955	1
011	fe_lat	1785354678.163730	1785354683.187899	1
012	core_ports	1785354683.190549	1785354688.214472	1
013	fpbr	1785354688.217268	1785354693.239141	1
014	mlp	1785354693.241587	1785354698.261670	1
015	priv	1785354698.264350	1785354703.287921	1
016	fpbr	1785354703.294082	1785354708.316320	1
017	priv	1785354708.319228	1785354713.341840	1
018	fe_lat	1785354713.344439	1785354718.368009	1
019	core_ports	1785354718.370725	1785354723.394221	1
020	dram_bw	1785354723.396960	1785354728.419928	1
021	cache	1785354728.423066	1785354733.447900	1
022	mlp	1785354733.450752	1785354738.471519	1
023	fe	1785354738.474230	1785354743.497553	1
024	core_ports	1785354743.503809	1785354748.527707	1
025	fe_lat	1785354748.530625	1785354753.556164	1
026	cache	1785354753.558705	1785354758.585290	1
027	fe	1785354758.587985	1785354763.611476	1
028	priv	1785354763.614359	1785354768.637431	1
029	mlp	1785354768.640137	1785354773.661353	1
030	fpbr	1785354773.664252	1785354778.687626	1
031	dram_bw	1785354778.690416	1785354783.712806	1
032	core_ports	1785354783.719560	1785354788.744599	1
033	priv	1785354788.747153	1785354793.769461	1
034	fe	1785354793.772115	1785354798.796844	1
035	fe_lat	1785354798.799534	1785354803.824475	1
036	fpbr	1785354803.827061	1785354808.851242	1
037	cache	1785354808.853866	1785354813.877535	1
038	dram_bw	1785354813.880328	1785354818.901730	1
039	mlp	1785354818.904425	1785354823.925454	1
040	priv	1785354823.931792	1785354828.954168	1
041	cache	1785354828.956817	1785354833.982428	1
042	core_ports	1785354833.985090	1785354839.008748	1
043	fpbr	1785354839.011540	1785354844.034012	1
044	mlp	1785354844.036777	1785354849.057288	1
045	fe_lat	1785354849.059840	1785354854.083918	1
046	fe	1785354854.086743	1785354859.111823	1
047	dram_bw	1785354859.114738	1785354864.136943	1
048	fpbr	1785354864.143218	1785354869.167037	1
049	fe	1785354869.169925	1785354874.195991	1
050	mlp	1785354874.198828	1785354879.219739	1
051	priv	1785354879.222514	1785354884.245019	1
052	fe_lat	1785354884.247566	1785354889.272027	1
053	cache	1785354889.274625	1785354894.298677	1
054	core_ports	1785354894.301140	1785354899.324645	1
055	dram_bw	1785354899.327444	1785354904.348862	1
056	mlp	1785354904.355048	1785354909.376021	1
057	fe_lat	1785354909.378766	1785354914.403445	1
058	dram_bw	1785354914.406093	1785354919.427745	1
059	core_ports	1785354919.430356	1785354924.454940	1
060	fe	1785354924.457952	1785354929.482936	1
061	fpbr	1785354929.485709	1785354934.508089	1
062	priv	1785354934.510754	1785354939.532740	1
063	cache	1785354939.535390	1785354944.559002	1
064	fe	1785354944.566105	1785354949.592709	1
065	fpbr	1785354949.596450	1785354954.618396	1
066	cache	1785354954.620958	1785354959.644519	1
067	mlp	1785354959.647528	1785354964.668286	1
068	dram_bw	1785354964.670971	1785354969.699708	1
069	fe_lat	1785354969.702395	1785354974.726498	1
070	priv	1785354974.729153	1785354979.752595	1
071	core_ports	1785354979.755322	1785354984.778898	1
072	fe_lat	1785354984.785043	1785354989.808727	1
073	priv	1785354989.811398	1785354994.835016	1
074	fe	1785354994.837563	1785354999.860763	1
075	dram_bw	1785354999.863542	1785355004.884885	1
076	core_ports	1785355004.887536	1785355009.911387	1
077	mlp	1785355009.914066	1785355014.935029	1
078	cache	1785355014.937670	1785355019.962564	1
079	fpbr	1785355019.965168	1785355024.987914	1
080	fe	1785355024.994288	1785355030.018482	1
081	core_ports	1785355030.020955	1785355035.044564	1
082	fe_lat	1785355035.047672	1785355040.071602	1
083	priv	1785355040.074256	1785355045.098026	1
084	fpbr	1785355045.100773	1785355050.123257	1
085	mlp	1785355050.125999	1785355055.146770	1
086	dram_bw	1785355055.149452	1785355060.171277	1
087	cache	1785355060.174163	1785355065.197719	1
088	fe	1785355065.204154	1785355070.229777	1
089	cache	1785355070.232667	1785355075.256265	1
090	core_ports	1785355075.258968	1785355080.283423	1
091	dram_bw	1785355080.286172	1785355085.307497	1
092	priv	1785355085.310212	1785355090.332461	1
093	fpbr	1785355090.335110	1785355095.357353	1
094	fe_lat	1785355095.359831	1785355100.383369	1
095	mlp	1785355100.386129	1785355105.407430	1
096	priv	1785355105.413331	1785355110.435487	1
097	dram_bw	1785355110.437988	1785355115.459240	1
098	fe_lat	1785355115.461969	1785355120.486292	1
099	fpbr	1785355120.489151	1785355125.511991	1
100	fe	1785355125.514747	1785355130.539103	1
101	cache	1785355130.542450	1785355135.567461	1
102	core_ports	1785355135.570697	1785355140.595181	1
103	mlp	1785355140.597890	1785355145.618235	1
104	mlp	1785355145.624624	1785355150.645517	1
105	fe	1785355150.648270	1785355155.672159	1
106	core_ports	1785355155.674743	1785355160.698329	1
107	priv	1785355160.701436	1785355165.723686	1
108	dram_bw	1785355165.726223	1785355170.749702	1
109	fpbr	1785355170.752788	1785355175.777358	1
110	fe_lat	1785355175.780390	1785355180.804702	1
111	cache	1785355180.807259	1785355185.831521	1
112	fpbr	1785355185.837625	1785355190.860314	1
113	core_ports	1785355190.863108	1785355195.887781	1
114	fe_lat	1785355195.891842	1785355200.917073	1
115	fe	1785355200.934898	1785355205.958596	1
116	dram_bw	1785355205.961149	1785355210.982988	1
117	cache	1785355210.985562	1785355216.009689	1
118	mlp	1785355216.012259	1785355221.033541	1
119	priv	1785355221.036095	1785355226.058796	1
120	core_ports	1785355226.065145	1785355231.088789	1
121	cache	1785355231.091506	1785355236.114443	1
122	dram_bw	1785355236.117070	1785355241.138390	1
123	priv	1785355241.141007	1785355246.163764	1
124	mlp	1785355246.166771	1785355251.188224	1
125	fpbr	1785355251.191078	1785355256.213274	1
126	fe	1785355256.215993	1785355261.239604	1
127	fe_lat	1785355261.242257	1785355266.265850	1
128	priv	1785355266.271806	1785355271.293821	1
129	mlp	1785355271.297158	1785355276.318077	1
130	core_ports	1785355276.320793	1785355281.345229	1
131	dram_bw	1785355281.347889	1785355286.369239	1
132	cache	1785355286.371934	1785355291.395703	1
133	fe_lat	1785355291.398491	1785355296.422438	0
