win	group	t_start	t_end	alive_after
000	fpbr	1785417663.427133	1785417668.480146	1
001	fe	1785417668.483132	1785417673.506701	1
002	dram_bw	1785417673.509374	1785417678.532024	1
003	cache	1785417678.534848	1785417683.560371	1
004	core_ports	1785417683.563206	1785417688.590106	1
005	fe_lat	1785417688.592918	1785417693.617109	1
006	mlp	1785417693.619878	1785417698.642551	1
007	priv	1785417698.645219	1785417703.667628	1
008	fe_lat	1785417703.673790	1785417708.697836	1
009	dram_bw	1785417708.700328	1785417713.722845	1
010	priv	1785417713.725462	1785417718.749285	1
011	fpbr	1785417718.753572	1785417723.780286	1
012	cache	1785417723.782933	1785417728.806457	1
013	core_ports	1785417728.809256	1785417733.832411	1
014	fe	1785417733.834866	1785417738.858655	1
015	mlp	1785417738.861559	1785417743.882329	1
016	mlp	1785417743.888664	1785417748.910030	1
017	fe	1785417748.913238	1785417753.937924	1
018	cache	1785417753.940639	1785417758.963792	1
019	priv	1785417758.966343	1785417763.988023	1
020	dram_bw	1785417763.990771	1785417769.012370	1
021	fpbr	1785417769.015142	1785417774.040096	1
022	core_ports	1785417774.042889	1785417779.067122	1
023	fe_lat	1785417779.069769	1785417784.095337	1
024	fpbr	1785417784.101788	1785417789.124438	1
025	cache	1785417789.127191	1785417794.151196	1
026	mlp	1785417794.154068	1785417799.174904	1
027	core_ports	1785417799.177594	1785417804.200798	1
028	dram_bw	1785417804.203500	1785417809.225112	1
029	fe_lat	1785417809.227981	1785417814.251679	1
030	priv	1785417814.254360	1785417819.279371	1
031	fe	1785417819.282010	1785417824.305816	1
032	fe	1785417824.312765	1785417829.337030	1
033	fpbr	1785417829.339568	1785417834.362613	1
034	core_ports	1785417834.365429	1785417839.389966	1
035	cache	1785417839.392488	1785417844.416200	1
036	mlp	1785417844.418868	1785417849.442157	1
037	fe_lat	1785417849.444858	1785417854.468641	1
038	dram_bw	1785417854.471407	1785417859.494476	1
039	priv	1785417859.497100	1785417864.520625	1
040	fe_lat	1785417864.526400	1785417869.550699	1
041	cache	1785417869.553697	1785417874.578884	1
042	priv	1785417874.581635	1785417879.604260	1
043	fe	1785417879.606824	1785417884.630677	1
044	dram_bw	1785417884.633479	1785417889.655172	1
045	core_ports	1785417889.657733	1785417894.682140	1
046	mlp	1785417894.684807	1785417899.705496	1
047	fpbr	1785417899.708336	1785417904.730542	1
048	fe_lat	1785417904.737119	1785417909.760717	1
049	core_ports	1785417909.763415	1785417914.787768	1
050	dram_bw	1785417914.790851	1785417919.812233	1
051	fpbr	1785417919.814980	1785417924.837547	1
052	cache	1785417924.840341	1785417929.864489	1
053	mlp	1785417929.867258	1785417934.887858	1
054	fe	1785417934.890738	1785417939.914473	1
055	priv	1785417939.917280	1785417944.940667	1
056	dram_bw	1785417944.946978	1785417949.968015	1
057	core_ports	1785417949.970543	1785417954.993884	1
058	fpbr	1785417954.996521	1785417960.019249	1
059	fe	1785417960.021942	1785417965.047362	1
060	priv	1785417965.050160	1785417970.072324	1
061	mlp	1785417970.075087	1785417975.096907	1
062	cache	1785417975.099745	1785417980.123633	1
063	fe_lat	1785417980.126469	1785417985.149925	1
064	fe	1785417985.155887	1785417990.180196	1
065	fpbr	1785417990.182909	1785417995.205332	1
066	dram_bw	1785417995.207917	1785418000.229484	1
067	priv	1785418000.232045	1785418005.256273	1
068	core_ports	1785418005.258820	1785418010.283411	1
069	fe_lat	1785418010.286254	1785418015.310187	1
070	mlp	1785418015.312957	1785418020.333367	1
071	cache	1785418020.336144	1785418025.359824	1
072	fpbr	1785418025.365899	1785418030.389578	1
073	dram_bw	1785418030.392404	1785418035.416739	1
074	core_ports	1785418035.419355	1785418040.442986	1
075	cache	1785418040.445756	1785418045.469788	1
076	fe_lat	1785418045.472693	1785418050.497227	1
077	mlp	1785418050.500262	1785418055.521218	1
078	priv	1785418055.523828	1785418060.546924	1
079	fe	1785418060.550031	1785418065.573320	1
080	fe	1785418065.580032	1785418070.604205	1
081	core_ports	1785418070.606854	1785418075.630656	1
082	cache	1785418075.633238	1785418080.656628	1
083	fpbr	1785418080.659293	1785418085.682207	1
084	priv	1785418085.685159	1785418090.707356	1
085	fe_lat	1785418090.710002	1785418095.734408	1
086	dram_bw	1785418095.737555	1785418100.759134	1
087	mlp	1785418100.762014	1785418105.782945	1
088	mlp	1785418105.789082	1785418110.809468	1
089	cache	1785418110.812132	1785418115.837244	1
090	core_ports	1785418115.840019	1785418120.864010	1
091	fpbr	1785418120.866752	1785418125.888719	1
092	priv	1785418125.891482	1785418130.913923	1
093	fe	1785418130.916848	1785418135.941223	1
094	dram_bw	1785418135.943954	1785418140.965482	1
095	fe_lat	1785418140.968073	1785418145.992538	1
096	dram_bw	1785418145.998595	1785418151.020768	1
097	priv	1785418151.023566	1785418156.047504	1
098	core_ports	1785418156.050054	1785418161.073686	1
099	fpbr	1785418161.076340	1785418166.098746	1
100	cache	1785418166.101299	1785418171.125435	1
101	fe	1785418171.128183	1785418176.152394	1
102	mlp	1785418176.155130	1785418181.175644	1
103	fe_lat	1785418181.178337	1785418186.202022	1
104	fe	1785418186.208227	1785418191.233355	1
105	fe_lat	1785418191.236080	1785418196.260756	1
106	dram_bw	1785418196.263474	1785418201.284994	1
107	cache	1785418201.287642	1785418206.311880	1
108	core_ports	1785418206.314543	1785418211.337960	1
109	mlp	1785418211.340857	1785418216.362693	1
110	priv	1785418216.365316	1785418221.387792	1
111	fpbr	1785418221.391125	1785418226.413037	1
112	dram_bw	1785418226.418957	1785418231.441216	1
113	fpbr	1785418231.443834	1785418236.466378	1
114	mlp	1785418236.469562	1785418241.491723	1
115	fe	1785418241.494438	1785418246.518051	1
116	cache	1785418246.520832	1785418251.544347	1
117	priv	1785418251.547094	1785418256.569561	1
118	fe_lat	1785418256.572356	1785418261.598661	1
119	core_ports	1785418261.601682	1785418266.625329	1
120	fe	1785418266.631686	1785418271.655294	1
121	fe_lat	1785418271.657791	1785418276.681861	1
122	fpbr	1785418276.684441	1785418281.706463	1
123	priv	1785418281.709109	1785418286.732828	1
124	cache	1785418286.735580	1785418291.758896	1
125	mlp	1785418291.761632	1785418296.782309	1
126	dram_bw	1785418296.784956	1785418301.806668	1
127	core_ports	1785418301.809294	1785418306.833771	1
128	mlp	1785418306.840212	1785418311.860845	1
129	core_ports	1785418311.863543	1785418316.888540	1
130	fpbr	1785418316.891448	1785418321.914151	1
131	priv	1785418321.916963	1785418326.939240	1
132	cache	1785418326.941893	1785418331.965565	1
133	fe_lat	1785418331.968293	1785418336.991817	1
134	fe	1785418336.994617	1785418342.020209	1
135	dram_bw	1785418342.023014	1785418347.044906	1
136	priv	1785418347.051002	1785418352.073125	1
137	fpbr	1785418352.075818	1785418357.098293	1
138	cache	1785418357.100920	1785418362.126067	1
139	dram_bw	1785418362.128783	1785418367.150196	1
140	fe_lat	1785418367.152751	1785418372.176294	1
141	fe	1785418372.179149	1785418377.202894	1
142	core_ports	1785418377.205585	1785418382.230250	1
143	mlp	1785418382.233009	1785418387.254113	1
144	mlp	1785418387.260155	1785418392.280963	1
145	fpbr	1785418392.283497	1785418397.306908	1
146	core_ports	1785418397.309618	1785418402.333361	1
147	dram_bw	1785418402.336078	1785418407.357171	1
148	priv	1785418407.359695	1785418412.382157	1
149	cache	1785418412.384857	1785418417.408373	1
150	fe_lat	1785418417.410930	1785418422.446137	1
151	fe	1785418422.448808	1785418427.472736	1
152	fe	1785418427.478729	1785418432.506554	1
153	dram_bw	1785418432.509855	1785418437.531731	1
154	cache	1785418437.534531	1785418442.559301	1
155	fe_lat	1785418442.561940	1785418447.585843	1
156	mlp	1785418447.588444	1785418452.608896	1
157	fpbr	1785418452.611613	1785418457.635118	1
158	core_ports	1785418457.637893	1785418462.663340	1
159	priv	1785418462.666230	1785418467.688106	1
160	fpbr	1785418467.694165	1785418472.716372	1
161	mlp	1785418472.718987	1785418477.740308	1
162	fe	1785418477.743162	1785418482.768925	1
163	priv	1785418482.771897	1785418487.794789	1
164	dram_bw	1785418487.797578	1785418492.819521	1
165	core_ports	1785418492.822118	1785418497.845852	1
166	cache	1785418497.848594	1785418502.872390	1
167	fe_lat	1785418502.875139	1785418507.898930	1
168	fe	1785418507.905239	1785418512.928236	1
169	cache	1785418512.931056	1785418517.954803	1
170	fe_lat	1785418517.957632	1785418522.981332	1
171	fpbr	1785418522.984074	1785418528.009272	1
172	priv	1785418528.011808	1785418533.034025	1
173	dram_bw	1785418533.037274	1785418538.059618	1
174	core_ports	1785418538.062388	1785418543.086571	1
175	mlp	1785418543.089166	1785418548.111251	1
176	fe	1785418548.117258	1785418553.141976	1
177	fe_lat	1785418553.144534	1785418558.168169	1
178	dram_bw	1785418558.170908	1785418563.192582	1
179	mlp	1785418563.195302	1785418568.216713	1
180	cache	1785418568.219416	1785418573.245094	1
181	priv	1785418573.247814	1785418578.269866	1
182	fpbr	1785418578.272753	1785418583.295012	1
183	core_ports	1785418583.297700	1785418588.323121	1
184	fpbr	1785418588.329390	1785418593.353404	1
185	fe_lat	1785418593.356207	1785418598.379543	1
186	dram_bw	1785418598.382246	1785418603.404398	1
187	core_ports	1785418603.407151	1785418608.430577	1
188	cache	1785418608.433234	1785418613.457357	1
189	fe	1785418613.460332	1785418618.485858	1
190	mlp	1785418618.488913	1785418623.510041	1
191	priv	1785418623.513051	1785418628.535097	1
192	cache	1785418628.541390	1785418633.564669	1
193	fe	1785418633.567436	1785418638.590969	1
194	dram_bw	1785418638.593416	1785418643.617543	1
195	priv	1785418643.620216	1785418648.643969	1
196	core_ports	1785418648.646778	1785418653.670190	1
197	fe_lat	1785418653.672936	1785418658.696468	1
198	mlp	1785418658.699338	1785418663.720394	1
199	fpbr	1785418663.723133	1785418668.749155	1
200	cache	1785418668.756806	1785418673.785316	1
201	core_ports	1785418673.788333	1785418678.815936	1
202	mlp	1785418678.819325	1785418683.842681	1
203	fpbr	1785418683.845476	1785418688.868080	1
204	fe	1785418688.870622	1785418693.894069	1
205	dram_bw	1785418693.896630	1785418698.918545	1
206	fe_lat	1785418698.921406	1785418703.945390	1
207	priv	1785418703.948222	1785418708.971492	1
208	cache	1785418708.977855	1785418714.003067	1
209	priv	1785418714.005612	1785418719.028229	1
210	fpbr	1785418719.031075	1785418724.053274	1
211	fe	1785418724.055951	1785418729.081528	1
212	dram_bw	1785418729.084251	1785418734.105925	1
213	mlp	1785418734.108483	1785418739.128981	1
214	core_ports	1785418739.131573	1785418744.156176	1
215	fe_lat	1785418744.159005	1785418749.183925	1
216	core_ports	1785418749.190236	1785418754.214458	1
217	dram_bw	1785418754.217032	1785418759.240207	1
218	cache	1785418759.243208	1785418764.267712	1
