win	group	t_start	t_end	alive_after
000	fe	1785344978.864506	1785344983.908365	1
001	mlp	1785344983.910922	1785344988.931387	1
002	core_ports	1785344988.933892	1785344993.957467	1
003	priv	1785344993.960000	1785344998.982391	1
004	fpbr	1785344998.985108	1785345004.009453	1
005	dram_bw	1785345004.012171	1785345009.033656	1
006	fe_lat	1785345009.036100	1785345014.060032	1
007	cache	1785345014.063577	1785345019.088562	1
008	fe	1785345019.094820	1785345024.118476	1
009	mlp	1785345024.121022	1785345029.144170	1
010	priv	1785345029.147172	1785345034.169601	1
011	fe_lat	1785345034.172483	1785345039.203201	1
012	cache	1785345039.205984	1785345044.229698	1
013	core_ports	1785345044.232403	1785345049.257218	1
014	fpbr	1785345049.260175	1785345054.285203	1
015	dram_bw	1785345054.287818	1785345059.319853	1
016	core_ports	1785345059.326245	1785345064.350048	1
017	fe	1785345064.352803	1785345069.376356	1
018	fe_lat	1785345069.379058	1785345074.404419	1
019	cache	1785345074.407681	1785345079.431302	1
020	fpbr	1785345079.433947	1785345084.456367	1
021	dram_bw	1785345084.458909	1785345089.480486	1
022	priv	1785345089.483166	1785345094.505427	1
023	mlp	1785345094.508029	1785345099.528208	1
024	fe_lat	1785345099.534238	1785345104.558449	1
025	core_ports	1785345104.561184	1785345109.589924	1
026	dram_bw	1785345109.592529	1785345114.614598	1
027	priv	1785345114.617344	1785345119.639480	1
028	fpbr	1785345119.642137	1785345124.664735	1
029	mlp	1785345124.667222	1785345129.688513	1
030	cache	1785345129.691634	1785345134.715250	1
031	fe	1785345134.718006	1785345139.742027	1
032	fe	1785345139.748326	1785345144.772620	1
033	fpbr	1785345144.775541	1785345149.797555	1
034	mlp	1785345149.800219	1785345154.820592	1
035	fe_lat	1785345154.823304	1785345159.846823	1
036	core_ports	1785345159.850236	1785345164.875903	1
037	cache	1785345164.878712	1785345169.902858	1
038	dram_bw	1785345169.905527	1785345174.928128	1
039	priv	1785345174.930892	1785345179.954852	1
040	mlp	1785345179.961194	1785345184.981509	1
041	fe_lat	1785345184.984048	1785345190.007539	1
042	fe	1785345190.010176	1785345195.033840	1
043	fpbr	1785345195.036498	1785345200.059732	1
044	core_ports	1785345200.062315	1785345205.086006	1
045	priv	1785345205.088837	1785345210.111677	1
046	dram_bw	1785345210.114511	1785345215.136463	1
047	cache	1785345215.139123	1785345220.162475	1
048	cache	1785345220.168362	1785345225.191892	1
049	mlp	1785345225.194377	1785345230.215243	1
050	priv	1785345230.217869	1785345235.240259	1
051	fpbr	1785345235.242724	1785345240.265326	1
052	dram_bw	1785345240.268001	1785345245.289735	1
053	fe	1785345245.292485	1785345250.316432	1
054	core_ports	1785345250.319197	1785345255.343666	1
055	fe_lat	1785345255.346183	1785345260.369934	1
056	fpbr	1785345260.375757	1785345265.399147	1
057	cache	1785345265.402248	1785345270.426802	1
058	dram_bw	1785345270.429503	1785345275.451351	1
059	core_ports	1785345275.454044	1785345280.477395	1
060	fe	1785345280.481340	1785345285.506322	1
061	fe_lat	1785345285.509290	1785345290.534188	1
062	mlp	1785345290.536779	1785345295.557419	1
063	priv	1785345295.560041	1785345300.584745	1
064	fe	1785345300.591326	1785345305.616825	1
065	mlp	1785345305.619554	1785345310.640561	1
066	fe_lat	1785345310.643031	1785345315.666851	1
067	priv	1785345315.669761	1785345320.691940	1
068	cache	1785345320.694579	1785345325.718102	1
069	core_ports	1785345325.720673	1785345330.746030	1
070	dram_bw	1785345330.748762	1785345335.773231	1
071	fpbr	1785345335.775823	1785345340.798257	1
072	core_ports	1785345340.804278	1785345345.827584	1
073	priv	1785345345.830327	1785345350.862836	1
074	mlp	1785345350.865696	1785345355.887020	1
075	fpbr	1785345355.889566	1785345360.913739	1
076	fe_lat	1785345360.916367	1785345365.940530	1
077	fe	1785345365.943170	1785345370.968162	1
078	cache	1785345370.970904	1785345375.996560	1
079	dram_bw	1785345375.999267	1785345381.021140	1
080	fe_lat	1785345381.027267	1785345386.050931	1
081	mlp	1785345386.053791	1785345391.076105	1
082	cache	1785345391.078640	1785345396.102002	1
083	priv	1785345396.104658	1785345401.126562	1
084	fpbr	1785345401.129317	1785345406.151614	1
085	core_ports	1785345406.154545	1785345411.178946	1
086	dram_bw	1785345411.181729	1785345416.203850	1
087	fe	1785345416.206632	1785345421.231047	1
088	fe_lat	1785345421.237177	1785345426.262623	1
089	dram_bw	1785345426.265432	1785345431.288429	1
090	mlp	1785345431.291133	1785345436.312800	1
091	priv	1785345436.315462	1785345441.337922	1
092	fe	1785345441.340532	1785345446.364335	1
093	cache	1785345446.366950	1785345451.390518	1
094	fpbr	1785345451.393140	1785345456.417031	1
095	core_ports	1785345456.419737	1785345461.443626	1
096	dram_bw	1785345461.449928	1785345466.471585	1
097	fpbr	1785345466.474061	1785345471.496164	1
098	cache	1785345471.498870	1785345476.522860	1
099	core_ports	1785345476.525470	1785345481.550294	1
100	fe_lat	1785345481.553023	1785345486.577615	1
101	priv	1785345486.580297	1785345491.604300	1
102	fe	1785345491.606961	1785345496.631759	1
103	mlp	1785345496.634449	1785345501.655393	1
104	fpbr	1785345501.661415	1785345506.683697	1
105	priv	1785345506.686465	1785345511.708874	1
106	core_ports	1785345511.711891	1785345516.735819	1
107	mlp	1785345516.738481	1785345521.759612	1
108	fe_lat	1785345521.762264	1785345526.786093	1
109	dram_bw	1785345526.788722	1785345531.810452	1
110	fe	1785345531.812961	1785345536.836807	1
111	cache	1785345536.840085	1785345541.865022	1
112	fe	1785345541.872040	1785345546.896760	1
