win	group	t_start	t_end	alive_after
000	fpbr	1785362667.413272	1785362672.464808	1
001	cache	1785362672.467268	1785362677.490153	1
002	dram_bw	1785362677.492801	1785362682.514616	1
003	priv	1785362682.517191	1785362687.540174	1
004	core_ports	1785362687.542699	1785362692.566834	1
005	fe	1785362692.569524	1785362697.593879	1
006	mlp	1785362697.596508	1785362702.618566	1
007	fe_lat	1785362702.621160	1785362707.645480	1
008	fpbr	1785362707.651643	1785362712.674561	1
009	mlp	1785362712.677657	1785362717.699319	1
010	priv	1785362717.701765	1785362722.724451	1
011	fe_lat	1785362722.727184	1785362727.751906	1
012	cache	1785362727.754488	1785362732.778387	1
013	core_ports	1785362732.781103	1785362737.804553	1
014	fe	1785362737.807054	1785362742.831856	1
015	dram_bw	1785362742.835178	1785362747.857711	1
016	mlp	1785362747.863889	1785362752.885983	1
017	dram_bw	1785362752.888556	1785362757.910032	1
018	fe	1785362757.913388	1785362762.938510	1
019	core_ports	1785362762.941333	1785362767.964949	1
020	fpbr	1785362767.967603	1785362772.990176	1
021	priv	1785362772.992779	1785362778.015048	1
022	cache	1785362778.017662	1785362783.048937	1
023	fe_lat	1785362783.051892	1785362788.075313	1
024	core_ports	1785362788.081297	1785362793.106086	1
025	priv	1785362793.109316	1785362798.132628	1
026	dram_bw	1785362798.135395	1785362803.159256	1
027	fe_lat	1785362803.162062	1785362808.185363	1
028	mlp	1785362808.188270	1785362813.209623	1
029	fpbr	1785362813.212288	1785362818.235392	1
030	cache	1785362818.237926	1785362823.261654	1
031	fe	1785362823.264143	1785362828.287829	1
032	core_ports	1785362828.294432	1785362833.318246	1
033	fe_lat	1785362833.321059	1785362838.344765	1
034	cache	1785362838.347430	1785362843.371103	1
035	mlp	1785362843.373713	1785362848.394937	1
036	priv	1785362848.397676	1785362853.419933	1
037	fe	1785362853.423046	1785362858.446085	1
038	fpbr	1785362858.448621	1785362863.471003	1
039	dram_bw	1785362863.473709	1785362868.495114	1
040	cache	1785362868.501273	1785362873.524796	1
041	fpbr	1785362873.527263	1785362878.549469	1
042	fe_lat	1785362878.552366	1785362883.576295	1
043	core_ports	1785362883.578803	1785362888.602059	1
044	mlp	1785362888.604807	1785362893.625709	1
045	dram_bw	1785362893.628282	1785362898.649919	1
046	priv	1785362898.652490	1785362903.675552	1
047	fe	1785362903.678372	1785362908.701640	1
048	fpbr	1785362908.707922	1785362913.730199	1
049	dram_bw	1785362913.732979	1785362918.754484	1
050	cache	1785362918.756972	1785362923.780403	1
051	priv	1785362923.783178	1785362928.805511	1
052	core_ports	1785362928.808155	1785362933.833127	1
053	fe_lat	1785362933.835715	1785362938.860056	1
054	fe	1785362938.862784	1785362943.886679	1
055	mlp	1785362943.889178	1785362948.909559	1
056	dram_bw	1785362948.915634	1785362953.937010	1
057	priv	1785362953.939613	1785362958.962149	1
058	cache	1785362958.964689	1785362963.988373	1
059	core_ports	1785362963.991410	1785362969.014954	1
060	mlp	1785362969.017569	1785362974.038248	1
061	fpbr	1785362974.041068	1785362979.063243	1
062	fe	1785362979.065852	1785362984.090159	1
063	fe_lat	1785362984.092926	1785362989.116354	1
064	core_ports	1785362989.122439	1785362994.146945	1
065	fe_lat	1785362994.149514	1785362999.173408	1
066	priv	1785362999.176040	1785363004.198199	1
067	fe	1785363004.200996	1785363009.224753	1
068	mlp	1785363009.227460	1785363014.248111	1
069	fpbr	1785363014.250737	1785363019.272989	1
070	cache	1785363019.275852	1785363024.300184	1
071	dram_bw	1785363024.302858	1785363029.324192	1
072	fe	1785363029.329908	1785363034.354271	1
073	cache	1785363034.356866	1785363039.380249	1
074	fe_lat	1785363039.382801	1785363044.406330	1
075	core_ports	1785363044.409012	1785363049.432868	1
076	priv	1785363049.435452	1785363054.460545	1
077	dram_bw	1785363054.463271	1785363059.485843	1
078	fpbr	1785363059.488493	1785363064.511519	1
079	mlp	1785363064.514027	1785363069.534616	1
080	fe_lat	1785363069.540716	1785363074.564627	1
081	mlp	1785363074.567247	1785363079.593036	1
082	fpbr	1785363079.595620	1785363084.618533	1
083	core_ports	1785363084.621742	1785363089.646001	1
084	cache	1785363089.648677	1785363094.673339	1
085	dram_bw	1785363094.675953	1785363099.697976	1
086	fe	1785363099.700901	1785363104.725075	1
087	priv	1785363104.727577	1785363109.749424	1
088	fe_lat	1785363109.755912	1785363114.779984	1
089	dram_bw	1785363114.782665	1785363119.804168	1
090	cache	1785363119.806788	1785363124.830486	1
091	fe	1785363124.833117	1785363129.856522	1
092	core_ports	1785363129.859053	1785363134.882500	1
093	priv	1785363134.885361	1785363139.909078	1
094	mlp	1785363139.911784	1785363144.933046	1
095	fpbr	1785363144.936036	1785363149.958211	1
096	priv	1785363149.964324	1785363154.987612	1
097	core_ports	1785363154.990324	1785363160.014083	1
098	mlp	1785363160.016675	1785363165.037967	1
099	dram_bw	1785363165.041238	1785363170.063237	1
100	fe	1785363170.066010	1785363175.090387	1
101	fe_lat	1785363175.092979	1785363180.116496	1
102	fpbr	1785363180.119091	1785363185.142266	1
103	cache	1785363185.145102	1785363190.169759	1
104	fe_lat	1785363190.176592	1785363195.200504	1
105	priv	1785363195.203125	1785363200.225406	1
106	cache	1785363200.228074	1785363205.252221	1
107	fe	1785363205.254817	1785363210.278449	1
108	core_ports	1785363210.281361	1785363215.306426	1
109	dram_bw	1785363215.309561	1785363220.331216	1
110	mlp	1785363220.333963	1785363225.354536	1
111	fpbr	1785363225.357275	1785363230.380143	1
112	fe_lat	1785363230.386540	1785363235.412069	1
113	cache	1785363235.414944	1785363240.439804	1
114	dram_bw	1785363240.442484	1785363245.463942	1
115	fe	1785363245.466737	1785363250.491529	1
116	fpbr	1785363250.494373	1785363255.518451	1
117	core_ports	1785363255.520915	1785363260.544587	1
118	priv	1785363260.547516	1785363265.571358	1
119	mlp	1785363265.574066	1785363270.595264	1
120	fe_lat	1785363270.601357	1785363275.625008	1
121	priv	1785363275.627685	1785363280.649537	1
122	mlp	1785363280.652209	1785363285.673860	1
123	fpbr	1785363285.676445	1785363290.699194	1
124	dram_bw	1785363290.701802	1785363295.723456	1
125	cache	1785363295.726063	1785363300.749877	1
126	fe	1785363300.752456	1785363305.777036	1
127	core_ports	1785363305.780075	1785363310.806510	1
128	core_ports	1785363310.813632	1785363315.837861	1
129	mlp	1785363315.840597	1785363320.861944	1
130	fe	1785363320.864857	1785363325.889216	1
131	fpbr	1785363325.892078	1785363330.915070	1
132	priv	1785363330.917618	1785363335.939964	1
133	dram_bw	1785363335.942599	1785363340.965687	1
134	cache	1785363340.968628	1785363345.993740	1
135	fe_lat	1785363345.996480	1785363351.020430	1
136	fe	1785363351.026678	1785363356.050800	1
137	mlp	1785363356.053481	1785363361.075282	1
138	fpbr	1785363361.078342	1785363366.100681	1
139	cache	1785363366.103181	1785363371.126661	1
140	priv	1785363371.129296	1785363376.151890	1
141	dram_bw	1785363376.154476	1785363381.175981	1
142	core_ports	1785363381.178670	1785363386.202375	1
143	fe_lat	1785363386.205126	1785363391.231749	1
144	fe_lat	1785363391.237799	1785363396.261033	1
145	cache	1785363396.263726	1785363401.288450	1
146	fe	1785363401.291105	1785363406.314656	1
147	fpbr	1785363406.317180	1785363411.339639	1
148	core_ports	1785363411.342150	1785363416.367171	1
149	mlp	1785363416.370076	1785363421.390806	1
150	priv	1785363421.393477	1785363426.415767	1
151	dram_bw	1785363426.418569	1785363431.440191	1
152	dram_bw	1785363431.446208	1785363436.467757	1
153	fe_lat	1785363436.470377	1785363441.494776	1
154	priv	1785363441.497284	1785363446.520533	1
155	fe	1785363446.522997	1785363451.546118	1
156	mlp	1785363451.548586	1785363456.569095	1
157	core_ports	1785363456.571583	1785363461.599407	1
158	cache	1785363461.601924	1785363466.626109	1
159	fpbr	1785363466.628640	1785363471.650779	1
160	mlp	1785363471.656693	1785363476.677623	1
161	fpbr	1785363476.680318	1785363481.703572	1
162	fe_lat	1785363481.706205	1785363486.730266	1
163	core_ports	1785363486.732969	1785363491.756887	1
164	dram_bw	1785363491.759683	1785363496.781370	1
165	priv	1785363496.784033	1785363501.805907	1
166	fe	1785363501.808427	1785363506.832188	1
167	cache	1785363506.834873	1785363511.859378	1
168	mlp	1785363511.865482	1785363516.886462	1
169	fe	1785363516.889318	1785363521.913009	1
170	fe_lat	1785363521.915577	1785363526.939278	1
171	dram_bw	1785363526.942033	1785363531.963403	1
172	fpbr	1785363531.966111	1785363536.988816	1
173	cache	1785363536.991528	1785363542.015826	1
174	priv	1785363542.018847	1785363547.040598	1
175	core_ports	1785363547.043097	1785363552.066393	1
176	priv	1785363552.072422	1785363557.094773	1
177	cache	1785363557.097387	1785363562.121523	1
178	dram_bw	1785363562.124216	1785363567.145860	1
179	core_ports	1785363567.148546	1785363572.171899	1
180	mlp	1785363572.174570	1785363577.194802	1
181	fe_lat	1785363577.197520	1785363582.221900	1
182	fe	1785363582.224700	1785363587.248346	1
183	fpbr	1785363587.250980	1785363592.273939	1
184	core_ports	1785363592.280351	1785363597.303852	1
185	dram_bw	1785363597.306571	1785363602.328253	1
186	mlp	1785363602.330897	1785363607.354380	1
187	priv	1785363607.357194	1785363612.379084	1
188	fe	1785363612.381772	1785363617.406275	1
189	cache	1785363617.409069	1785363622.434972	1
190	fpbr	1785363622.437515	1785363627.459674	1
191	fe_lat	1785363627.462211	1785363632.485577	1
192	cache	1785363632.491488	1785363637.515053	1
193	fe	1785363637.517700	1785363642.543386	1
194	priv	1785363642.546221	1785363647.568831	1
195	mlp	1785363647.571410	1785363652.592658	1
196	core_ports	1785363652.595686	1785363657.619624	1
197	fpbr	1785363657.622127	1785363662.644466	1
198	dram_bw	1785363662.646993	1785363667.668533	1
199	fe_lat	1785363667.671189	1785363672.695799	1
200	fpbr	1785363672.701948	1785363677.725276	1
201	mlp	1785363677.727821	1785363682.748219	1
202	fe	1785363682.750758	1785363687.774272	1
203	fe_lat	1785363687.776919	1785363692.801608	1
204	priv	1785363692.804121	1785363697.826943	1
205	dram_bw	1785363697.829443	1785363702.850829	1
206	cache	1785363702.853530	1785363707.877246	1
207	core_ports	1785363707.879904	1785363712.904089	1
208	fe	1785363712.909997	1785363717.933762	1
209	dram_bw	1785363717.936424	1785363722.957805	1
210	fpbr	1785363722.960395	1785363727.983078	0
