win	group	t_start	t_end	alive_after
000	priv	1785413103.625661	1785413108.668937	1
001	mlp	1785413108.671469	1785413113.691586	1
002	fe	1785413113.694457	1785413118.718093	1
003	core_ports	1785413118.720972	1785413123.745381	1
004	fpbr	1785413123.748019	1785413128.772604	1
005	dram_bw	1785413128.775340	1785413133.798526	1
006	cache	1785413133.801024	1785413138.824291	1
007	fe_lat	1785413138.826990	1785413143.850178	1
008	core_ports	1785413143.856482	1785413148.880677	1
009	fe_lat	1785413148.883162	1785413153.906846	1
010	fe	1785413153.909455	1785413158.932768	1
011	priv	1785413158.935597	1785413163.958137	1
012	fpbr	1785413163.960803	1785413168.982778	1
013	dram_bw	1785413168.985429	1785413174.006689	1
014	mlp	1785413174.009942	1785413179.030618	1
015	cache	1785413179.033227	1785413184.056635	1
016	cache	1785413184.062824	1785413189.086008	1
017	fe	1785413189.088790	1785413194.113249	1
018	fpbr	1785413194.116046	1785413199.138554	1
019	fe_lat	1785413199.141234	1785413204.164587	1
020	mlp	1785413204.167245	1785413209.188005	1
021	core_ports	1785413209.190812	1785413214.221241	1
022	priv	1785413214.223796	1785413219.247432	1
023	dram_bw	1785413219.250068	1785413224.271873	1
024	mlp	1785413224.277939	1785413229.298686	1
025	fe	1785413229.301497	1785413234.326156	1
026	core_ports	1785413234.328839	1785413239.352806	1
027	fpbr	1785413239.355604	1785413244.377836	1
028	fe_lat	1785413244.380535	1785413249.403739	1
029	dram_bw	1785413249.406461	1785413254.428552	1
030	cache	1785413254.431142	1785413259.454748	1
031	priv	1785413259.457373	1785413264.479187	1
032	mlp	1785413264.485466	1785413269.505610	1
033	cache	1785413269.508239	1785413274.531167	1
034	priv	1785413274.534213	1785413279.555871	1
035	core_ports	1785413279.558929	1785413284.585266	1
036	dram_bw	1785413284.588011	1785413289.609553	1
037	fe	1785413289.612235	1785413294.635517	1
038	fe_lat	1785413294.638240	1785413299.662710	1
039	fpbr	1785413299.665322	1785413304.687230	1
040	fe	1785413304.693597	1785413309.717509	1
041	core_ports	1785413309.720189	1785413314.745084	1
042	fe_lat	1785413314.747779	1785413319.771152	1
043	cache	1785413319.774107	1785413324.797283	1
044	priv	1785413324.799948	1785413329.821639	1
045	dram_bw	1785413329.824281	1785413334.846917	1
046	fpbr	1785413334.849653	1785413339.872224	1
047	mlp	1785413339.874855	1785413344.896185	1
048	priv	1785413344.902294	1785413349.924359	1
049	mlp	1785413349.927016	1785413354.947718	1
050	core_ports	1785413354.950199	1785413359.974276	1
051	cache	1785413359.977127	1785413365.000774	1
052	fpbr	1785413365.003473	1785413370.025705	1
053	fe_lat	1785413370.028542	1785413375.052589	1
054	fe	1785413375.055411	1785413380.079001	1
055	dram_bw	1785413380.081913	1785413385.103110	1
056	fe	1785413385.109093	1785413390.132500	1
057	priv	1785413390.135051	1785413395.157098	1
058	mlp	1785413395.159623	1785413400.180628	1
059	fpbr	1785413400.199945	1785413405.222792	1
060	dram_bw	1785413405.225432	1785413410.247386	1
061	core_ports	1785413410.250140	1785413415.274307	1
062	cache	1785413415.277035	1785413420.300387	1
063	fe_lat	1785413420.302976	1785413425.327751	1
064	priv	1785413425.333978	1785413430.356239	1
065	dram_bw	1785413430.359067	1785413435.380224	1
066	fe	1785413435.382824	1785413440.406623	1
067	fpbr	1785413440.409283	1785413445.439157	1
068	core_ports	1785413445.441782	1785413450.465520	1
069	mlp	1785413450.468282	1785413455.490333	1
070	fe_lat	1785413455.493277	1785413460.517100	1
071	cache	1785413460.519801	1785413465.544437	1
072	mlp	1785413465.550167	1785413470.570712	1
073	fpbr	1785413470.573321	1785413475.597428	1
074	fe	1785413475.600310	1785413480.624316	1
075	core_ports	1785413480.627128	1785413485.654074	1
076	cache	1785413485.656630	1785413490.681369	1
077	fe_lat	1785413490.684196	1785413495.708086	1
078	priv	1785413495.710621	1785413500.734033	1
079	dram_bw	1785413500.736745	1785413505.758339	1
080	mlp	1785413505.764413	1785413510.785112	1
081	core_ports	1785413510.787895	1785413515.813059	1
082	fe	1785413515.815754	1785413520.839342	1
083	dram_bw	1785413520.842011	1785413525.864262	1
084	priv	1785413525.866829	1785413530.889356	1
085	fpbr	1785413530.891841	1785413535.914369	1
086	fe_lat	1785413535.917243	1785413540.941783	1
087	cache	1785413540.944878	1785413545.968815	1
088	dram_bw	1785413545.975101	1785413550.996596	1
089	fe_lat	1785413550.999161	1785413556.022616	1
090	priv	1785413556.025194	1785413561.049259	1
091	core_ports	1785413561.052020	1785413566.076345	1
092	fe	1785413566.078823	1785413571.102438	1
093	fpbr	1785413571.105128	1785413576.127739	1
094	cache	1785413576.130360	1785413581.154590	1
095	mlp	1785413581.157671	1785413586.178769	1
096	fe_lat	1785413586.184947	1785413591.208902	1
097	fpbr	1785413591.211711	1785413596.233985	1
098	cache	1785413596.236674	1785413601.260828	1
099	fe	1785413601.263514	1785413606.288145	1
100	dram_bw	1785413606.290830	1785413611.312007	1
101	core_ports	1785413611.314786	1785413616.338331	1
102	mlp	1785413616.341105	1785413621.363212	1
103	priv	1785413621.365975	1785413626.389612	1
104	fpbr	1785413626.395589	1785413631.417937	1
105	priv	1785413631.420464	1785413636.442553	1
106	cache	1785413636.445367	1785413641.471090	1
107	mlp	1785413641.473642	1785413646.494878	1
108	dram_bw	1785413646.497631	1785413651.519637	1
109	fe_lat	1785413651.522151	1785413656.545611	1
110	core_ports	1785413656.548089	1785413661.571468	1
111	fe	1785413661.574691	1785413666.598529	1
112	dram_bw	1785413666.604633	1785413671.625798	1
113	mlp	1785413671.628452	1785413676.649354	1
114	priv	1785413676.652251	1785413681.678000	1
115	cache	1785413681.680755	1785413686.704202	1
116	fe	1785413686.707468	1785413691.733229	1
117	fpbr	1785413691.735952	1785413696.758401	1
118	core_ports	1785413696.761065	1785413701.785606	1
119	fe_lat	1785413701.788329	1785413706.812121	1
120	fe_lat	1785413706.818534	1785413711.843410	1
121	cache	1785413711.846065	1785413716.870855	1
122	mlp	1785413716.873589	1785413721.895012	1
123	fe	1785413721.898148	1785413726.922800	1
124	priv	1785413726.925453	1785413731.948109	1
125	fpbr	1785413731.950707	1785413736.973590	1
126	dram_bw	1785413736.976141	1785413741.999072	1
127	core_ports	1785413742.001810	1785413747.025958	1
128	core_ports	1785413747.032012	1785413752.055704	1
129	mlp	1785413752.058400	1785413757.079430	1
130	cache	1785413757.082153	1785413762.105592	1
131	fe	1785413762.108343	1785413767.132645	1
