win	group	t_start	t_end	alive_after
000	fe	1785415739.864329	1785415744.918472	1
001	priv	1785415744.921123	1785415749.945458	1
002	fpbr	1785415749.948115	1785415754.971155	1
003	mlp	1785415754.973919	1785415759.994439	1
004	core_ports	1785415759.997127	1785415765.023519	1
005	cache	1785415765.026426	1785415770.052885	1
006	fe_lat	1785415770.055540	1785415775.080617	1
007	dram_bw	1785415775.083318	1785415780.105108	1
008	mlp	1785415780.111332	1785415785.133242	1
009	cache	1785415785.135816	1785415790.162546	1
010	fe_lat	1785415790.165111	1785415795.193946	1
011	core_ports	1785415795.197311	1785415800.221875	1
012	dram_bw	1785415800.235895	1785415805.258640	1
013	fe	1785415805.261219	1785415810.286329	1
014	fpbr	1785415810.289568	1785415815.319439	1
015	priv	1785415815.322121	1785415820.349827	1
016	core_ports	1785415820.363563	1785415825.395499	1
017	cache	1785415825.398247	1785415830.422018	1
018	dram_bw	1785415830.424548	1785415835.447094	1
019	priv	1785415835.449642	1785415840.472062	1
020	fe	1785415840.474734	1785415845.498987	1
021	mlp	1785415845.501946	1785415850.543756	1
022	fe_lat	1785415850.556688	1785415855.584890	1
023	fpbr	1785415855.587787	1785415860.611437	1
024	dram_bw	1785415860.618369	1785415865.643190	1
025	core_ports	1785415865.645972	1785415870.669831	1
026	priv	1785415870.672705	1785415875.696818	1
027	fpbr	1785415875.699778	1785415880.724682	1
028	cache	1785415880.727442	1785415885.753936	1
029	fe_lat	1785415885.756782	1785415890.785426	1
030	fe	1785415890.788328	1785415895.814875	1
031	mlp	1785415895.817568	1785415900.837985	1
032	fe	1785415900.844241	1785415905.870098	1
033	mlp	1785415905.872870	1785415910.893877	1
034	fpbr	1785415910.896588	1785415915.921070	1
035	dram_bw	1785415915.924308	1785415920.946488	1
036	cache	1785415920.949277	1785415925.972745	1
037	priv	1785415925.975416	1785415931.004377	1
038	fe_lat	1785415931.007341	1785415936.032860	1
039	core_ports	1785415936.035581	1785415941.059967	1
040	mlp	1785415941.066288	1785415946.086603	1
041	cache	1785415946.089320	1785415951.113158	1
042	core_ports	1785415951.115948	1785415956.140849	1
043	fpbr	1785415956.143517	1785415961.166194	1
044	fe	1785415961.168821	1785415966.192370	1
045	priv	1785415966.195119	1785415971.217619	1
046	fe_lat	1785415971.220461	1785415976.245773	1
047	dram_bw	1785415976.248261	1785415981.269939	1
048	fpbr	1785415981.275958	1785415986.298120	1
049	core_ports	1785415986.300702	1785415991.330232	1
050	fe_lat	1785415991.333057	1785415996.357460	1
051	priv	1785415996.360123	1785416001.382506	1
052	fe	1785416001.385199	1785416006.408746	1
053	dram_bw	1785416006.411566	1785416011.432982	1
054	cache	1785416011.435905	1785416016.459788	1
055	mlp	1785416016.462698	1785416021.483028	1
056	cache	1785416021.489474	1785416026.514619	1
057	fpbr	1785416026.517466	1785416031.550904	1
058	core_ports	1785416031.553588	1785416036.578846	1
059	dram_bw	1785416036.582259	1785416041.604250	1
060	priv	1785416041.606893	1785416046.628968	1
061	mlp	1785416046.631738	1785416051.652758	1
062	fe	1785416051.655423	1785416056.679859	1
063	fe_lat	1785416056.682465	1785416061.707158	1
064	fe	1785416061.713452	1785416066.737775	1
065	cache	1785416066.740614	1785416071.765201	1
066	fe_lat	1785416071.767801	1785416076.792075	1
067	dram_bw	1785416076.794803	1785416081.815899	1
068	priv	1785416081.818639	1785416086.840993	1
069	fpbr	1785416086.843702	1785416091.866278	1
070	core_ports	1785416091.868992	1785416096.894057	1
071	mlp	1785416096.896747	1785416101.917152	1
072	fe	1785416101.923209	1785416106.948405	1
073	priv	1785416106.951087	1785416111.974179	1
074	dram_bw	1785416111.977023	1785416116.998380	1
075	cache	1785416117.002103	1785416122.027752	1
076	fe_lat	1785416122.030393	1785416127.054337	1
077	core_ports	1785416127.057033	1785416132.081112	1
078	mlp	1785416132.083579	1785416137.105034	1
079	fpbr	1785416137.107750	1785416142.130037	1
080	fe	1785416142.136071	1785416147.159856	1
081	dram_bw	1785416147.162579	1785416152.184274	1
082	mlp	1785416152.186974	1785416157.209120	1
083	cache	1785416157.211812	1785416162.235364	1
084	priv	1785416162.238023	1785416167.260213	1
085	fpbr	1785416167.262920	1785416172.286681	1
086	fe_lat	1785416172.289405	1785416177.316402	1
087	core_ports	1785416177.319238	1785416182.342987	1
088	mlp	1785416182.349192	1785416187.369691	1
089	fe_lat	1785416187.372297	1785416192.395858	1
090	priv	1785416192.398378	1785416197.420389	1
091	fe	1785416197.423567	1785416202.448315	1
092	fpbr	1785416202.451044	1785416207.473518	1
093	core_ports	1785416207.476169	1785416212.500154	1
094	cache	1785416212.502917	1785416217.526901	1
095	dram_bw	1785416217.529617	1785416222.551832	1
096	priv	1785416222.559319	1785416227.583128	1
097	cache	1785416227.585930	1785416232.613528	1
098	core_ports	1785416232.616506	1785416237.641069	1
099	fe	1785416237.643985	1785416242.674276	1
100	fpbr	1785416242.677505	1785416247.702635	1
101	dram_bw	1785416247.705405	1785416252.727372	1
102	mlp	1785416252.730301	1785416257.752996	1
103	fe_lat	1785416257.755895	1785416262.779863	1
104	priv	1785416262.786740	1785416267.809249	1
105	core_ports	1785416267.811927	1785416272.835882	1
106	cache	1785416272.838607	1785416277.861733	1
107	fe	1785416277.864356	1785416282.888040	1
108	dram_bw	1785416282.890690	1785416287.914551	1
109	fpbr	1785416287.917445	1785416292.940046	1
110	mlp	1785416292.942882	1785416297.965027	1
111	fe_lat	1785416297.967693	1785416302.992437	1
112	fe_lat	1785416302.998842	1785416308.024831	1
113	priv	1785416308.027765	1785416313.050933	1
114	fe	1785416313.053443	1785416318.077040	1
115	mlp	1785416318.079828	1785416323.100147	1
116	core_ports	1785416323.102854	1785416328.125872	1
117	fpbr	1785416328.128615	1785416333.152142	1
118	cache	1785416333.154902	1785416338.179396	1
119	dram_bw	1785416338.182350	1785416343.204208	1
120	priv	1785416343.210343	1785416348.234597	1
121	fe_lat	1785416348.237414	1785416353.263502	1
122	mlp	1785416353.266204	1785416358.286864	1
123	fe	1785416358.289419	1785416363.312940	1
124	core_ports	1785416363.315644	1785416368.339029	1
