win	group	t_start	t_end	alive_after
000	mlp	1785349117.501778	1785349122.542637	1
001	core_ports	1785349122.545252	1785349127.568568	1
002	fe_lat	1785349127.571348	1785349132.596100	1
003	dram_bw	1785349132.599241	1785349137.620417	1
004	fpbr	1785349137.623108	1785349142.646777	1
005	priv	1785349142.649614	1785349147.671424	1
006	fe	1785349147.673913	1785349152.697412	1
007	cache	1785349152.699906	1785349157.723200	1
008	cache	1785349157.729069	1785349162.753317	1
009	fpbr	1785349162.755986	1785349167.778778	1
010	fe	1785349167.781379	1785349172.806786	1
011	mlp	1785349172.809370	1785349177.829848	1
012	core_ports	1785349177.832427	1785349182.855808	1
013	priv	1785349182.859146	1785349187.881109	1
014	fe_lat	1785349187.883628	1785349192.908157	1
015	dram_bw	1785349192.911022	1785349197.932454	1
016	cache	1785349197.938151	1785349202.963949	1
017	fe	1785349202.966417	1785349207.990419	1
018	core_ports	1785349207.993031	1785349213.016563	1
019	fpbr	1785349213.019031	1785349218.041619	1
020	fe_lat	1785349218.044531	1785349223.068637	1
021	mlp	1785349223.071380	1785349228.091759	1
022	priv	1785349228.094473	1785349233.117496	1
023	dram_bw	1785349233.120380	1785349238.142543	1
024	fpbr	1785349238.148664	1785349243.171302	1
025	core_ports	1785349243.174699	1785349248.198101	1
026	dram_bw	1785349248.200888	1785349253.222599	1
027	fe	1785349253.225273	1785349258.249361	1
028	priv	1785349258.252352	1785349263.276804	1
029	mlp	1785349263.279743	1785349268.304343	1
030	cache	1785349268.308080	1785349273.332367	1
031	fe_lat	1785349273.335095	1785349278.358572	1
032	core_ports	1785349278.364526	1785349283.388487	1
033	mlp	1785349283.391161	1785349288.412666	1
034	priv	1785349288.415436	1785349293.439689	1
035	fe_lat	1785349293.442300	1785349298.466125	1
036	cache	1785349298.468671	1785349303.492908	1
037	fe	1785349303.495573	1785349308.519499	1
038	fpbr	1785349308.522332	1785349313.545556	1
039	dram_bw	1785349313.548500	1785349318.570655	1
040	fe_lat	1785349318.576915	1785349323.602338	1
041	cache	1785349323.604842	1785349328.628654	1
042	dram_bw	1785349328.631280	1785349333.653310	1
