win	group	t_start	t_end	alive_after
000	cache	1785358485.255049	1785358490.306941	1
001	fpbr	1785358490.310882	1785358495.337815	1
002	fe_lat	1785358495.340315	1785358500.364261	1
003	core_ports	1785358500.367131	1785358505.390843	1
004	priv	1785358505.393505	1785358510.415291	1
005	fe	1785358510.417840	1785358515.442055	1
006	mlp	1785358515.444412	1785358520.465221	1
007	dram_bw	1785358520.467914	1785358525.490316	1
008	priv	1785358525.496161	1785358530.519359	1
009	dram_bw	1785358530.522475	1785358535.549193	1
010	core_ports	1785358535.552019	1785358540.576080	1
011	fpbr	1785358540.579435	1785358545.601911	1
012	fe_lat	1785358545.604399	1785358550.627900	1
013	mlp	1785358550.630619	1785358555.653937	1
014	cache	1785358555.656758	1785358560.681744	1
015	fe	1785358560.684264	1785358565.707811	1
016	fpbr	1785358565.713682	1785358570.737463	1
017	priv	1785358570.740166	1785358575.762947	1
018	fe	1785358575.765482	1785358580.789311	1
019	dram_bw	1785358580.792001	1785358585.813287	1
020	core_ports	1785358585.815828	1785358590.839499	1
021	mlp	1785358590.842045	1785358595.862595	1
022	fe_lat	1785358595.865227	1785358600.890322	1
023	cache	1785358600.893140	1785358605.916587	1
024	priv	1785358605.922612	1785358610.944464	1
025	fe_lat	1785358610.947107	1785358615.970252	1
026	fe	1785358615.972877	1785358620.996207	1
027	dram_bw	1785358620.999197	1785358626.021015	1
028	core_ports	1785358626.023708	1785358631.048304	1
029	mlp	1785358631.051241	1785358636.071677	1
030	cache	1785358636.074384	1785358641.099180	1
031	fpbr	1785358641.101623	1785358646.123772	1
032	mlp	1785358646.129871	1785358651.151064	1
033	cache	1785358651.153567	1785358656.177457	1
034	core_ports	1785358656.179997	1785358661.203484	1
035	fe	1785358661.206071	1785358666.229604	1
036	priv	1785358666.232224	1785358671.254765	1
037	fe_lat	1785358671.257370	1785358676.281731	1
038	fpbr	1785358676.284709	1785358681.307191	1
039	dram_bw	1785358681.309947	1785358686.332236	1
040	priv	1785358686.338574	1785358691.361064	1
041	core_ports	1785358691.363687	1785358696.388076	1
042	mlp	1785358696.390666	1785358701.411442	1
043	dram_bw	1785358701.413989	1785358706.436298	1
044	fe_lat	1785358706.438971	1785358711.463720	1
045	fe	1785358711.466805	1785358716.492247	1
046	cache	1785358716.495011	1785358721.519676	1
047	fpbr	1785358721.522321	1785358726.545062	1
