win	group	t_start	t_end	alive_after
000	priv	1785342170.293635	1785342175.377251	1
001	core_ports	1785342175.380124	1785342180.404111	1
002	fe	1785342180.406806	1785342185.430543	1
003	mlp	1785342185.433183	1785342190.454920	1
004	fe_lat	1785342190.457900	1785342195.482712	1
005	dram_bw	1785342195.485437	1785342200.507460	1
006	fpbr	1785342200.510038	1785342205.533929	1
007	cache	1785342205.536479	1785342210.560241	1
008	fe_lat	1785342210.566455	1785342215.594748	1
009	cache	1785342215.597684	1785342220.623457	1
010	core_ports	1785342220.626118	1785342225.651683	1
011	priv	1785342225.654489	1785342230.678308	1
012	fe	1785342230.681061	1785342235.707862	1
013	dram_bw	1785342235.710917	1785342240.734440	1
014	mlp	1785342240.737009	1785342245.757692	1
015	fpbr	1785342245.760210	1785342250.783034	1
016	priv	1785342250.789172	1785342255.812353	1
017	dram_bw	1785342255.814895	1785342260.836405	1
018	core_ports	1785342260.839415	1785342265.863178	1
019	fe	1785342265.865862	1785342270.889419	1
020	fe_lat	1785342270.892199	1785342275.915910	1
021	fpbr	1785342275.918643	1785342280.941207	1
022	mlp	1785342280.943818	1785342285.964743	1
023	cache	1785342285.967630	1785342290.991277	1
024	dram_bw	1785342290.997208	1785342296.018531	1
025	fpbr	1785342296.021042	1785342301.044809	1
026	fe_lat	1785342301.047538	1785342306.071338	1
027	cache	1785342306.074071	1785342311.099444	1
028	priv	1785342311.102200	1785342316.124662	1
029	mlp	1785342316.127287	1785342321.147923	1
030	core_ports	1785342321.150663	1785342326.175202	1
031	fe	1785342326.177684	1785342331.202143	1
032	cache	1785342331.208417	1785342336.232373	1
033	dram_bw	1785342336.235061	1785342341.256935	1
034	priv	1785342341.259425	1785342346.281340	1
035	fe_lat	1785342346.283847	1785342351.308501	1
036	mlp	1785342351.311251	1785342356.331979	1
037	core_ports	1785342356.334638	1785342361.359025	1
038	fpbr	1785342361.361654	1785342366.383799	1
039	fe	1785342366.386486	1785342371.410878	1
040	priv	1785342371.417363	1785342376.439195	1
041	core_ports	1785342376.441840	1785342381.465329	1
042	dram_bw	1785342381.467872	1785342386.489189	1
043	cache	1785342386.491956	1785342391.516412	1
044	mlp	1785342391.519109	1785342396.541533	1
045	fe	1785342396.544298	1785342401.569867	1
046	fe_lat	1785342401.572982	1785342406.598812	1
047	fpbr	1785342406.601415	1785342411.623554	1
048	fe_lat	1785342411.629478	1785342416.654410	1
049	fe	1785342416.657577	1785342421.683371	1
050	dram_bw	1785342421.686011	1785342426.707556	1
051	core_ports	1785342426.710225	1785342431.733942	1
052	cache	1785342431.736815	1785342436.760773	1
053	fpbr	1785342436.763499	1785342441.786374	1
054	priv	1785342441.789111	1785342446.812380	1
055	mlp	1785342446.814936	1785342451.836893	1
056	priv	1785342451.843101	1785342456.864934	1
057	fe	1785342456.867683	1785342461.890975	1
058	mlp	1785342461.893774	1785342466.918764	1
059	cache	1785342466.921536	1785342471.945528	1
060	core_ports	1785342471.948577	1785342476.974747	1
061	fpbr	1785342476.977423	1785342481.999833	1
062	dram_bw	1785342482.002361	1785342487.023936	1
063	fe_lat	1785342487.026723	1785342492.050470	1
064	priv	1785342492.056413	1785342497.078551	1
065	fe	1785342497.081182	1785342502.105691	1
066	cache	1785342502.108152	1785342507.132121	1
067	mlp	1785342507.134939	1785342512.156327	1
068	fe_lat	1785342512.158895	1785342517.182497	1
069	dram_bw	1785342517.185095	1785342522.207006	1
070	core_ports	1785342522.209716	1785342527.234212	1
071	fpbr	1785342527.236823	1785342532.260016	1
072	fpbr	1785342532.266106	1785342537.288317	1
073	core_ports	1785342537.290887	1785342542.314998	1
074	cache	1785342542.317696	1785342547.341694	1
075	fe_lat	1785342547.344222	1785342552.367909	1
076	mlp	1785342552.371252	1785342557.391678	1
077	fe	1785342557.394256	1785342562.418716	1
078	priv	1785342562.421419	1785342567.443719	1
079	dram_bw	1785342567.446436	1785342572.467873	1
080	fpbr	1785342572.473902	1785342577.496987	1
081	fe_lat	1785342577.499486	1785342582.524556	1
082	core_ports	1785342582.527235	1785342587.551438	1
083	fe	1785342587.554138	1785342592.578271	1
084	dram_bw	1785342592.580972	1785342597.602562	1
085	mlp	1785342597.605226	1785342602.626394	1
086	cache	1785342602.630122	1785342607.654491	1
087	priv	1785342607.657225	1785342612.680180	1
088	core_ports	1785342612.686103	1785342617.709900	1
089	priv	1785342617.712512	1785342622.734350	1
090	cache	1785342622.737027	1785342627.760486	1
091	dram_bw	1785342627.762882	1785342632.785516	1
092	fpbr	1785342632.788144	1785342637.811009	1
093	fe	1785342637.813509	1785342642.837111	1
094	mlp	1785342642.839830	1785342647.860968	1
095	fe_lat	1785342647.863749	1785342652.887801	1
096	fe	1785342652.893696	1785342657.917921	1
097	core_ports	1785342657.920729	1785342662.944236	1
098	priv	1785342662.946897	1785342667.969433	1
099	cache	1785342667.972085	1785342672.995510	1
100	dram_bw	1785342672.998286	1785342678.019959	1
101	mlp	1785342678.022538	1785342683.043882	1
102	fe_lat	1785342683.047011	1785342688.071133	1
103	fpbr	1785342688.073742	1785342693.096451	1
104	fpbr	1785342693.102400	1785342698.124723	1
105	dram_bw	1785342698.127364	1785342703.149074	1
