win	group	t_start	t_end	alive_after
000	fpbr	1785356989.465018	1785356994.510501	1
001	core_ports	1785356994.512942	1785356999.536109	1
002	dram_bw	1785356999.538684	1785357004.562121	1
003	fe_lat	1785357004.579524	1785357009.604964	1
004	cache	1785357009.607550	1785357014.631220	1
005	mlp	1785357014.633946	1785357019.654578	1
006	fe	1785357019.657231	1785357024.681683	1
007	priv	1785357024.684324	1785357029.705953	1
008	dram_bw	1785357029.711728	1785357034.733170	1
009	core_ports	1785357034.735939	1785357039.759704	1
010	priv	1785357039.762659	1785357044.785145	1
011	fe	1785357044.787857	1785357049.810920	1
012	fpbr	1785357049.813675	1785357054.835905	1
013	cache	1785357054.838527	1785357059.861850	1
014	mlp	1785357059.865316	1785357064.888632	1
015	fe_lat	1785357064.891294	1785357069.915444	1
016	fe	1785357069.921436	1785357074.945146	1
017	fpbr	1785357074.947917	1785357079.971183	1
018	fe_lat	1785357079.973760	1785357084.997245	1
019	priv	1785357085.000189	1785357090.022192	1
020	mlp	1785357090.025292	1785357095.045897	1
021	dram_bw	1785357095.048451	1785357100.070172	1
022	core_ports	1785357100.072899	1785357105.096638	1
023	cache	1785357105.099361	1785357110.123486	1
024	fpbr	1785357110.129661	1785357115.151960	1
025	priv	1785357115.154569	1785357120.178424	1
026	dram_bw	1785357120.181005	1785357125.202162	1
027	cache	1785357125.204924	1785357130.230111	1
028	fe	1785357130.232704	1785357135.256171	1
029	mlp	1785357135.258724	1785357140.279683	1
030	core_ports	1785357140.282585	1785357145.306997	1
031	fe_lat	1785357145.309698	1785357150.338923	1
032	fpbr	1785357150.344993	1785357155.366854	1
033	dram_bw	1785357155.369879	1785357160.391801	1
034	priv	1785357160.394389	1785357165.417279	1
035	fe_lat	1785357165.419882	1785357170.444520	1
036	fe	1785357170.447059	1785357175.470372	1
037	mlp	1785357175.473304	1785357180.502350	1
038	cache	1785357180.505426	1785357185.536081	1
039	core_ports	1785357185.538611	1785357190.562021	1
040	dram_bw	1785357190.568130	1785357195.591418	1
041	priv	1785357195.594347	1785357200.618835	1
042	cache	1785357200.621484	1785357205.646822	1
043	mlp	1785357205.649589	1785357210.671211	1
044	fpbr	1785357210.674144	1785357215.703124	1
045	fe_lat	1785357215.706051	1785357220.730014	1
046	core_ports	1785357220.732879	1785357225.757531	1
047	fe	1785357225.760517	1785357230.784899	1
048	priv	1785357230.790964	1785357235.814571	1
049	fe	1785357235.817498	1785357240.844493	0
