task,group,run,win,t0,dur,fence,instructions,tag,metric,value
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,harness,177628712,harness,BTB_MPKI,2.604
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,harness,177628712,harness,uopCache_MPKI,44.7527
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,harness,177628712,harness,branchDir_MPKI,4.8754
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,harness,177628712,harness,branchInd_MPKI,2.5996
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,tool,461684138,shell,BTB_MPKI,3.0691
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,tool,461684138,shell,uopCache_MPKI,86.4442
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,tool,461684138,shell,branchDir_MPKI,4.1291
gin-gonic,fe_miss,run_1,000,1785348896.304,2.051,tool,461684138,shell,branchInd_MPKI,1.5989
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,harness,627715041,harness,BTB_MPKI,0.8494
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,harness,627715041,harness,uopCache_MPKI,55.8052
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,harness,627715041,harness,branchDir_MPKI,2.5773
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,harness,627715041,harness,branchInd_MPKI,1.7108
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,tool,5320735313,tests(go),BTB_MPKI,2.4261
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,tool,5320735313,tests(go),uopCache_MPKI,61.688
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,tool,5320735313,tests(go),branchDir_MPKI,3.8473
gin-gonic,fe_miss,run_1,001,1785348898.361,2.022,tool,5320735313,tests(go),branchInd_MPKI,0.2691
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,harness,223948963,harness,BTB_MPKI,1.387
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,harness,223948963,harness,uopCache_MPKI,43.0852
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,harness,223948963,harness,branchDir_MPKI,3.9485
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,harness,223948963,harness,branchInd_MPKI,2.0314
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,tool,22975419748,tests(go),BTB_MPKI,1.0496
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,tool,22975419748,tests(go),uopCache_MPKI,35.5875
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,tool,22975419748,tests(go),branchDir_MPKI,3.9741
gin-gonic,fe_miss,run_1,002,1785348900.39,2.024,tool,22975419748,tests(go),branchInd_MPKI,0.1906
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,harness,456883908,harness,BTB_MPKI,1.0388
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,harness,456883908,harness,uopCache_MPKI,34.2579
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,harness,456883908,harness,branchDir_MPKI,3.1935
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,harness,456883908,harness,branchInd_MPKI,1.5395
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,tool,2901740942,compile,BTB_MPKI,1.474
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,tool,2901740942,compile,uopCache_MPKI,46.7633
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,tool,2901740942,compile,branchDir_MPKI,2.7978
gin-gonic,fe_miss,run_1,003,1785348902.42,2.022,tool,2901740942,compile,branchInd_MPKI,0.2643
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,harness,982245542,harness,BTB_MPKI,0.5785
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,harness,982245542,harness,uopCache_MPKI,28.0734
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,harness,982245542,harness,branchDir_MPKI,2.0725
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,harness,982245542,harness,branchInd_MPKI,0.8935
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,tool,2988584044,shell,BTB_MPKI,1.2056
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,tool,2988584044,shell,uopCache_MPKI,46.6331
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,tool,2988584044,shell,branchDir_MPKI,2.7847
gin-gonic,fe_miss,run_1,004,1785348904.448,2.022,tool,2988584044,shell,branchInd_MPKI,0.2678
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,harness,637017719,harness,BTB_MPKI,0.4894
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,harness,637017719,harness,uopCache_MPKI,21.503
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,harness,637017719,harness,branchDir_MPKI,1.8841
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,harness,637017719,harness,branchInd_MPKI,0.7392
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,tool,19558256540,tests(go),BTB_MPKI,1.1435
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,tool,19558256540,tests(go),uopCache_MPKI,42.3851
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,tool,19558256540,tests(go),branchDir_MPKI,3.5562
gin-gonic,fe_miss,run_1,005,1785348906.476,2.022,tool,19558256540,tests(go),branchInd_MPKI,0.1966
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,harness,1075876265,harness,BTB_MPKI,0.381
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,harness,1075876265,harness,uopCache_MPKI,21.6069
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,harness,1075876265,harness,branchDir_MPKI,1.6047
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,harness,1075876265,harness,branchInd_MPKI,0.6107
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,tool,9291474185,shell,BTB_MPKI,0.7678
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,tool,9291474185,shell,uopCache_MPKI,30.2592
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,tool,9291474185,shell,branchDir_MPKI,3.1334
gin-gonic,fe_miss,run_1,006,1785348908.505,2.024,tool,9291474185,shell,branchInd_MPKI,0.116
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,harness,769512724,harness,BTB_MPKI,0.2326
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,harness,769512724,harness,uopCache_MPKI,20.7365
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,harness,769512724,harness,branchDir_MPKI,1.9774
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,harness,769512724,harness,branchInd_MPKI,0.5388
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,tool,25196529518,tests(go),BTB_MPKI,0.8659
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,tool,25196529518,tests(go),uopCache_MPKI,33.3082
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,tool,25196529518,tests(go),branchDir_MPKI,3.3284
gin-gonic,fe_miss,run_1,007,1785348910.536,2.023,tool,25196529518,tests(go),branchInd_MPKI,0.1351
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,harness,1675093811,harness,BTB_MPKI,0.271
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,harness,1675093811,harness,uopCache_MPKI,16.5919
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,harness,1675093811,harness,branchDir_MPKI,1.3392
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,harness,1675093811,harness,branchInd_MPKI,0.4235
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,tool,7753852197,tests(go),BTB_MPKI,1.0378
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,tool,7753852197,tests(go),uopCache_MPKI,42.5007
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,tool,7753852197,tests(go),branchDir_MPKI,2.594
gin-gonic,fe_miss,run_1,008,1785348912.564,2.027,tool,7753852197,tests(go),branchInd_MPKI,0.1303
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,harness,2981926884,harness,BTB_MPKI,0.2098
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,harness,2981926884,harness,uopCache_MPKI,14.7981
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,harness,2981926884,harness,branchDir_MPKI,1.1894
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,harness,2981926884,harness,branchInd_MPKI,0.3343
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,tool,415142969,shell,BTB_MPKI,3.3165
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,tool,415142969,shell,uopCache_MPKI,83.4601
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,tool,415142969,shell,branchDir_MPKI,4.3617
gin-gonic,fe_miss,run_1,009,1785348914.598,2.023,tool,415142969,shell,branchInd_MPKI,1.639
gin-gonic,fe_miss,run_1,010,1785348916.627,2.024,tool,8396028993,shell,BTB_MPKI,0.3339
gin-gonic,fe_miss,run_1,010,1785348916.627,2.024,tool,8396028993,shell,uopCache_MPKI,27.9098
gin-gonic,fe_miss,run_1,010,1785348916.627,2.024,tool,8396028993,shell,branchDir_MPKI,5.3717
gin-gonic,fe_miss,run_1,010,1785348916.627,2.024,tool,8396028993,shell,branchInd_MPKI,0.0636
gin-gonic,fe_miss,run_1,011,1785348918.658,2.023,tool,12941859459,python-other,BTB_MPKI,0.0548
gin-gonic,fe_miss,run_1,011,1785348918.658,2.023,tool,12941859459,python-other,uopCache_MPKI,42.7149
gin-gonic,fe_miss,run_1,011,1785348918.658,2.023,tool,12941859459,python-other,branchDir_MPKI,3.6389
gin-gonic,fe_miss,run_1,011,1785348918.658,2.023,tool,12941859459,python-other,branchInd_MPKI,0.062
gin-gonic,fe_miss,run_1,012,1785348920.687,2.024,tool,7838608322,pkg/build,BTB_MPKI,0.5661
gin-gonic,fe_miss,run_1,012,1785348920.687,2.024,tool,7838608322,pkg/build,uopCache_MPKI,43.9021
gin-gonic,fe_miss,run_1,012,1785348920.687,2.024,tool,7838608322,pkg/build,branchDir_MPKI,3.59
gin-gonic,fe_miss,run_1,012,1785348920.687,2.024,tool,7838608322,pkg/build,branchInd_MPKI,0.2412
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,harness,1840743393,harness,BTB_MPKI,0.1663
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,harness,1840743393,harness,uopCache_MPKI,13.8815
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,harness,1840743393,harness,branchDir_MPKI,1.0595
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,harness,1840743393,harness,branchInd_MPKI,0.245
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,tool,7634731402,pkg/build,BTB_MPKI,1.029
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,tool,7634731402,pkg/build,uopCache_MPKI,61.0794
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,tool,7634731402,pkg/build,branchDir_MPKI,3.6144
gin-gonic,fe_miss,run_1,013,1785348922.718,2.029,tool,7634731402,pkg/build,branchInd_MPKI,0.5612
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,harness,2062278531,harness,BTB_MPKI,0.2205
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,harness,2062278531,harness,uopCache_MPKI,12.4414
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,harness,2062278531,harness,branchDir_MPKI,2.2728
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,harness,2062278531,harness,branchInd_MPKI,0.4211
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,tool,3147279577,tests(go),BTB_MPKI,0.3817
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,tool,3147279577,tests(go),uopCache_MPKI,22.4651
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,tool,3147279577,tests(go),branchDir_MPKI,2.641
gin-gonic,fe_miss,run_1,014,1785348924.754,2.024,tool,3147279577,tests(go),branchInd_MPKI,0.2562
