task,group,run,win,t0,dur,fence,instructions,tag,metric,value
google,fe_miss,run_1,000,1785355382.512,2.04,harness,165331859,harness,BTB_MPKI,2.6349
google,fe_miss,run_1,000,1785355382.512,2.04,harness,165331859,harness,uopCache_MPKI,44.399
google,fe_miss,run_1,000,1785355382.512,2.04,harness,165331859,harness,branchDir_MPKI,4.8798
google,fe_miss,run_1,000,1785355382.512,2.04,harness,165331859,harness,branchInd_MPKI,2.5313
google,fe_miss,run_1,000,1785355382.512,2.04,tool,489333913,shell,BTB_MPKI,2.6816
google,fe_miss,run_1,000,1785355382.512,2.04,tool,489333913,shell,uopCache_MPKI,83.6979
google,fe_miss,run_1,000,1785355382.512,2.04,tool,489333913,shell,branchDir_MPKI,3.8412
google,fe_miss,run_1,000,1785355382.512,2.04,tool,489333913,shell,branchInd_MPKI,1.4449
google,fe_miss,run_1,001,1785355384.559,2.024,harness,354449509,harness,BTB_MPKI,2.0529
google,fe_miss,run_1,001,1785355384.559,2.024,harness,354449509,harness,uopCache_MPKI,57.5378
google,fe_miss,run_1,001,1785355384.559,2.024,harness,354449509,harness,branchDir_MPKI,5.2597
google,fe_miss,run_1,001,1785355384.559,2.024,harness,354449509,harness,branchInd_MPKI,2.8832
google,fe_miss,run_1,001,1785355384.559,2.024,tool,409229338,shell,BTB_MPKI,3.4985
google,fe_miss,run_1,001,1785355384.559,2.024,tool,409229338,shell,uopCache_MPKI,89.8194
google,fe_miss,run_1,001,1785355384.559,2.024,tool,409229338,shell,branchDir_MPKI,4.6786
google,fe_miss,run_1,001,1785355384.559,2.024,tool,409229338,shell,branchInd_MPKI,1.874
google,fe_miss,run_1,002,1785355386.589,2.022,harness,598224076,harness,BTB_MPKI,1.168
google,fe_miss,run_1,002,1785355386.589,2.022,harness,598224076,harness,uopCache_MPKI,40.1287
google,fe_miss,run_1,002,1785355386.589,2.022,harness,598224076,harness,branchDir_MPKI,3.2895
google,fe_miss,run_1,002,1785355386.589,2.022,harness,598224076,harness,branchInd_MPKI,1.6665
google,fe_miss,run_1,002,1785355386.589,2.022,tool,411515826,shell,BTB_MPKI,3.5714
google,fe_miss,run_1,002,1785355386.589,2.022,tool,411515826,shell,uopCache_MPKI,88.4573
google,fe_miss,run_1,002,1785355386.589,2.022,tool,411515826,shell,branchDir_MPKI,4.8223
google,fe_miss,run_1,002,1785355386.589,2.022,tool,411515826,shell,branchInd_MPKI,1.8645
google,fe_miss,run_1,003,1785355388.617,2.022,harness,942384571,harness,BTB_MPKI,0.713
google,fe_miss,run_1,003,1785355388.617,2.022,harness,942384571,harness,uopCache_MPKI,30.5737
google,fe_miss,run_1,003,1785355388.617,2.022,harness,942384571,harness,branchDir_MPKI,2.1793
google,fe_miss,run_1,003,1785355388.617,2.022,harness,942384571,harness,branchInd_MPKI,0.9821
google,fe_miss,run_1,003,1785355388.617,2.022,tool,1308193667,java-other,BTB_MPKI,2.3601
google,fe_miss,run_1,003,1785355388.617,2.022,tool,1308193667,java-other,uopCache_MPKI,63.4663
google,fe_miss,run_1,003,1785355388.617,2.022,tool,1308193667,java-other,branchDir_MPKI,4.3771
google,fe_miss,run_1,003,1785355388.617,2.022,tool,1308193667,java-other,branchInd_MPKI,1.6714
google,fe_miss,run_1,004,1785355390.645,2.022,harness,425676967,harness,BTB_MPKI,0.5518
google,fe_miss,run_1,004,1785355390.645,2.022,harness,425676967,harness,uopCache_MPKI,24.5138
google,fe_miss,run_1,004,1785355390.645,2.022,harness,425676967,harness,branchDir_MPKI,1.9041
google,fe_miss,run_1,004,1785355390.645,2.022,harness,425676967,harness,branchInd_MPKI,0.8203
google,fe_miss,run_1,004,1785355390.645,2.022,tool,42495554310,compile,BTB_MPKI,0.8127
google,fe_miss,run_1,004,1785355390.645,2.022,tool,42495554310,compile,uopCache_MPKI,27.254
google,fe_miss,run_1,004,1785355390.645,2.022,tool,42495554310,compile,branchDir_MPKI,3.6298
google,fe_miss,run_1,004,1785355390.645,2.022,tool,42495554310,compile,branchInd_MPKI,0.9936
google,fe_miss,run_1,005,1785355392.673,2.022,harness,1501848413,harness,BTB_MPKI,0.4594
google,fe_miss,run_1,005,1785355392.673,2.022,harness,1501848413,harness,uopCache_MPKI,21.5545
google,fe_miss,run_1,005,1785355392.673,2.022,harness,1501848413,harness,branchDir_MPKI,1.6427
google,fe_miss,run_1,005,1785355392.673,2.022,harness,1501848413,harness,branchInd_MPKI,0.6596
google,fe_miss,run_1,005,1785355392.673,2.022,tool,694327148,shell,BTB_MPKI,3.0378
google,fe_miss,run_1,005,1785355392.673,2.022,tool,694327148,shell,uopCache_MPKI,78.1872
google,fe_miss,run_1,005,1785355392.673,2.022,tool,694327148,shell,branchDir_MPKI,4.552
google,fe_miss,run_1,005,1785355392.673,2.022,tool,694327148,shell,branchInd_MPKI,2.1355
google,fe_miss,run_1,006,1785355394.701,2.022,harness,1644692709,harness,BTB_MPKI,0.3087
google,fe_miss,run_1,006,1785355394.701,2.022,harness,1644692709,harness,uopCache_MPKI,17.7356
google,fe_miss,run_1,006,1785355394.701,2.022,harness,1644692709,harness,branchDir_MPKI,1.6693
google,fe_miss,run_1,006,1785355394.701,2.022,harness,1644692709,harness,branchInd_MPKI,0.5392
google,fe_miss,run_1,006,1785355394.701,2.022,tool,11622705888,compile,BTB_MPKI,1.1088
google,fe_miss,run_1,006,1785355394.701,2.022,tool,11622705888,compile,uopCache_MPKI,35.3014
google,fe_miss,run_1,006,1785355394.701,2.022,tool,11622705888,compile,branchDir_MPKI,4.1033
google,fe_miss,run_1,006,1785355394.701,2.022,tool,11622705888,compile,branchInd_MPKI,1.3343
google,fe_miss,run_1,007,1785355396.73,2.021,harness,2682304857,harness,BTB_MPKI,0.2566
google,fe_miss,run_1,007,1785355396.73,2.021,harness,2682304857,harness,uopCache_MPKI,17.8062
google,fe_miss,run_1,007,1785355396.73,2.021,harness,2682304857,harness,branchDir_MPKI,1.1582
google,fe_miss,run_1,007,1785355396.73,2.021,harness,2682304857,harness,branchInd_MPKI,0.3864
google,fe_miss,run_1,007,1785355396.73,2.021,tool,585255695,shell,BTB_MPKI,3.169
google,fe_miss,run_1,007,1785355396.73,2.021,tool,585255695,shell,uopCache_MPKI,82.5065
google,fe_miss,run_1,007,1785355396.73,2.021,tool,585255695,shell,branchDir_MPKI,4.5694
google,fe_miss,run_1,007,1785355396.73,2.021,tool,585255695,shell,branchInd_MPKI,1.5122
google,fe_miss,run_1,008,1785355398.757,2.022,harness,387908685,harness,BTB_MPKI,0.2052
google,fe_miss,run_1,008,1785355398.757,2.022,harness,387908685,harness,uopCache_MPKI,16.7591
google,fe_miss,run_1,008,1785355398.757,2.022,harness,387908685,harness,branchDir_MPKI,1.0633
google,fe_miss,run_1,008,1785355398.757,2.022,harness,387908685,harness,branchInd_MPKI,0.3378
google,fe_miss,run_1,008,1785355398.757,2.022,tool,42512293458,tests(java),BTB_MPKI,0.9929
google,fe_miss,run_1,008,1785355398.757,2.022,tool,42512293458,tests(java),uopCache_MPKI,28.7483
google,fe_miss,run_1,008,1785355398.757,2.022,tool,42512293458,tests(java),branchDir_MPKI,4.2421
google,fe_miss,run_1,008,1785355398.757,2.022,tool,42512293458,tests(java),branchInd_MPKI,1.1233
google,fe_miss,run_1,009,1785355400.786,2.023,harness,396492140,harness,BTB_MPKI,0.2007
google,fe_miss,run_1,009,1785355400.786,2.023,harness,396492140,harness,uopCache_MPKI,16.2865
google,fe_miss,run_1,009,1785355400.786,2.023,harness,396492140,harness,branchDir_MPKI,1.0262
