task,group,run,win,t0,dur,fence,instructions,tag,metric,value
jqlang,fe_miss,run_1,000,1785345676.546,2.048,harness,141301225,harness,BTB_MPKI,1.9188
jqlang,fe_miss,run_1,000,1785345676.546,2.048,harness,141301225,harness,uopCache_MPKI,36.1395
jqlang,fe_miss,run_1,000,1785345676.546,2.048,harness,141301225,harness,branchDir_MPKI,3.8962
jqlang,fe_miss,run_1,000,1785345676.546,2.048,harness,141301225,harness,branchInd_MPKI,1.9877
jqlang,fe_miss,run_1,000,1785345676.546,2.048,tool,4191741501,pkg/build,BTB_MPKI,0.5187
jqlang,fe_miss,run_1,000,1785345676.546,2.048,tool,4191741501,pkg/build,uopCache_MPKI,40.8851
jqlang,fe_miss,run_1,000,1785345676.546,2.048,tool,4191741501,pkg/build,branchDir_MPKI,2.4386
jqlang,fe_miss,run_1,000,1785345676.546,2.048,tool,4191741501,pkg/build,branchInd_MPKI,0.7501
jqlang,fe_miss,run_1,001,1785345678.6,2.023,harness,35149349,harness,BTB_MPKI,5.2949
jqlang,fe_miss,run_1,001,1785345678.6,2.023,harness,35149349,harness,uopCache_MPKI,81.3465
jqlang,fe_miss,run_1,001,1785345678.6,2.023,harness,35149349,harness,branchDir_MPKI,8.7199
jqlang,fe_miss,run_1,001,1785345678.6,2.023,harness,35149349,harness,branchInd_MPKI,5.1859
jqlang,fe_miss,run_1,001,1785345678.6,2.023,tool,4520356561,pkg/build,BTB_MPKI,0.355
jqlang,fe_miss,run_1,001,1785345678.6,2.023,tool,4520356561,pkg/build,uopCache_MPKI,34.0789
jqlang,fe_miss,run_1,001,1785345678.6,2.023,tool,4520356561,pkg/build,branchDir_MPKI,2.9444
jqlang,fe_miss,run_1,001,1785345678.6,2.023,tool,4520356561,pkg/build,branchInd_MPKI,0.6037
jqlang,fe_miss,run_1,002,1785345680.63,2.023,harness,771192110,harness,BTB_MPKI,0.724
jqlang,fe_miss,run_1,002,1785345680.63,2.023,harness,771192110,harness,uopCache_MPKI,55.8549
jqlang,fe_miss,run_1,002,1785345680.63,2.023,harness,771192110,harness,branchDir_MPKI,2.1582
jqlang,fe_miss,run_1,002,1785345680.63,2.023,harness,771192110,harness,branchInd_MPKI,1.3464
jqlang,fe_miss,run_1,002,1785345680.63,2.023,tool,1970272994,shell,BTB_MPKI,1.2759
jqlang,fe_miss,run_1,002,1785345680.63,2.023,tool,1970272994,shell,uopCache_MPKI,58.9616
jqlang,fe_miss,run_1,002,1785345680.63,2.023,tool,1970272994,shell,branchDir_MPKI,5.0957
jqlang,fe_miss,run_1,002,1785345680.63,2.023,tool,1970272994,shell,branchInd_MPKI,1.5577
jqlang,fe_miss,run_1,003,1785345682.659,2.022,harness,501385946,harness,BTB_MPKI,1.2002
jqlang,fe_miss,run_1,003,1785345682.659,2.022,harness,501385946,harness,uopCache_MPKI,33.3389
jqlang,fe_miss,run_1,003,1785345682.659,2.022,harness,501385946,harness,branchDir_MPKI,3.5278
jqlang,fe_miss,run_1,003,1785345682.659,2.022,harness,501385946,harness,branchInd_MPKI,1.5204
jqlang,fe_miss,run_1,003,1785345682.659,2.022,tool,1356664118,shell,BTB_MPKI,1.6709
jqlang,fe_miss,run_1,003,1785345682.659,2.022,tool,1356664118,shell,uopCache_MPKI,63.2942
jqlang,fe_miss,run_1,003,1785345682.659,2.022,tool,1356664118,shell,branchDir_MPKI,5.0851
jqlang,fe_miss,run_1,003,1785345682.659,2.022,tool,1356664118,shell,branchInd_MPKI,1.5982
jqlang,fe_miss,run_1,004,1785345684.687,2.022,harness,714222246,harness,BTB_MPKI,0.6594
jqlang,fe_miss,run_1,004,1785345684.687,2.022,harness,714222246,harness,uopCache_MPKI,28.538
jqlang,fe_miss,run_1,004,1785345684.687,2.022,harness,714222246,harness,branchDir_MPKI,2.3889
jqlang,fe_miss,run_1,004,1785345684.687,2.022,harness,714222246,harness,branchInd_MPKI,0.9391
jqlang,fe_miss,run_1,004,1785345684.687,2.022,tool,4405829671,pkg/build,BTB_MPKI,0.7595
jqlang,fe_miss,run_1,004,1785345684.687,2.022,tool,4405829671,pkg/build,uopCache_MPKI,39.9188
jqlang,fe_miss,run_1,004,1785345684.687,2.022,tool,4405829671,pkg/build,branchDir_MPKI,3.0223
jqlang,fe_miss,run_1,004,1785345684.687,2.022,tool,4405829671,pkg/build,branchInd_MPKI,0.6619
jqlang,fe_miss,run_1,005,1785345686.716,2.022,tool,11966618503,compile,BTB_MPKI,0.7807
jqlang,fe_miss,run_1,005,1785345686.716,2.022,tool,11966618503,compile,uopCache_MPKI,39.9589
jqlang,fe_miss,run_1,005,1785345686.716,2.022,tool,11966618503,compile,branchDir_MPKI,5.8325
jqlang,fe_miss,run_1,005,1785345686.716,2.022,tool,11966618503,compile,branchInd_MPKI,0.286
jqlang,fe_miss,run_1,006,1785345688.744,2.023,tool,11770189042,compile,BTB_MPKI,0.772
jqlang,fe_miss,run_1,006,1785345688.744,2.023,tool,11770189042,compile,uopCache_MPKI,39.0721
jqlang,fe_miss,run_1,006,1785345688.744,2.023,tool,11770189042,compile,branchDir_MPKI,6.0069
jqlang,fe_miss,run_1,006,1785345688.744,2.023,tool,11770189042,compile,branchInd_MPKI,0.2843
jqlang,fe_miss,run_1,007,1785345690.773,2.022,tool,12602125215,compile,BTB_MPKI,0.5883
jqlang,fe_miss,run_1,007,1785345690.773,2.022,tool,12602125215,compile,uopCache_MPKI,37.1557
jqlang,fe_miss,run_1,007,1785345690.773,2.022,tool,12602125215,compile,branchDir_MPKI,5.1871
jqlang,fe_miss,run_1,007,1785345690.773,2.022,tool,12602125215,compile,branchInd_MPKI,0.2332
jqlang,fe_miss,run_1,008,1785345692.801,2.023,tool,12157214553,compile,BTB_MPKI,0.9578
jqlang,fe_miss,run_1,008,1785345692.801,2.023,tool,12157214553,compile,uopCache_MPKI,41.2567
jqlang,fe_miss,run_1,008,1785345692.801,2.023,tool,12157214553,compile,branchDir_MPKI,5.265
jqlang,fe_miss,run_1,008,1785345692.801,2.023,tool,12157214553,compile,branchInd_MPKI,0.3075
jqlang,fe_miss,run_1,009,1785345694.831,2.022,tool,12990405121,compile,BTB_MPKI,1.0165
jqlang,fe_miss,run_1,009,1785345694.831,2.022,tool,12990405121,compile,uopCache_MPKI,49.8801
jqlang,fe_miss,run_1,009,1785345694.831,2.022,tool,12990405121,compile,branchDir_MPKI,3.961
jqlang,fe_miss,run_1,009,1785345694.831,2.022,tool,12990405121,compile,branchInd_MPKI,0.3012
jqlang,fe_miss,run_1,010,1785345696.86,2.022,tool,11747574271,compile,BTB_MPKI,1.5148
jqlang,fe_miss,run_1,010,1785345696.86,2.022,tool,11747574271,compile,uopCache_MPKI,50.9959
jqlang,fe_miss,run_1,010,1785345696.86,2.022,tool,11747574271,compile,branchDir_MPKI,4.0482
jqlang,fe_miss,run_1,010,1785345696.86,2.022,tool,11747574271,compile,branchInd_MPKI,0.3716
jqlang,fe_miss,run_1,011,1785345698.888,2.023,tool,13032885227,compile,BTB_MPKI,1.0158
jqlang,fe_miss,run_1,011,1785345698.888,2.023,tool,13032885227,compile,uopCache_MPKI,40.4881
jqlang,fe_miss,run_1,011,1785345698.888,2.023,tool,13032885227,compile,branchDir_MPKI,4.3403
jqlang,fe_miss,run_1,011,1785345698.888,2.023,tool,13032885227,compile,branchInd_MPKI,0.272
jqlang,fe_miss,run_1,012,1785345700.917,2.022,tool,12433369788,compile,BTB_MPKI,1.0672
jqlang,fe_miss,run_1,012,1785345700.917,2.022,tool,12433369788,compile,uopCache_MPKI,44.9635
jqlang,fe_miss,run_1,012,1785345700.917,2.022,tool,12433369788,compile,branchDir_MPKI,4.8299
jqlang,fe_miss,run_1,012,1785345700.917,2.022,tool,12433369788,compile,branchInd_MPKI,0.3037
jqlang,fe_miss,run_1,013,1785345702.945,2.022,tool,12412511233,compile,BTB_MPKI,1.0761
jqlang,fe_miss,run_1,013,1785345702.945,2.022,tool,12412511233,compile,uopCache_MPKI,44.6773
jqlang,fe_miss,run_1,013,1785345702.945,2.022,tool,12412511233,compile,branchDir_MPKI,4.6706
jqlang,fe_miss,run_1,013,1785345702.945,2.022,tool,12412511233,compile,branchInd_MPKI,0.307
jqlang,fe_miss,run_1,014,1785345704.973,2.023,harness,917386,harness,BTB_MPKI,11.729
jqlang,fe_miss,run_1,014,1785345704.973,2.023,harness,917386,harness,uopCache_MPKI,129.9104
jqlang,fe_miss,run_1,014,1785345704.973,2.023,harness,917386,harness,branchDir_MPKI,6.9197
jqlang,fe_miss,run_1,014,1785345704.973,2.023,harness,917386,harness,branchInd_MPKI,0.3128
jqlang,fe_miss,run_1,014,1785345704.973,2.023,tool,12616165884,compile,BTB_MPKI,0.6872
jqlang,fe_miss,run_1,014,1785345704.973,2.023,tool,12616165884,compile,uopCache_MPKI,41.1831
jqlang,fe_miss,run_1,014,1785345704.973,2.023,tool,12616165884,compile,branchDir_MPKI,4.8448
jqlang,fe_miss,run_1,014,1785345704.973,2.023,tool,12616165884,compile,branchInd_MPKI,0.2322
jqlang,fe_miss,run_1,015,1785345707.002,2.022,tool,13114007760,compile,BTB_MPKI,0.8093
jqlang,fe_miss,run_1,015,1785345707.002,2.022,tool,13114007760,compile,uopCache_MPKI,44.5541
jqlang,fe_miss,run_1,015,1785345707.002,2.022,tool,13114007760,compile,branchDir_MPKI,3.5175
jqlang,fe_miss,run_1,015,1785345707.002,2.022,tool,13114007760,compile,branchInd_MPKI,0.2106
jqlang,fe_miss,run_1,016,1785345709.03,2.023,tool,12238221715,compile,BTB_MPKI,1.0576
jqlang,fe_miss,run_1,016,1785345709.03,2.023,tool,12238221715,compile,uopCache_MPKI,49.5698
jqlang,fe_miss,run_1,016,1785345709.03,2.023,tool,12238221715,compile,branchDir_MPKI,4.6734
jqlang,fe_miss,run_1,016,1785345709.03,2.023,tool,12238221715,compile,branchInd_MPKI,0.3023
jqlang,fe_miss,run_1,017,1785345711.059,2.022,tool,12146405483,compile,BTB_MPKI,0.8919
jqlang,fe_miss,run_1,017,1785345711.059,2.022,tool,12146405483,compile,uopCache_MPKI,46.3652
jqlang,fe_miss,run_1,017,1785345711.059,2.022,tool,12146405483,compile,branchDir_MPKI,5.2797
jqlang,fe_miss,run_1,017,1785345711.059,2.022,tool,12146405483,compile,branchInd_MPKI,0.3088
jqlang,fe_miss,run_1,018,1785345713.087,2.022,harness,257592054,harness,BTB_MPKI,0.5786
jqlang,fe_miss,run_1,018,1785345713.087,2.022,harness,257592054,harness,uopCache_MPKI,21.7595
jqlang,fe_miss,run_1,018,1785345713.087,2.022,harness,257592054,harness,branchDir_MPKI,2.1589
jqlang,fe_miss,run_1,018,1785345713.087,2.022,harness,257592054,harness,branchInd_MPKI,0.7489
jqlang,fe_miss,run_1,018,1785345713.087,2.022,tool,11261371516,compile,BTB_MPKI,0.5485
jqlang,fe_miss,run_1,018,1785345713.087,2.022,tool,11261371516,compile,uopCache_MPKI,37.2138
jqlang,fe_miss,run_1,018,1785345713.087,2.022,tool,11261371516,compile,branchDir_MPKI,3.0022
jqlang,fe_miss,run_1,018,1785345713.087,2.022,tool,11261371516,compile,branchInd_MPKI,0.1941
jqlang,fe_miss,run_1,019,1785345715.115,2.024,harness,1184518797,harness,BTB_MPKI,0.4668
jqlang,fe_miss,run_1,019,1785345715.115,2.024,harness,1184518797,harness,uopCache_MPKI,20.6586
jqlang,fe_miss,run_1,019,1785345715.115,2.024,harness,1184518797,harness,branchDir_MPKI,1.8892
jqlang,fe_miss,run_1,019,1785345715.115,2.024,harness,1184518797,harness,branchInd_MPKI,0.6142
jqlang,fe_miss,run_1,019,1785345715.115,2.024,tool,1369627382,shell,BTB_MPKI,1.5751
jqlang,fe_miss,run_1,019,1785345715.115,2.024,tool,1369627382,shell,uopCache_MPKI,61.7545
jqlang,fe_miss,run_1,019,1785345715.115,2.024,tool,1369627382,shell,branchDir_MPKI,4.9806
jqlang,fe_miss,run_1,019,1785345715.115,2.024,tool,1369627382,shell,branchInd_MPKI,1.5758
jqlang,fe_miss,run_1,020,1785345717.145,2.022,tool,16921195961,compile,BTB_MPKI,0.2902
jqlang,fe_miss,run_1,020,1785345717.145,2.022,tool,16921195961,compile,uopCache_MPKI,24.6508
jqlang,fe_miss,run_1,020,1785345717.145,2.022,tool,16921195961,compile,branchDir_MPKI,1.4916
jqlang,fe_miss,run_1,020,1785345717.145,2.022,tool,16921195961,compile,branchInd_MPKI,0.0821
jqlang,fe_miss,run_1,021,1785345719.173,2.022,tool,14448158242,compile,BTB_MPKI,0.6806
jqlang,fe_miss,run_1,021,1785345719.173,2.022,tool,14448158242,compile,uopCache_MPKI,34.2726
jqlang,fe_miss,run_1,021,1785345719.173,2.022,tool,14448158242,compile,branchDir_MPKI,2.3196
jqlang,fe_miss,run_1,021,1785345719.173,2.022,tool,14448158242,compile,branchInd_MPKI,0.1658
jqlang,fe_miss,run_1,022,1785345721.201,2.021,tool,13354442540,pkg/build,BTB_MPKI,1.1415
jqlang,fe_miss,run_1,022,1785345721.201,2.021,tool,13354442540,pkg/build,uopCache_MPKI,44.9415
jqlang,fe_miss,run_1,022,1785345721.201,2.021,tool,13354442540,pkg/build,branchDir_MPKI,3.4699
jqlang,fe_miss,run_1,022,1785345721.201,2.021,tool,13354442540,pkg/build,branchInd_MPKI,0.3155
jqlang,fe_miss,run_1,023,1785345723.228,2.022,harness,1329299199,harness,BTB_MPKI,0.2984
jqlang,fe_miss,run_1,023,1785345723.228,2.022,harness,1329299199,harness,uopCache_MPKI,17.3356
jqlang,fe_miss,run_1,023,1785345723.228,2.022,harness,1329299199,harness,branchDir_MPKI,1.9736
jqlang,fe_miss,run_1,023,1785345723.228,2.022,harness,1329299199,harness,branchInd_MPKI,0.5084
jqlang,fe_miss,run_1,023,1785345723.228,2.022,tool,4407414241,pkg/build,BTB_MPKI,1.7662
jqlang,fe_miss,run_1,023,1785345723.228,2.022,tool,4407414241,pkg/build,uopCache_MPKI,64.8471
jqlang,fe_miss,run_1,023,1785345723.228,2.022,tool,4407414241,pkg/build,branchDir_MPKI,3.7549
jqlang,fe_miss,run_1,023,1785345723.228,2.022,tool,4407414241,pkg/build,branchInd_MPKI,0.5441
jqlang,fe_miss,run_1,024,1785345725.257,2.022,harness,2098914999,harness,BTB_MPKI,0.267
jqlang,fe_miss,run_1,024,1785345725.257,2.022,harness,2098914999,harness,uopCache_MPKI,17.1835
jqlang,fe_miss,run_1,024,1785345725.257,2.022,harness,2098914999,harness,branchDir_MPKI,1.4358
jqlang,fe_miss,run_1,024,1785345725.257,2.022,harness,2098914999,harness,branchInd_MPKI,0.3619
jqlang,fe_miss,run_1,024,1785345725.257,2.022,tool,1444193166,shell,BTB_MPKI,1.3883
jqlang,fe_miss,run_1,024,1785345725.257,2.022,tool,1444193166,shell,uopCache_MPKI,58.6129
jqlang,fe_miss,run_1,024,1785345725.257,2.022,tool,1444193166,shell,branchDir_MPKI,4.7487
jqlang,fe_miss,run_1,024,1785345725.257,2.022,tool,1444193166,shell,branchInd_MPKI,1.2084
jqlang,fe_miss,run_1,025,1785345727.286,2.024,harness,2788262457,harness,BTB_MPKI,0.1951
jqlang,fe_miss,run_1,025,1785345727.286,2.024,harness,2788262457,harness,uopCache_MPKI,16.5455
jqlang,fe_miss,run_1,025,1785345727.286,2.024,harness,2788262457,harness,branchDir_MPKI,1.3184
jqlang,fe_miss,run_1,025,1785345727.286,2.024,harness,2788262457,harness,branchInd_MPKI,0.3112
jqlang,fe_miss,run_1,025,1785345727.286,2.024,tool,1762999182,shell,BTB_MPKI,1.3274
jqlang,fe_miss,run_1,025,1785345727.286,2.024,tool,1762999182,shell,uopCache_MPKI,59.3325
jqlang,fe_miss,run_1,025,1785345727.286,2.024,tool,1762999182,shell,branchDir_MPKI,5.0193
jqlang,fe_miss,run_1,025,1785345727.286,2.024,tool,1762999182,shell,branchInd_MPKI,1.5484
jqlang,fe_miss,run_1,026,1785345729.316,2.022,harness,1420608307,harness,BTB_MPKI,0.1565
jqlang,fe_miss,run_1,026,1785345729.316,2.022,harness,1420608307,harness,uopCache_MPKI,15.8902
jqlang,fe_miss,run_1,026,1785345729.316,2.022,harness,1420608307,harness,branchDir_MPKI,1.253
jqlang,fe_miss,run_1,026,1785345729.316,2.022,harness,1420608307,harness,branchInd_MPKI,0.2752
