task,group,run,win,t0,dur,fence,instructions,tag,metric,value
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,harness,160158594,harness,BTB_MPKI,2.6333
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,harness,160158594,harness,uopCache_MPKI,42.5695
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,harness,160158594,harness,branchDir_MPKI,4.7926
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,harness,160158594,harness,branchInd_MPKI,2.4464
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,tool,1249366800,shell,BTB_MPKI,1.1912
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,tool,1249366800,shell,uopCache_MPKI,63.1944
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,tool,1249366800,shell,branchDir_MPKI,2.3336
php-cs-fixer,fe_miss,run_1,000,1785363836.872,2.034,tool,1249366800,shell,branchInd_MPKI,0.6142
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,harness,467612587,harness,BTB_MPKI,1.5615
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,harness,467612587,harness,uopCache_MPKI,50.3091
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,harness,467612587,harness,branchDir_MPKI,3.8383
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,harness,467612587,harness,branchInd_MPKI,2.1307
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,tool,457415643,shell,BTB_MPKI,3.3888
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,tool,457415643,shell,uopCache_MPKI,82.8709
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,tool,457415643,shell,branchDir_MPKI,4.6416
php-cs-fixer,fe_miss,run_1,001,1785363838.913,2.022,tool,457415643,shell,branchInd_MPKI,1.7371
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,harness,629551148,harness,BTB_MPKI,1.1296
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,harness,629551148,harness,uopCache_MPKI,39.3625
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,harness,629551148,harness,branchDir_MPKI,3.1064
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,harness,629551148,harness,branchInd_MPKI,1.5089
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,tool,382031038,shell,BTB_MPKI,3.9228
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,tool,382031038,shell,uopCache_MPKI,90.1155
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,tool,382031038,shell,branchDir_MPKI,4.9559
php-cs-fixer,fe_miss,run_1,002,1785363840.942,2.023,tool,382031038,shell,branchInd_MPKI,1.9452
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,harness,912210882,harness,BTB_MPKI,0.6991
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,harness,912210882,harness,uopCache_MPKI,26.6008
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,harness,912210882,harness,branchDir_MPKI,2.2884
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,harness,912210882,harness,branchInd_MPKI,0.9942
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,tool,638690896,shell,BTB_MPKI,2.3926
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,tool,638690896,shell,uopCache_MPKI,69.5445
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,tool,638690896,shell,branchDir_MPKI,4.2014
php-cs-fixer,fe_miss,run_1,003,1785363842.97,2.022,tool,638690896,shell,branchInd_MPKI,1.314
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,harness,1458414611,harness,BTB_MPKI,0.4427
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,harness,1458414611,harness,uopCache_MPKI,22.1462
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,harness,1458414611,harness,branchDir_MPKI,1.6857
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,harness,1458414611,harness,branchInd_MPKI,0.6386
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,tool,478077277,php-other,BTB_MPKI,2.9326
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,tool,478077277,php-other,uopCache_MPKI,77.1953
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,tool,478077277,php-other,branchDir_MPKI,4.4211
php-cs-fixer,fe_miss,run_1,004,1785363844.998,2.022,tool,478077277,php-other,branchInd_MPKI,1.5344
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,harness,1892030350,harness,BTB_MPKI,0.3047
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,harness,1892030350,harness,uopCache_MPKI,17.2236
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,harness,1892030350,harness,branchDir_MPKI,1.6962
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,harness,1892030350,harness,branchInd_MPKI,0.524
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,tool,561084461,shell,BTB_MPKI,2.2235
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,tool,561084461,shell,uopCache_MPKI,67.382
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,tool,561084461,shell,branchDir_MPKI,3.9615
php-cs-fixer,fe_miss,run_1,005,1785363847.027,2.022,tool,561084461,shell,branchInd_MPKI,1.159
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,harness,2707786354,harness,BTB_MPKI,0.2479
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,harness,2707786354,harness,uopCache_MPKI,17.0506
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,harness,2707786354,harness,branchDir_MPKI,1.207
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,harness,2707786354,harness,branchInd_MPKI,0.3592
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,tool,453724824,shell,BTB_MPKI,2.9831
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,tool,453724824,shell,uopCache_MPKI,80.6369
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,tool,453724824,shell,branchDir_MPKI,4.2919
php-cs-fixer,fe_miss,run_1,006,1785363849.055,2.022,tool,453724824,shell,branchInd_MPKI,1.5171
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,harness,2800032173,harness,BTB_MPKI,0.212
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,harness,2800032173,harness,uopCache_MPKI,16.5864
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,harness,2800032173,harness,branchDir_MPKI,1.1239
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,harness,2800032173,harness,branchInd_MPKI,0.3031
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,tool,1154002295,shell,BTB_MPKI,1.2112
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,tool,1154002295,shell,uopCache_MPKI,65.1247
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,tool,1154002295,shell,branchDir_MPKI,4.1411
php-cs-fixer,fe_miss,run_1,007,1785363851.083,2.023,tool,1154002295,shell,branchInd_MPKI,0.5869
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,harness,3569845082,harness,BTB_MPKI,0.1715
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,harness,3569845082,harness,uopCache_MPKI,15.8367
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,harness,3569845082,harness,branchDir_MPKI,1.0218
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,harness,3569845082,harness,branchInd_MPKI,0.243
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,tool,525550681,shell,BTB_MPKI,2.5252
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,tool,525550681,shell,uopCache_MPKI,70.9114
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,tool,525550681,shell,branchDir_MPKI,3.9614
php-cs-fixer,fe_miss,run_1,008,1785363853.113,2.022,tool,525550681,shell,branchInd_MPKI,1.2356
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,harness,4252365610,harness,BTB_MPKI,0.1304
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,harness,4252365610,harness,uopCache_MPKI,14.6795
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,harness,4252365610,harness,branchDir_MPKI,1.0873
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,harness,4252365610,harness,branchInd_MPKI,0.2302
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,tool,761556699,php-other,BTB_MPKI,1.6767
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,tool,761556699,php-other,uopCache_MPKI,57.1467
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,tool,761556699,php-other,branchDir_MPKI,3.7735
php-cs-fixer,fe_miss,run_1,009,1785363855.141,2.023,tool,761556699,php-other,branchInd_MPKI,0.9278
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,harness,4361525376,harness,BTB_MPKI,0.113
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,harness,4361525376,harness,uopCache_MPKI,15.3023
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,harness,4361525376,harness,branchDir_MPKI,0.8975
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,harness,4361525376,harness,branchInd_MPKI,0.1823
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,tool,1900464943,shell,BTB_MPKI,1.1506
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,tool,1900464943,shell,uopCache_MPKI,57.6981
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,tool,1900464943,shell,branchDir_MPKI,2.6527
php-cs-fixer,fe_miss,run_1,010,1785363857.17,2.021,tool,1900464943,shell,branchInd_MPKI,0.4318
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,harness,5472516374,harness,BTB_MPKI,0.1096
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,harness,5472516374,harness,uopCache_MPKI,14.1297
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,harness,5472516374,harness,branchDir_MPKI,0.9001
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,harness,5472516374,harness,branchInd_MPKI,0.1652
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,tool,1429755009,shell,BTB_MPKI,1.367
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,tool,1429755009,shell,uopCache_MPKI,51.898
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,tool,1429755009,shell,branchDir_MPKI,3.8479
php-cs-fixer,fe_miss,run_1,011,1785363859.197,2.022,tool,1429755009,shell,branchInd_MPKI,0.6742
php-cs-fixer,fe_miss,run_1,012,1785363861.225,2.022,tool,10914753438,tests(php),BTB_MPKI,0.8184
php-cs-fixer,fe_miss,run_1,012,1785363861.225,2.022,tool,10914753438,tests(php),uopCache_MPKI,44.1332
php-cs-fixer,fe_miss,run_1,012,1785363861.225,2.022,tool,10914753438,tests(php),branchDir_MPKI,3.3681
php-cs-fixer,fe_miss,run_1,012,1785363861.225,2.022,tool,10914753438,tests(php),branchInd_MPKI,0.2924
php-cs-fixer,fe_miss,run_1,013,1785363863.254,2.023,harness,1410390850,harness,BTB_MPKI,0.1195
php-cs-fixer,fe_miss,run_1,013,1785363863.254,2.023,harness,1410390850,harness,uopCache_MPKI,14.551
php-cs-fixer,fe_miss,run_1,013,1785363863.254,2.023,harness,1410390850,harness,branchDir_MPKI,1.1781
php-cs-fixer,fe_miss,run_1,013,1785363863.254,2.023,harness,1410390850,harness,branchInd_MPKI,0.2721
