task,group,run,win,t0,dur,fence,instructions,tag,metric,value
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,harness,163606931,harness,BTB_MPKI,2.0509
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,harness,163606931,harness,uopCache_MPKI,36.2852
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,harness,163606931,harness,branchDir_MPKI,3.9795
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,harness,163606931,harness,branchInd_MPKI,1.9824
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,tool,3189937159,shell,BTB_MPKI,0.4439
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,tool,3189937159,shell,uopCache_MPKI,47.0874
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,tool,3189937159,shell,branchDir_MPKI,1.6206
phpoffice-bT,fe_miss,run_1,000,1785419662.345,2.035,tool,3189937159,shell,branchInd_MPKI,0.4548
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,harness,295328159,harness,BTB_MPKI,2.3558
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,harness,295328159,harness,uopCache_MPKI,60.142
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,harness,295328159,harness,branchDir_MPKI,5.3219
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,harness,295328159,harness,branchInd_MPKI,2.853
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,tool,414306565,shell,BTB_MPKI,3.626
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,tool,414306565,shell,uopCache_MPKI,88.3177
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,tool,414306565,shell,branchDir_MPKI,4.543
phpoffice-bT,fe_miss,run_1,001,1785419664.388,2.023,tool,414306565,shell,branchInd_MPKI,1.937
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,harness,564214073,harness,BTB_MPKI,1.3009
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,harness,564214073,harness,uopCache_MPKI,42.7893
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,harness,564214073,harness,branchDir_MPKI,3.5141
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,harness,564214073,harness,branchInd_MPKI,1.7582
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,tool,466708123,shell,BTB_MPKI,3.1511
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,tool,466708123,shell,uopCache_MPKI,85.7871
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,tool,466708123,shell,branchDir_MPKI,4.5833
phpoffice-bT,fe_miss,run_1,002,1785419666.417,2.023,tool,466708123,shell,branchInd_MPKI,1.6878
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,harness,767176964,harness,BTB_MPKI,0.8458
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,harness,767176964,harness,uopCache_MPKI,30.4955
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,harness,767176964,harness,branchDir_MPKI,2.5228
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,harness,767176964,harness,branchInd_MPKI,1.1895
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,tool,795117971,shell,BTB_MPKI,1.9654
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,tool,795117971,shell,uopCache_MPKI,67.2887
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,tool,795117971,shell,branchDir_MPKI,3.8541
phpoffice-bT,fe_miss,run_1,003,1785419668.446,2.023,tool,795117971,shell,branchInd_MPKI,1.0218
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,harness,1201268090,harness,BTB_MPKI,0.5537
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,harness,1201268090,harness,uopCache_MPKI,24.2588
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,harness,1201268090,harness,branchDir_MPKI,1.8442
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,harness,1201268090,harness,branchInd_MPKI,0.7781
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,tool,1030857630,php-other,BTB_MPKI,1.4435
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,tool,1030857630,php-other,uopCache_MPKI,54.3079
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,tool,1030857630,php-other,branchDir_MPKI,4.3564
phpoffice-bT,fe_miss,run_1,004,1785419670.475,2.023,tool,1030857630,php-other,branchInd_MPKI,0.7865
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,harness,1493780692,harness,BTB_MPKI,0.3644
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,harness,1493780692,harness,uopCache_MPKI,19.4738
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,harness,1493780692,harness,branchDir_MPKI,1.8249
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,harness,1493780692,harness,branchInd_MPKI,0.6314
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,tool,1670595243,git,BTB_MPKI,0.8237
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,tool,1670595243,git,uopCache_MPKI,46.3614
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,tool,1670595243,git,branchDir_MPKI,4.1197
phpoffice-bT,fe_miss,run_1,005,1785419672.504,2.023,tool,1670595243,git,branchInd_MPKI,0.4271
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,harness,2229839372,harness,BTB_MPKI,0.2718
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,harness,2229839372,harness,uopCache_MPKI,18.4193
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,harness,2229839372,harness,branchDir_MPKI,1.2093
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,harness,2229839372,harness,branchInd_MPKI,0.4152
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,tool,940125047,git,BTB_MPKI,1.5209
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,tool,940125047,git,uopCache_MPKI,55.2142
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,tool,940125047,git,branchDir_MPKI,4.1798
phpoffice-bT,fe_miss,run_1,006,1785419674.533,2.025,tool,940125047,git,branchInd_MPKI,0.8069
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,harness,2752571634,harness,BTB_MPKI,0.2245
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,harness,2752571634,harness,uopCache_MPKI,18.0458
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,harness,2752571634,harness,branchDir_MPKI,1.0661
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,harness,2752571634,harness,branchInd_MPKI,0.3395
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,tool,1117897589,shell,BTB_MPKI,1.3073
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,tool,1117897589,shell,uopCache_MPKI,49.0388
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,tool,1117897589,shell,branchDir_MPKI,4.1416
phpoffice-bT,fe_miss,run_1,007,1785419676.564,2.023,tool,1117897589,shell,branchInd_MPKI,0.7395
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,harness,3427276805,harness,BTB_MPKI,0.1734
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,harness,3427276805,harness,uopCache_MPKI,16.7946
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,harness,3427276805,harness,branchDir_MPKI,0.9386
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,harness,3427276805,harness,branchInd_MPKI,0.2631
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,tool,976654395,shell,BTB_MPKI,1.4426
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,tool,976654395,shell,uopCache_MPKI,50.3843
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,tool,976654395,shell,branchDir_MPKI,3.9424
phpoffice-bT,fe_miss,run_1,008,1785419678.594,2.022,tool,976654395,shell,branchInd_MPKI,0.9334
phpoffice-bT,fe_miss,run_1,009,1785419680.622,2.022,harness,3884784695,harness,BTB_MPKI,0.1402
phpoffice-bT,fe_miss,run_1,009,1785419680.622,2.022,harness,3884784695,harness,uopCache_MPKI,16.5296
