task,group,run,win,t0,dur,fence,instructions,tag,metric,value
prometheus,fe_miss,run_1,000,1785350954.785,2.037,harness,152253838,harness,BTB_MPKI,1.9004
prometheus,fe_miss,run_1,000,1785350954.785,2.037,harness,152253838,harness,uopCache_MPKI,37.253
prometheus,fe_miss,run_1,000,1785350954.785,2.037,harness,152253838,harness,branchDir_MPKI,3.9836
prometheus,fe_miss,run_1,000,1785350954.785,2.037,harness,152253838,harness,branchInd_MPKI,2.0271
prometheus,fe_miss,run_1,000,1785350954.785,2.037,tool,3372506995,shell,BTB_MPKI,0.4601
prometheus,fe_miss,run_1,000,1785350954.785,2.037,tool,3372506995,shell,uopCache_MPKI,50.3901
prometheus,fe_miss,run_1,000,1785350954.785,2.037,tool,3372506995,shell,branchDir_MPKI,1.7726
prometheus,fe_miss,run_1,000,1785350954.785,2.037,tool,3372506995,shell,branchInd_MPKI,0.7126
prometheus,fe_miss,run_1,001,1785350956.828,2.021,harness,211300617,harness,BTB_MPKI,2.6259
prometheus,fe_miss,run_1,001,1785350956.828,2.021,harness,211300617,harness,uopCache_MPKI,63.6988
prometheus,fe_miss,run_1,001,1785350956.828,2.021,harness,211300617,harness,branchDir_MPKI,5.9196
prometheus,fe_miss,run_1,001,1785350956.828,2.021,harness,211300617,harness,branchInd_MPKI,3.3624
prometheus,fe_miss,run_1,001,1785350956.828,2.021,tool,1405666296,shell,BTB_MPKI,0.9589
prometheus,fe_miss,run_1,001,1785350956.828,2.021,tool,1405666296,shell,uopCache_MPKI,25.8495
prometheus,fe_miss,run_1,001,1785350956.828,2.021,tool,1405666296,shell,branchDir_MPKI,6.2617
prometheus,fe_miss,run_1,001,1785350956.828,2.021,tool,1405666296,shell,branchInd_MPKI,0.5318
prometheus,fe_miss,run_1,002,1785350958.856,2.023,harness,1022178702,harness,BTB_MPKI,0.6177
prometheus,fe_miss,run_1,002,1785350958.856,2.023,harness,1022178702,harness,uopCache_MPKI,31.3611
prometheus,fe_miss,run_1,002,1785350958.856,2.023,harness,1022178702,harness,branchDir_MPKI,1.9532
prometheus,fe_miss,run_1,002,1785350958.856,2.023,harness,1022178702,harness,branchInd_MPKI,0.9185
prometheus,fe_miss,run_1,002,1785350958.856,2.023,tool,975874372,shell,BTB_MPKI,1.5189
prometheus,fe_miss,run_1,002,1785350958.856,2.023,tool,975874372,shell,uopCache_MPKI,56.587
prometheus,fe_miss,run_1,002,1785350958.856,2.023,tool,975874372,shell,branchDir_MPKI,5.5748
prometheus,fe_miss,run_1,002,1785350958.856,2.023,tool,975874372,shell,branchInd_MPKI,0.821
prometheus,fe_miss,run_1,003,1785350960.885,2.023,harness,1349250555,harness,BTB_MPKI,0.5234
prometheus,fe_miss,run_1,003,1785350960.885,2.023,harness,1349250555,harness,uopCache_MPKI,27.7647
prometheus,fe_miss,run_1,003,1785350960.885,2.023,harness,1349250555,harness,branchDir_MPKI,1.7958
prometheus,fe_miss,run_1,003,1785350960.885,2.023,harness,1349250555,harness,branchInd_MPKI,0.8916
prometheus,fe_miss,run_1,003,1785350960.885,2.023,tool,389606313,shell,BTB_MPKI,3.584
prometheus,fe_miss,run_1,003,1785350960.885,2.023,tool,389606313,shell,uopCache_MPKI,89.4386
prometheus,fe_miss,run_1,003,1785350960.885,2.023,tool,389606313,shell,branchDir_MPKI,4.6799
prometheus,fe_miss,run_1,003,1785350960.885,2.023,tool,389606313,shell,branchInd_MPKI,1.9034
prometheus,fe_miss,run_1,004,1785350962.914,2.022,harness,1972721587,harness,BTB_MPKI,0.3449
prometheus,fe_miss,run_1,004,1785350962.914,2.022,harness,1972721587,harness,uopCache_MPKI,22.0459
prometheus,fe_miss,run_1,004,1785350962.914,2.022,harness,1972721587,harness,branchDir_MPKI,1.3535
prometheus,fe_miss,run_1,004,1785350962.914,2.022,harness,1972721587,harness,branchInd_MPKI,0.5155
prometheus,fe_miss,run_1,004,1785350962.914,2.022,tool,533998554,shell,BTB_MPKI,2.6523
prometheus,fe_miss,run_1,004,1785350962.914,2.022,tool,533998554,shell,uopCache_MPKI,79.856
prometheus,fe_miss,run_1,004,1785350962.914,2.022,tool,533998554,shell,branchDir_MPKI,4.4559
prometheus,fe_miss,run_1,004,1785350962.914,2.022,tool,533998554,shell,branchInd_MPKI,1.3592
prometheus,fe_miss,run_1,005,1785350964.942,2.023,harness,2347010006,harness,BTB_MPKI,0.262
prometheus,fe_miss,run_1,005,1785350964.942,2.023,harness,2347010006,harness,uopCache_MPKI,15.0456
prometheus,fe_miss,run_1,005,1785350964.942,2.023,harness,2347010006,harness,branchDir_MPKI,1.4915
prometheus,fe_miss,run_1,005,1785350964.942,2.023,harness,2347010006,harness,branchInd_MPKI,0.4458
prometheus,fe_miss,run_1,005,1785350964.942,2.023,tool,390335936,shell,BTB_MPKI,3.1629
prometheus,fe_miss,run_1,005,1785350964.942,2.023,tool,390335936,shell,uopCache_MPKI,89.5656
prometheus,fe_miss,run_1,005,1785350964.942,2.023,tool,390335936,shell,branchDir_MPKI,4.4577
prometheus,fe_miss,run_1,005,1785350964.942,2.023,tool,390335936,shell,branchInd_MPKI,1.6315
prometheus,fe_miss,run_1,006,1785350966.971,2.022,harness,2994431006,harness,BTB_MPKI,0.2018
prometheus,fe_miss,run_1,006,1785350966.971,2.022,harness,2994431006,harness,uopCache_MPKI,15.8575
prometheus,fe_miss,run_1,006,1785350966.971,2.022,harness,2994431006,harness,branchDir_MPKI,1.1119
prometheus,fe_miss,run_1,006,1785350966.971,2.022,harness,2994431006,harness,branchInd_MPKI,0.3065
prometheus,fe_miss,run_1,006,1785350966.971,2.022,tool,1893027905,git,BTB_MPKI,0.691
prometheus,fe_miss,run_1,006,1785350966.971,2.022,tool,1893027905,git,uopCache_MPKI,20.5425
prometheus,fe_miss,run_1,006,1785350966.971,2.022,tool,1893027905,git,branchDir_MPKI,6.3489
prometheus,fe_miss,run_1,006,1785350966.971,2.022,tool,1893027905,git,branchInd_MPKI,0.3431
prometheus,fe_miss,run_1,007,1785350969.0,2.023,harness,4339137586,harness,BTB_MPKI,0.1607
prometheus,fe_miss,run_1,007,1785350969.0,2.023,harness,4339137586,harness,uopCache_MPKI,13.9794
prometheus,fe_miss,run_1,007,1785350969.0,2.023,harness,4339137586,harness,branchDir_MPKI,1.084
prometheus,fe_miss,run_1,007,1785350969.0,2.023,harness,4339137586,harness,branchInd_MPKI,0.2625
prometheus,fe_miss,run_1,007,1785350969.0,2.023,tool,336497399,shell,BTB_MPKI,3.742
prometheus,fe_miss,run_1,007,1785350969.0,2.023,tool,336497399,shell,uopCache_MPKI,89.5365
prometheus,fe_miss,run_1,007,1785350969.0,2.023,tool,336497399,shell,branchDir_MPKI,4.791
prometheus,fe_miss,run_1,007,1785350969.0,2.023,tool,336497399,shell,branchInd_MPKI,1.925
prometheus,fe_miss,run_1,008,1785350971.029,2.023,harness,4043824857,harness,BTB_MPKI,0.1368
prometheus,fe_miss,run_1,008,1785350971.029,2.023,harness,4043824857,harness,uopCache_MPKI,13.7923
prometheus,fe_miss,run_1,008,1785350971.029,2.023,harness,4043824857,harness,branchDir_MPKI,1.044
prometheus,fe_miss,run_1,008,1785350971.029,2.023,harness,4043824857,harness,branchInd_MPKI,0.2174
prometheus,fe_miss,run_1,008,1785350971.029,2.023,tool,1791482263,git,BTB_MPKI,0.6569
prometheus,fe_miss,run_1,008,1785350971.029,2.023,tool,1791482263,git,uopCache_MPKI,19.1134
prometheus,fe_miss,run_1,008,1785350971.029,2.023,tool,1791482263,git,branchDir_MPKI,6.4064
prometheus,fe_miss,run_1,008,1785350971.029,2.023,tool,1791482263,git,branchInd_MPKI,0.3301
prometheus,fe_miss,run_1,009,1785350973.057,2.023,harness,5612188768,harness,BTB_MPKI,0.1219
prometheus,fe_miss,run_1,009,1785350973.057,2.023,harness,5612188768,harness,uopCache_MPKI,13.2092
prometheus,fe_miss,run_1,009,1785350973.057,2.023,harness,5612188768,harness,branchDir_MPKI,1.0237
prometheus,fe_miss,run_1,009,1785350973.057,2.023,harness,5612188768,harness,branchInd_MPKI,0.1836
prometheus,fe_miss,run_1,009,1785350973.057,2.023,tool,369669924,shell,BTB_MPKI,3.6124
prometheus,fe_miss,run_1,009,1785350973.057,2.023,tool,369669924,shell,uopCache_MPKI,88.8599
prometheus,fe_miss,run_1,009,1785350973.057,2.023,tool,369669924,shell,branchDir_MPKI,4.5447
prometheus,fe_miss,run_1,009,1785350973.057,2.023,tool,369669924,shell,branchInd_MPKI,1.6901
prometheus,fe_miss,run_1,010,1785350975.087,2.022,harness,5781331890,harness,BTB_MPKI,0.1118
prometheus,fe_miss,run_1,010,1785350975.087,2.022,harness,5781331890,harness,uopCache_MPKI,12.7292
prometheus,fe_miss,run_1,010,1785350975.087,2.022,harness,5781331890,harness,branchDir_MPKI,1.0133
prometheus,fe_miss,run_1,010,1785350975.087,2.022,harness,5781331890,harness,branchInd_MPKI,0.1667
