task,group,run,win,t0,dur,fence,instructions,tag,metric,value
rubocop,fe_miss,run_1,000,1785359245.661,2.047,harness,153643438,harness,BTB_MPKI,2.2978
rubocop,fe_miss,run_1,000,1785359245.661,2.047,harness,153643438,harness,uopCache_MPKI,39.2789
rubocop,fe_miss,run_1,000,1785359245.661,2.047,harness,153643438,harness,branchDir_MPKI,4.381
rubocop,fe_miss,run_1,000,1785359245.661,2.047,harness,153643438,harness,branchInd_MPKI,2.2621
rubocop,fe_miss,run_1,000,1785359245.661,2.047,tool,1093376284,shell,BTB_MPKI,1.1357
rubocop,fe_miss,run_1,000,1785359245.661,2.047,tool,1093376284,shell,uopCache_MPKI,67.8158
rubocop,fe_miss,run_1,000,1785359245.661,2.047,tool,1093376284,shell,branchDir_MPKI,2.1329
rubocop,fe_miss,run_1,000,1785359245.661,2.047,tool,1093376284,shell,branchInd_MPKI,0.6023
rubocop,fe_miss,run_1,001,1785359247.714,2.023,harness,627993629,harness,BTB_MPKI,0.9872
rubocop,fe_miss,run_1,001,1785359247.714,2.023,harness,627993629,harness,uopCache_MPKI,57.2797
rubocop,fe_miss,run_1,001,1785359247.714,2.023,harness,627993629,harness,branchDir_MPKI,2.4398
rubocop,fe_miss,run_1,001,1785359247.714,2.023,harness,627993629,harness,branchInd_MPKI,1.5353
rubocop,fe_miss,run_1,001,1785359247.714,2.023,tool,1254755169,shell,BTB_MPKI,1.6559
rubocop,fe_miss,run_1,001,1785359247.714,2.023,tool,1254755169,shell,uopCache_MPKI,65.1758
rubocop,fe_miss,run_1,001,1785359247.714,2.023,tool,1254755169,shell,branchDir_MPKI,5.5029
rubocop,fe_miss,run_1,001,1785359247.714,2.023,tool,1254755169,shell,branchInd_MPKI,1.7224
rubocop,fe_miss,run_1,002,1785359249.743,2.022,harness,437709032,harness,BTB_MPKI,1.1837
rubocop,fe_miss,run_1,002,1785359249.743,2.022,harness,437709032,harness,uopCache_MPKI,41.8133
rubocop,fe_miss,run_1,002,1785359249.743,2.022,harness,437709032,harness,branchDir_MPKI,3.3004
rubocop,fe_miss,run_1,002,1785359249.743,2.022,harness,437709032,harness,branchInd_MPKI,1.5696
rubocop,fe_miss,run_1,002,1785359249.743,2.022,tool,2814943814,ruby-other,BTB_MPKI,0.9438
rubocop,fe_miss,run_1,002,1785359249.743,2.022,tool,2814943814,ruby-other,uopCache_MPKI,63.8607
rubocop,fe_miss,run_1,002,1785359249.743,2.022,tool,2814943814,ruby-other,branchDir_MPKI,4.0333
rubocop,fe_miss,run_1,002,1785359249.743,2.022,tool,2814943814,ruby-other,branchInd_MPKI,1.0423
rubocop,fe_miss,run_1,003,1785359251.771,2.022,harness,157316135,harness,BTB_MPKI,1.0519
rubocop,fe_miss,run_1,003,1785359251.771,2.022,harness,157316135,harness,uopCache_MPKI,30.6696
rubocop,fe_miss,run_1,003,1785359251.771,2.022,harness,157316135,harness,branchDir_MPKI,2.9142
rubocop,fe_miss,run_1,003,1785359251.771,2.022,harness,157316135,harness,branchInd_MPKI,1.2139
rubocop,fe_miss,run_1,003,1785359251.771,2.022,tool,9243038355,ruby-other,BTB_MPKI,0.4945
rubocop,fe_miss,run_1,003,1785359251.771,2.022,tool,9243038355,ruby-other,uopCache_MPKI,61.4142
