task,group,run,win,t0,dur,fence,instructions,tag,metric,value
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,harness,180225875,harness,BTB_MPKI,2.5227
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,harness,180225875,harness,uopCache_MPKI,41.8835
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,harness,180225875,harness,branchDir_MPKI,4.5153
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,harness,180225875,harness,branchInd_MPKI,2.3385
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,tool,690729512,shell,BTB_MPKI,2.007
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,tool,690729512,shell,uopCache_MPKI,76.8925
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,tool,690729512,shell,branchDir_MPKI,3.1418
tokio-rs,fe_miss,run_1,000,1785343158.486,2.047,tool,690729512,shell,branchInd_MPKI,1.1318
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,harness,518121504,harness,BTB_MPKI,1.0637
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,harness,518121504,harness,uopCache_MPKI,55.6225
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,harness,518121504,harness,branchDir_MPKI,2.9538
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,harness,518121504,harness,branchInd_MPKI,1.6961
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,tool,1686958006,shell,BTB_MPKI,1.3175
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,tool,1686958006,shell,uopCache_MPKI,62.407
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,tool,1686958006,shell,branchDir_MPKI,5.6915
tokio-rs,fe_miss,run_1,001,1785343160.54,2.027,tool,1686958006,shell,branchInd_MPKI,1.6561
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,harness,564405536,harness,BTB_MPKI,0.9937
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,harness,564405536,harness,uopCache_MPKI,44.3124
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,harness,564405536,harness,branchDir_MPKI,2.9461
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,harness,564405536,harness,branchInd_MPKI,1.5188
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,tool,1869817053,shell,BTB_MPKI,1.2697
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,tool,1869817053,shell,uopCache_MPKI,61.0969
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,tool,1869817053,shell,branchDir_MPKI,5.7393
tokio-rs,fe_miss,run_1,002,1785343162.573,2.025,tool,1869817053,shell,branchInd_MPKI,1.7028
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,harness,908722594,harness,BTB_MPKI,0.6584
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,harness,908722594,harness,uopCache_MPKI,31.9414
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,harness,908722594,harness,branchDir_MPKI,2.2471
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,harness,908722594,harness,branchInd_MPKI,1.0159
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,tool,1656907167,shell,BTB_MPKI,1.3642
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,tool,1656907167,shell,uopCache_MPKI,62.3272
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,tool,1656907167,shell,branchDir_MPKI,5.7075
tokio-rs,fe_miss,run_1,003,1785343164.604,2.022,tool,1656907167,shell,branchInd_MPKI,1.7097
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,harness,1283403682,harness,BTB_MPKI,0.4731
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,harness,1283403682,harness,uopCache_MPKI,22.5902
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,harness,1283403682,harness,branchDir_MPKI,1.7644
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,harness,1283403682,harness,branchInd_MPKI,0.6615
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,tool,1228239015,shell,BTB_MPKI,1.6312
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,tool,1228239015,shell,uopCache_MPKI,63.978
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,tool,1228239015,shell,branchDir_MPKI,5.6257
tokio-rs,fe_miss,run_1,004,1785343166.632,2.022,tool,1228239015,shell,branchInd_MPKI,1.6718
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,harness,1612411695,harness,BTB_MPKI,0.3461
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,harness,1612411695,harness,uopCache_MPKI,19.1197
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,harness,1612411695,harness,branchDir_MPKI,1.4859
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,harness,1612411695,harness,branchInd_MPKI,0.4973
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,tool,1350060987,shell,BTB_MPKI,1.4849
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,tool,1350060987,shell,uopCache_MPKI,63.9684
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,tool,1350060987,shell,branchDir_MPKI,5.6772
tokio-rs,fe_miss,run_1,005,1785343168.661,2.024,tool,1350060987,shell,branchInd_MPKI,1.7262
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,harness,2324495081,harness,BTB_MPKI,0.2419
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,harness,2324495081,harness,uopCache_MPKI,17.0119
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,harness,2324495081,harness,branchDir_MPKI,1.5191
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,harness,2324495081,harness,branchInd_MPKI,0.4263
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,tool,1151741232,shell,BTB_MPKI,1.6016
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,tool,1151741232,shell,uopCache_MPKI,64.5571
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,tool,1151741232,shell,branchDir_MPKI,5.7244
tokio-rs,fe_miss,run_1,006,1785343170.691,2.022,tool,1151741232,shell,branchInd_MPKI,1.7718
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,harness,1918560274,harness,BTB_MPKI,0.1962
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,harness,1918560274,harness,uopCache_MPKI,15.6015
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,harness,1918560274,harness,branchDir_MPKI,1.1561
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,harness,1918560274,harness,branchInd_MPKI,0.2938
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,tool,11798156498,tests(rust),BTB_MPKI,0.7147
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,tool,11798156498,tests(rust),uopCache_MPKI,60.7087
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,tool,11798156498,tests(rust),branchDir_MPKI,3.4528
tokio-rs,fe_miss,run_1,007,1785343172.72,2.022,tool,11798156498,tests(rust),branchInd_MPKI,0.562
tokio-rs,fe_miss,run_1,008,1785343174.748,2.026,tool,28051012462,tests(rust),BTB_MPKI,0.642
tokio-rs,fe_miss,run_1,008,1785343174.748,2.026,tool,28051012462,tests(rust),uopCache_MPKI,57.2843
tokio-rs,fe_miss,run_1,008,1785343174.748,2.026,tool,28051012462,tests(rust),branchDir_MPKI,4.0684
tokio-rs,fe_miss,run_1,008,1785343174.748,2.026,tool,28051012462,tests(rust),branchInd_MPKI,0.5068
tokio-rs,fe_miss,run_1,009,1785343176.781,2.023,tool,13145602098,tests(rust),BTB_MPKI,1.8957
tokio-rs,fe_miss,run_1,009,1785343176.781,2.023,tool,13145602098,tests(rust),uopCache_MPKI,75.5809
