task,group,run,win,t0,dur,fence,instructions,tag,metric,value
vuejs,fe_miss,run_1,000,1785357321.641,2.04,harness,162840521,harness,BTB_MPKI,2.2217
vuejs,fe_miss,run_1,000,1785357321.641,2.04,harness,162840521,harness,uopCache_MPKI,38.1879
vuejs,fe_miss,run_1,000,1785357321.641,2.04,harness,162840521,harness,branchDir_MPKI,4.5986
vuejs,fe_miss,run_1,000,1785357321.641,2.04,harness,162840521,harness,branchInd_MPKI,2.2801
vuejs,fe_miss,run_1,000,1785357321.641,2.04,tool,673330451,shell,BTB_MPKI,1.9833
vuejs,fe_miss,run_1,000,1785357321.641,2.04,tool,673330451,shell,uopCache_MPKI,73.5602
vuejs,fe_miss,run_1,000,1785357321.641,2.04,tool,673330451,shell,branchDir_MPKI,3.0304
vuejs,fe_miss,run_1,000,1785357321.641,2.04,tool,673330451,shell,branchInd_MPKI,0.9539
vuejs,fe_miss,run_1,001,1785357323.688,2.032,harness,600136687,harness,BTB_MPKI,0.9666
vuejs,fe_miss,run_1,001,1785357323.688,2.032,harness,600136687,harness,uopCache_MPKI,55.3994
vuejs,fe_miss,run_1,001,1785357323.688,2.032,harness,600136687,harness,branchDir_MPKI,2.5925
vuejs,fe_miss,run_1,001,1785357323.688,2.032,harness,600136687,harness,branchInd_MPKI,1.5123
vuejs,fe_miss,run_1,001,1785357323.688,2.032,tool,1903675372,shell,BTB_MPKI,1.3363
vuejs,fe_miss,run_1,001,1785357323.688,2.032,tool,1903675372,shell,uopCache_MPKI,59.5556
vuejs,fe_miss,run_1,001,1785357323.688,2.032,tool,1903675372,shell,branchDir_MPKI,5.044
vuejs,fe_miss,run_1,001,1785357323.688,2.032,tool,1903675372,shell,branchInd_MPKI,1.5508
vuejs,fe_miss,run_1,002,1785357325.726,2.022,harness,773308826,harness,BTB_MPKI,0.7576
vuejs,fe_miss,run_1,002,1785357325.726,2.022,harness,773308826,harness,uopCache_MPKI,44.4163
vuejs,fe_miss,run_1,002,1785357325.726,2.022,harness,773308826,harness,branchDir_MPKI,2.4027
vuejs,fe_miss,run_1,002,1785357325.726,2.022,harness,773308826,harness,branchInd_MPKI,1.2707
vuejs,fe_miss,run_1,002,1785357325.726,2.022,tool,1732183873,shell,BTB_MPKI,1.4113
vuejs,fe_miss,run_1,002,1785357325.726,2.022,tool,1732183873,shell,uopCache_MPKI,60.1719
