task,class,execution_time_s
php-cs-fixer,other bash,0.1086
php-cs-fixer,internal,0.0
php-cs-fixer,other bash,0.1096
php-cs-fixer,other bash,0.1103
php-cs-fixer,internal,0.1084
php-cs-fixer,other bash,0.1119
php-cs-fixer,other bash,0.1207
php-cs-fixer,other bash,0.1132
php-cs-fixer,other bash,0.1094
php-cs-fixer,other bash,0.1087
php-cs-fixer,internal,0.1084
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.1083
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.1107
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.1089
php-cs-fixer,other bash,0.1093
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.2427
php-cs-fixer,other bash,0.2334
php-cs-fixer,other bash,0.1085
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,0.1094
php-cs-fixer,other bash,0.1086
php-cs-fixer,other bash,0.1103
php-cs-fixer,other bash,0.1083
php-cs-fixer,other bash,0.1085
php-cs-fixer,other bash,0.1091
php-cs-fixer,other bash,0.1089
php-cs-fixer,other bash,0.234
php-cs-fixer,other bash,0.232
php-cs-fixer,git,0.1132
php-cs-fixer,git,0.1231
php-cs-fixer,other bash,0.1094
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.1091
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.1086
php-cs-fixer,other bash,0.109
php-cs-fixer,git,0.1137
php-cs-fixer,git,0.1178
php-cs-fixer,other bash,0.1092
php-cs-fixer,other bash,0.1092
php-cs-fixer,git,0.2033
php-cs-fixer,git,0.1154
php-cs-fixer,git,0.116
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.1082
php-cs-fixer,other bash,0.2326
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,0.2334
php-cs-fixer,other bash,0.1096
php-cs-fixer,other bash,0.1087
php-cs-fixer,internal,0.1102
php-cs-fixer,other bash,0.1088
php-cs-fixer,build/tests,0.1078
php-cs-fixer,build/tests,0.2321
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,0.1303
php-cs-fixer,other bash,0.1284
php-cs-fixer,other bash,0.2352
php-cs-fixer,other bash,0.2366
php-cs-fixer,git,0.1735
php-cs-fixer,git,0.1231
php-cs-fixer,other bash,0.274
php-cs-fixer,other bash,0.2727
php-cs-fixer,other bash,0.2728
php-cs-fixer,other bash,0.1282
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.1104
php-cs-fixer,other bash,0.1092
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,3.6895
php-cs-fixer,other bash,0.2029
php-cs-fixer,other bash,0.2361
php-cs-fixer,git,0.1711
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.2259
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.13
php-cs-fixer,other bash,0.129
php-cs-fixer,other bash,0.1306
php-cs-fixer,other bash,0.1308
php-cs-fixer,other bash,3.7135
php-cs-fixer,other bash,0.2032
php-cs-fixer,other bash,0.424
php-cs-fixer,other bash,30.7119
php-cs-fixer,other bash,17.895
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.1135
php-cs-fixer,other bash,0.1087
php-cs-fixer,other bash,2.4005
php-cs-fixer,other bash,0.1091
php-cs-fixer,other bash,0.2345
php-cs-fixer,other bash,0.2341
php-cs-fixer,git,0.1696
php-cs-fixer,other bash,0.2938
php-cs-fixer,git,0.1168
php-cs-fixer,git,0.2039
php-cs-fixer,git,0.1161
php-cs-fixer,git,0.1567
php-cs-fixer,git,0.1167
php-cs-fixer,git,0.1105
php-cs-fixer,other bash,0.1096
php-cs-fixer,other bash,0.1089
php-cs-fixer,other bash,0.2382
php-cs-fixer,other bash,0.232
php-cs-fixer,other bash,0.1088
php-cs-fixer,other bash,0.1108
php-cs-fixer,other bash,0.2385
php-cs-fixer,other bash,0.1091
php-cs-fixer,other bash,0.1089
php-cs-fixer,other bash,0.1085
php-cs-fixer,other bash,0.2319
php-cs-fixer,other bash,0.2376
php-cs-fixer,git,0.1122
php-cs-fixer,other bash,0.1104
php-cs-fixer,other bash,0.2359
php-cs-fixer,other bash,0.2295
php-cs-fixer,other bash,0.2334
php-cs-fixer,git,0.1684
php-cs-fixer,other bash,17.926
php-cs-fixer,other bash,0.4297
php-cs-fixer,other bash,19.2579
php-cs-fixer,other bash,0.1148
php-cs-fixer,other bash,1.8651
php-cs-fixer,other bash,0.1141
php-cs-fixer,other bash,0.109
php-cs-fixer,other bash,0.2378
php-cs-fixer,other bash,0.2375
php-cs-fixer,other bash,3.7668
php-cs-fixer,internal,0.1081
php-cs-fixer,git,0.1122
php-cs-fixer,internal,0.0
php-cs-fixer,internal,0.1082
php-cs-fixer,other bash,0.1091
php-cs-fixer,internal,0.0
php-cs-fixer,other bash,0.3097
php-cs-fixer,other bash,0.1178
php-cs-fixer,other bash,0.1267
php-cs-fixer,internal,0.1544
php-cs-fixer,git,0.1156
php-cs-fixer,git,0.1129
php-cs-fixer,other bash,0.2395
php-cs-fixer,other bash,0.1158
php-cs-fixer,internal,0.1515
