task,class,execution_time_s
phpoffice-bT,other bash,0.1085
phpoffice-bT,other bash,0.1096
phpoffice-bT,other bash,0.1088
phpoffice-bT,internal,0.1085
phpoffice-bT,other bash,0.1096
phpoffice-bT,other bash,0.1096
phpoffice-bT,other bash,0.1094
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.1313
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1084
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.1085
phpoffice-bT,git,0.1108
phpoffice-bT,git,0.1159
phpoffice-bT,git,0.1121
phpoffice-bT,other bash,0.1419
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1083
phpoffice-bT,other bash,0.1222
phpoffice-bT,internal,0.1097
phpoffice-bT,build/tests,0.2173
phpoffice-bT,build/tests,0.1443
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.1087
phpoffice-bT,git,0.1181
phpoffice-bT,git,0.1128
phpoffice-bT,git,0.112
phpoffice-bT,git,0.1103
phpoffice-bT,git,0.1667
phpoffice-bT,git,0.1701
phpoffice-bT,git,0.1101
phpoffice-bT,other bash,0.2501
phpoffice-bT,git,0.1691
phpoffice-bT,git,0.1706
phpoffice-bT,git,0.1103
phpoffice-bT,other bash,0.248
phpoffice-bT,other bash,0.1089
phpoffice-bT,git,0.1697
phpoffice-bT,git,0.1105
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.1099
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.1092
phpoffice-bT,other bash,0.1095
phpoffice-bT,git,0.1755
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1092
phpoffice-bT,other bash,0.1658
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.2508
phpoffice-bT,other bash,0.109
phpoffice-bT,other bash,0.1089
phpoffice-bT,internal,0.1105
phpoffice-bT,other bash,0.1163
phpoffice-bT,build/tests,0.144
phpoffice-bT,other bash,0.1447
phpoffice-bT,other bash,0.2493
phpoffice-bT,other bash,0.2246
phpoffice-bT,other bash,0.1105
phpoffice-bT,other bash,0.2491
phpoffice-bT,other bash,0.2491
phpoffice-bT,other bash,0.2497
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.1404
phpoffice-bT,other bash,0.155
phpoffice-bT,git,0.1199
phpoffice-bT,other bash,0.1093
phpoffice-bT,other bash,0.1095
phpoffice-bT,other bash,0.1106
phpoffice-bT,other bash,0.1858
phpoffice-bT,git,0.1565
phpoffice-bT,git,0.1139
phpoffice-bT,git,0.1119
phpoffice-bT,other bash,0.1093
phpoffice-bT,other bash,0.1111
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1093
phpoffice-bT,other bash,0.2497
phpoffice-bT,other bash,0.2487
phpoffice-bT,other bash,0.2495
phpoffice-bT,other bash,0.2492
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.109
phpoffice-bT,other bash,0.1114
phpoffice-bT,other bash,0.1447
phpoffice-bT,other bash,0.1114
phpoffice-bT,other bash,0.1445
phpoffice-bT,other bash,0.1118
phpoffice-bT,other bash,0.1093
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.2134
phpoffice-bT,other bash,0.1088
phpoffice-bT,other bash,0.145
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.109
phpoffice-bT,other bash,0.1092
phpoffice-bT,other bash,0.1097
phpoffice-bT,other bash,0.1092
phpoffice-bT,other bash,0.2511
phpoffice-bT,other bash,0.1448
phpoffice-bT,other bash,0.1447
phpoffice-bT,other bash,0.1323
phpoffice-bT,other bash,0.1513
phpoffice-bT,other bash,0.1101
phpoffice-bT,other bash,0.109
phpoffice-bT,git,0.114
phpoffice-bT,other bash,0.1091
phpoffice-bT,build/tests,0.2172
phpoffice-bT,other bash,0.1127
phpoffice-bT,git,0.1135
phpoffice-bT,other bash,0.2281
phpoffice-bT,other bash,0.1108
phpoffice-bT,build/tests,0.1447
phpoffice-bT,other bash,0.2528
phpoffice-bT,other bash,0.2275
phpoffice-bT,build/tests,0.1808
phpoffice-bT,other bash,0.2884
phpoffice-bT,other bash,0.1863
phpoffice-bT,other bash,0.5194
phpoffice-bT,git,0.202
phpoffice-bT,other bash,0.1873
phpoffice-bT,other bash,0.1094
phpoffice-bT,other bash,0.1904
phpoffice-bT,other bash,0.1913
phpoffice-bT,other bash,0.5217
phpoffice-bT,other bash,5.5932
phpoffice-bT,other bash,1.3756
phpoffice-bT,git,1.46
phpoffice-bT,other bash,0.2521
phpoffice-bT,other bash,0.2508
phpoffice-bT,other bash,0.1665
phpoffice-bT,other bash,4.8248
phpoffice-bT,other bash,0.6215
phpoffice-bT,git,0.2375
phpoffice-bT,other bash,0.2504
phpoffice-bT,other bash,0.2496
phpoffice-bT,other bash,0.2487
phpoffice-bT,other bash,0.2491
phpoffice-bT,other bash,30.7183
phpoffice-bT,other bash,0.1677
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.1078
phpoffice-bT,other bash,0.1091
phpoffice-bT,other bash,30.7045
phpoffice-bT,other bash,25.1098
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1094
phpoffice-bT,other bash,0.1104
phpoffice-bT,other bash,0.1092
phpoffice-bT,git,0.1404
phpoffice-bT,other bash,28.1132
phpoffice-bT,other bash,28.113
phpoffice-bT,git,0.1311
phpoffice-bT,git,0.1109
phpoffice-bT,other bash,0.2501
phpoffice-bT,git,0.1919
phpoffice-bT,other bash,0.2498
phpoffice-bT,git,0.1928
phpoffice-bT,other bash,0.1087
phpoffice-bT,other bash,0.137
phpoffice-bT,other bash,0.1094
phpoffice-bT,other bash,0.3612
phpoffice-bT,git,0.1137
phpoffice-bT,build/tests,0.2184
phpoffice-bT,other bash,0.1804
phpoffice-bT,other bash,0.1089
phpoffice-bT,other bash,0.1868
phpoffice-bT,other bash,0.1097
phpoffice-bT,other bash,0.1091
phpoffice-bT,other bash,0.109
phpoffice-bT,other bash,0.2328
phpoffice-bT,other bash,0.1096
phpoffice-bT,git,0.1174
phpoffice-bT,other bash,0.2055
phpoffice-bT,other bash,0.2058
phpoffice-bT,other bash,0.6387
phpoffice-bT,other bash,0.136
phpoffice-bT,other bash,0.1096
phpoffice-bT,other bash,0.1865
phpoffice-bT,other bash,0.3421
phpoffice-bT,git,0.1128
phpoffice-bT,build/tests,0.1189
phpoffice-bT,other bash,0.2556
phpoffice-bT,other bash,0.1161
phpoffice-bT,other bash,0.3534
phpoffice-bT,other bash,0.1107
phpoffice-bT,other bash,0.228
