task,class,execution_time_s
rubocop,internal,0.0
rubocop,other bash,0.1118
rubocop,internal,0.1453
rubocop,internal,0.1445
rubocop,other bash,0.1091
rubocop,other bash,0.1091
rubocop,other bash,0.1087
rubocop,internal,0.143
rubocop,git,0.1114
rubocop,git,0.1108
rubocop,git,0.1129
rubocop,other bash,0.2739
rubocop,other bash,0.1101
rubocop,other bash,0.9229
rubocop,other bash,1.0275
rubocop,other bash,1.2531
rubocop,other bash,0.1173
rubocop,other bash,0.1089
rubocop,other bash,0.1164
rubocop,other bash,0.3906
rubocop,other bash,0.1092
rubocop,internal,0.1425
rubocop,other bash,0.1096
rubocop,internal,0.1436
rubocop,other bash,0.1102
rubocop,other bash,0.1085
rubocop,other bash,0.1104
rubocop,other bash,1.0649
rubocop,other bash,0.109
rubocop,git,0.179
rubocop,git,0.1118
rubocop,git,0.1122
rubocop,internal,0.1427
rubocop,git,0.1126
rubocop,other bash,0.1139
rubocop,other bash,0.109
rubocop,other bash,0.109
rubocop,git,0.1233
rubocop,git,0.1126
rubocop,other bash,0.1094
rubocop,other bash,2.3193
rubocop,other bash,1.2615
rubocop,internal,0.1424
rubocop,internal,0.1473
rubocop,internal,0.1439
rubocop,other bash,2.3101
rubocop,other bash,6.4501
rubocop,other bash,4.328
rubocop,other bash,1.3118
rubocop,other bash,0.1092
rubocop,other bash,1.2791
rubocop,other bash,1.1631
rubocop,internal,0.1487
rubocop,other bash,1.2996
rubocop,other bash,0.1084
rubocop,other bash,0.1225
rubocop,internal,0.1481
rubocop,internal,0.1425
rubocop,other bash,5.4266
rubocop,other bash,3.2659
rubocop,other bash,1.3139
rubocop,other bash,17.7522
rubocop,git,0.1115
rubocop,git,0.1136
rubocop,other bash,1.1655
rubocop,internal,0.0
rubocop,internal,0.1754
rubocop,git,0.1169
rubocop,git,0.1174
rubocop,git,0.1106
rubocop,git,0.119
rubocop,git,0.1179
rubocop,git,0.1105
rubocop,other bash,2.5928
rubocop,other bash,0.1097
rubocop,internal,0.1467
