task,class,execution_time_s
vuejs,internal,0.1484
vuejs,internal,0.1441
vuejs,internal,0.1436
vuejs,internal,0.143
vuejs,other bash,0.1093
vuejs,internal,0.144
vuejs,internal,0.1429
vuejs,internal,0.1432
vuejs,other bash,0.1095
vuejs,internal,0.1434
vuejs,other bash,0.1092
vuejs,internal,0.1429
vuejs,other bash,0.1097
vuejs,other bash,0.1092
vuejs,other bash,0.1088
vuejs,other bash,0.1088
vuejs,internal,0.1429
vuejs,internal,0.1423
vuejs,internal,0.1419
vuejs,other bash,0.1091
vuejs,internal,0.1422
vuejs,internal,0.1418
vuejs,other bash,0.1083
vuejs,internal,0.1514
vuejs,other bash,1.7149
vuejs,internal,0.151
vuejs,other bash,1.459
vuejs,internal,0.147
vuejs,other bash,1.4672
vuejs,other bash,0.1125
vuejs,other bash,1.5182
vuejs,other bash,2.6209
vuejs,other bash,4.1504
vuejs,other bash,2.6078
vuejs,internal,0.1427
vuejs,internal,0.1443
vuejs,other bash,1.4866
vuejs,other bash,0.1082
vuejs,git,0.1162
vuejs,other bash,0.1106
vuejs,internal,0.1426
vuejs,git,0.1115
vuejs,other bash,12.477
vuejs,internal,0.0
vuejs,internal,0.1697
vuejs,git,0.1189
vuejs,internal,0.1455
