task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
google,run_1,10.009639182,harness,28.93,19.01,38.09,13.67,25.06,13.03,8.24,5.43,1.31,17.89
google,run_1,10.009639182,tool,29.21,18.01,29.83,23.69,17.28,12.54,13.28,10.41,2.19,17.44
google,run_1,20.019636347,harness,39.94,13.21,21.65,26.15,11.91,9.74,21.04,5.11,1.11,12.1
google,run_1,20.019636347,tool,31.27,19.72,28.54,21.81,15.88,12.67,11.19,10.62,2.11,19.13
google,run_1,30.029637998,harness,49.2,13.75,23.32,14.6,13.11,10.2,9.4,5.19,1.18,12.58
google,run_1,30.029637998,tool,33.61,19.32,26.48,22.29,14.74,11.74,11.08,11.21,1.97,18.73
google,run_1,40.039636803,harness,52.71,13.74,23.23,11.11,13.03,10.2,6.0,5.1,1.18,12.56
google,run_1,40.039636803,tool,33.15,19.59,26.4,22.63,14.8,11.6,11.33,11.3,1.92,18.97
google,run_1,50.05000145,harness,48.71,11.5,19.47,23.33,10.76,8.71,17.54,5.79,1.18,11.07
google,run_1,50.05000145,tool,33.09,19.55,26.94,21.75,15.06,11.88,10.88,10.87,1.96,19.0
google,run_1,60.060326251,harness,46.65,10.26,17.53,25.64,6.67,10.87,20.15,5.49,1.35,8.19
google,run_1,60.060326251,tool,33.35,19.43,26.62,22.52,14.71,11.91,11.18,11.34,1.89,18.87
google,run_1,70.070636533,harness,41.28,10.64,16.48,31.9,5.71,10.76,26.41,5.49,0.88,8.69
google,run_1,70.070636533,tool,33.34,19.46,26.63,22.41,14.38,12.24,11.11,11.3,1.86,18.85
google,run_1,80.080636963,harness,45.31,9.74,16.29,28.39,5.93,10.36,22.92,5.47,1.51,8.23
google,run_1,80.080636963,tool,33.35,18.83,26.53,22.84,14.45,12.08,12.5,10.34,1.8,18.23
google,run_1,81.607768807,harness,25.86,9.13,12.22,53.58,4.94,7.28,47.09,6.5,0.8,8.02
google,run_1,81.607768807,tool,32.89,17.91,34.15,16.94,16.1,18.06,12.79,4.15,2.01,17.4
google,run_10,10.009678344,harness,30.19,18.93,37.39,13.58,24.16,13.22,7.6,5.98,1.18,17.55
google,run_10,10.009678344,tool,30.16,18.13,30.14,22.02,17.26,12.88,12.31,9.7,2.35,17.54
google,run_10,20.019676501,harness,40.4,13.13,21.97,24.21,10.03,11.94,18.39,5.82,1.18,11.72
google,run_10,20.019676501,tool,32.16,18.88,26.85,23.27,14.74,12.11,12.37,10.9,2.33,18.25
google,run_10,30.029668847,harness,50.66,15.64,20.68,12.26,7.39,13.29,6.76,5.49,1.18,13.69
google,run_10,30.029668847,tool,33.54,19.06,25.95,23.38,14.28,11.68,12.16,11.22,2.03,18.43
google,run_10,40.039673199,harness,54.5,15.73,21.6,12.28,11.27,10.33,6.77,5.51,1.19,13.78
google,run_10,40.039673199,tool,33.67,19.15,25.32,24.01,13.83,11.48,12.4,11.61,1.95,18.51
google,run_10,50.049667426,harness,45.12,13.33,20.01,26.21,9.99,10.02,20.5,5.71,1.34,11.26
google,run_10,50.049667426,tool,33.4,19.47,26.04,23.12,14.19,11.84,11.7,11.41,1.92,18.81
google,run_10,60.053820201,harness,50.79,12.94,19.37,23.75,9.54,9.83,16.99,6.77,1.26,10.97
google,run_10,60.053820201,tool,33.45,19.22,25.65,23.46,13.93,11.72,12.11,11.35,1.95,18.56
google,run_10,70.063680834,harness,40.92,13.78,18.29,33.64,8.31,9.98,27.85,5.8,1.26,11.75
google,run_10,70.063680834,tool,33.51,19.09,25.66,23.74,13.83,11.83,12.34,11.4,1.95,18.42
