task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
jqlang,run_1,10.009912887,harness,29.34,17.79,37.92,15.43,23.75,14.17,9.78,5.66,1.28,17.08
jqlang,run_1,10.009912887,tool,29.94,16.44,30.0,24.23,16.41,13.59,11.91,12.32,2.38,15.74
jqlang,run_1,20.019899503,tool,29.92,22.31,36.14,12.01,19.42,16.72,5.69,6.32,1.96,21.95
jqlang,run_1,30.030235248,harness,5.64,6.71,50.9,36.38,45.15,5.75,18.99,17.39,1.62,6.59
jqlang,run_1,30.030235248,tool,31.49,19.73,38.34,12.04,21.93,16.41,5.35,6.68,2.16,19.3
jqlang,run_1,40.038903415,harness,38.87,16.23,31.3,15.93,16.11,15.2,10.83,5.1,1.18,13.57
jqlang,run_1,40.038903415,tool,31.19,20.43,36.96,12.96,20.43,16.54,5.51,7.45,1.98,19.87
jqlang,run_1,50.048929498,harness,34.48,13.18,21.98,33.82,10.42,11.56,28.96,4.85,0.66,11.62
jqlang,run_1,50.048929498,tool,37.6,15.36,32.69,16.79,16.89,15.81,8.36,8.43,2.4,14.75
jqlang,run_1,60.058914547,harness,47.69,14.04,25.07,14.93,12.1,12.97,9.76,5.18,1.12,12.43
jqlang,run_1,60.058914547,tool,35.0,16.7,34.67,14.45,18.53,16.14,7.23,7.22,2.32,16.66
jqlang,run_1,70.068911892,harness,43.6,12.99,21.67,23.23,9.01,12.66,18.04,5.19,0.89,11.44
jqlang,run_1,70.068911892,tool,34.99,16.81,34.39,13.66,18.3,16.09,7.39,6.27,2.37,16.33
jqlang,run_1,80.075910328,harness,45.47,12.92,20.26,22.75,9.85,10.41,17.65,5.1,0.78,11.35
jqlang,run_1,80.075910328,tool,35.85,16.11,35.81,14.73,19.21,16.6,7.42,7.31,2.49,15.65
jqlang,run_1,90.086267367,harness,44.81,10.65,17.91,25.83,6.03,11.88,20.34,5.49,1.57,9.08
jqlang,run_1,90.086267367,tool,34.99,16.46,35.74,14.57,19.19,16.54,7.23,7.34,2.41,15.95
jqlang,run_1,95.342269719,harness,33.62,8.6,14.58,43.07,5.29,9.29,37.15,5.92,1.22,7.38
jqlang,run_1,95.342269719,tool,34.65,15.39,36.6,15.18,19.77,16.82,7.79,7.39,2.7,14.86
jqlang,run_10,10.00960445,harness,30.4,17.93,36.63,14.84,22.15,14.48,8.71,6.13,1.49,17.16
jqlang,run_10,10.00960445,tool,30.05,16.3,30.02,24.07,16.58,13.44,12.19,11.88,2.13,15.62
jqlang,run_10,20.019599645,tool,29.97,22.61,36.39,11.83,19.9,16.48,5.39,6.45,1.68,21.99
jqlang,run_10,30.029610727,harness,6.19,7.42,52.3,37.73,45.55,6.75,21.82,15.91,0.78,7.38
jqlang,run_10,30.029610727,tool,31.04,21.05,38.65,12.14,22.07,16.58,5.77,6.38,1.89,20.42
jqlang,run_10,40.04062714,harness,39.26,17.46,28.53,14.72,13.71,14.82,8.57,6.15,1.5,16.68
jqlang,run_10,40.04062714,tool,31.33,20.68,36.92,12.08,20.28,16.64,5.66,6.42,1.9,20.14
jqlang,run_10,50.045870021,harness,31.68,12.58,21.86,33.43,11.28,10.58,28.09,5.34,0.95,11.01
jqlang,run_10,50.045870021,tool,37.98,15.06,32.23,16.47,16.64,15.59,8.34,8.13,2.54,14.26
jqlang,run_10,60.055603961,harness,48.3,15.24,27.23,15.32,12.74,14.49,10.7,4.62,1.19,14.01
jqlang,run_10,60.055603961,tool,35.8,16.44,34.48,15.15,17.84,16.65,7.93,7.21,2.45,16.19
jqlang,run_10,70.065606829,harness,46.19,13.69,21.9,23.88,10.34,11.56,18.7,5.19,1.26,12.35
jqlang,run_10,70.065606829,tool,35.11,16.92,34.88,13.66,17.66,17.23,7.13,6.52,2.73,16.48
jqlang,run_10,80.075604864,harness,48.17,13.04,22.22,21.57,10.03,12.2,16.59,4.97,1.27,11.68
jqlang,run_10,80.075604864,tool,36.64,15.68,34.5,14.05,17.83,16.67,7.75,6.3,2.87,15.24
