task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
php-cs-fixer,run_1,10.010016968,harness,34.44,17.55,34.17,13.65,20.44,13.74,8.05,5.6,1.47,16.48
php-cs-fixer,run_1,10.010016968,tool,25.31,12.42,40.89,21.14,25.4,15.49,13.03,8.11,2.82,11.9
php-cs-fixer,run_1,20.01999152,harness,41.27,12.88,22.49,27.28,11.7,10.79,21.81,5.48,1.09,12.18
php-cs-fixer,run_1,20.01999152,tool,25.05,15.3,38.52,21.58,23.01,15.51,12.7,8.87,2.71,14.74
php-cs-fixer,run_1,30.029991995,harness,48.22,12.62,22.3,24.86,10.92,11.38,18.31,6.55,1.26,11.66
php-cs-fixer,run_1,30.029991995,tool,29.03,14.3,34.64,21.97,19.68,14.97,12.86,9.12,2.87,13.75
php-cs-fixer,run_1,40.040321822,harness,44.27,9.41,18.48,27.45,6.72,11.76,20.78,6.67,1.57,7.84
php-cs-fixer,run_1,40.040321822,tool,29.06,14.28,35.16,21.46,19.78,15.38,11.81,9.65,2.87,13.7
php-cs-fixer,run_1,50.049995231,tool,27.57,15.21,34.43,22.95,19.92,14.51,12.86,10.09,3.06,14.63
php-cs-fixer,run_1,60.059985956,tool,27.83,15.53,33.79,23.36,19.15,14.64,13.24,10.12,3.09,14.88
php-cs-fixer,run_1,70.069988072,harness,51.46,9.41,18.5,20.24,6.74,11.76,13.58,6.67,1.57,7.84
php-cs-fixer,run_1,70.069988072,tool,28.53,15.72,33.47,22.37,18.78,14.68,12.31,10.07,3.3,15.14
php-cs-fixer,run_1,80.080336401,tool,28.33,15.53,34.24,22.4,19.81,14.43,12.43,9.97,3.03,14.99
php-cs-fixer,run_1,90.089985953,harness,44.14,8.48,15.68,28.52,5.78,9.9,21.86,6.67,1.57,7.84
php-cs-fixer,run_1,90.089985953,tool,27.94,15.34,33.23,23.68,19.24,13.99,13.2,10.47,3.25,14.77
php-cs-fixer,run_1,100.099994882,harness,42.71,9.02,16.12,32.15,5.53,10.58,25.5,6.65,1.57,7.84
php-cs-fixer,run_1,100.099994882,tool,27.87,15.18,34.16,24.67,19.5,14.67,14.44,10.23,3.3,15.01
php-cs-fixer,run_1,110.109988117,harness,46.65,9.02,17.68,26.28,5.92,11.76,20.0,6.27,1.57,7.45
php-cs-fixer,run_1,110.109988117,tool,28.16,15.28,33.3,23.87,19.36,13.94,13.3,10.57,3.3,14.68
php-cs-fixer,run_1,120.119988891,tool,28.0,15.39,33.17,23.62,19.24,13.93,13.17,10.45,3.27,14.82
php-cs-fixer,run_1,130.129995238,harness,40.29,9.04,14.61,37.23,4.42,10.19,30.93,6.29,1.57,7.47
php-cs-fixer,run_1,130.129995238,tool,29.53,15.55,33.04,22.88,18.44,14.6,12.33,10.55,3.46,14.89
php-cs-fixer,run_1,140.139990268,tool,29.8,16.22,31.55,23.2,17.27,14.28,12.42,10.78,3.62,15.5
php-cs-fixer,run_1,150.149986449,harness,43.02,10.27,16.94,29.76,5.57,11.36,23.78,5.98,1.27,8.29
php-cs-fixer,run_1,150.149986449,tool,29.83,16.44,31.39,23.04,17.11,14.29,12.24,10.79,3.56,15.74
php-cs-fixer,run_1,160.159985452,harness,42.16,9.02,15.03,33.62,5.51,9.52,26.11,7.51,1.57,7.45
php-cs-fixer,run_1,160.159985452,tool,30.29,14.9,32.48,22.98,18.17,14.31,12.44,10.54,3.44,14.23
php-cs-fixer,run_1,162.295079446,harness,10.32,8.29,8.33,73.84,4.32,4.01,65.94,7.9,0.44,7.88
php-cs-fixer,run_1,162.295079446,tool,26.6,13.47,37.49,22.27,21.88,15.61,14.28,7.99,2.86,12.98
php-cs-fixer,run_10,10.009353256,harness,34.42,17.92,32.86,14.48,18.62,14.25,8.58,5.9,1.54,16.78
php-cs-fixer,run_10,10.009353256,tool,26.94,10.9,38.42,21.75,23.44,14.98,12.89,8.85,3.2,10.43
php-cs-fixer,run_10,20.019344149,harness,41.77,13.95,23.15,28.84,12.21,10.94,22.45,6.39,1.08,12.78
php-cs-fixer,run_10,20.019344149,tool,27.35,14.26,35.25,22.36,20.75,14.5,12.86,9.5,2.87,13.91
php-cs-fixer,run_10,30.02934678,harness,47.67,13.97,23.34,23.65,12.5,10.84,17.41,6.24,1.18,12.8
php-cs-fixer,run_10,30.02934678,tool,29.56,13.98,33.45,22.51,18.5,14.95,12.49,10.02,3.31,13.39
php-cs-fixer,run_10,40.039349512,harness,43.91,9.41,18.87,28.23,6.71,12.15,21.17,7.06,1.57,7.84
php-cs-fixer,run_10,40.039349512,tool,29.89,13.66,34.05,21.7,18.92,15.13,12.09,9.62,3.13,13.09
php-cs-fixer,run_10,50.049345189,tool,29.5,14.97,32.76,22.52,17.96,14.8,12.37,10.15,3.24,14.46
php-cs-fixer,run_10,60.059676718,tool,29.57,15.12,32.31,22.9,17.68,14.63,12.52,10.38,3.33,14.57
php-cs-fixer,run_10,70.069348339,harness,50.87,9.41,18.9,17.72,6.74,12.15,14.17,3.55,1.57,7.84
php-cs-fixer,run_10,70.069348339,tool,29.0,15.51,32.95,22.99,18.37,14.58,12.77,10.22,3.21,14.96
php-cs-fixer,run_10,80.079357081,tool,29.54,15.64,32.91,22.6,18.14,14.77,12.48,10.12,3.25,15.12
php-cs-fixer,run_10,90.089351584,harness,43.78,8.51,16.16,29.75,5.8,10.36,23.08,6.67,1.57,7.84
php-cs-fixer,run_10,90.089351584,tool,29.43,15.79,32.59,22.81,17.95,14.63,12.53,10.27,3.33,15.28
php-cs-fixer,run_10,100.099349553,harness,42.13,8.84,16.5,32.15,5.63,10.87,25.48,6.67,1.57,7.86
php-cs-fixer,run_10,100.099349553,tool,30.2,16.21,31.98,24.29,17.29,14.69,14.1,10.19,3.46,15.63
php-cs-fixer,run_10,110.109693549,harness,47.04,9.41,17.68,25.1,5.92,11.76,18.82,6.27,1.57,7.84
php-cs-fixer,run_10,110.109693549,tool,29.12,15.33,33.04,23.23,18.5,14.54,13.03,10.19,3.33,14.73
php-cs-fixer,run_10,120.119346226,tool,29.68,16.12,32.14,22.81,17.47,14.66,12.51,10.3,3.53,15.46
php-cs-fixer,run_10,130.129677404,harness,39.53,8.51,14.96,36.44,5.06,9.91,28.61,7.84,1.57,7.87
php-cs-fixer,run_10,130.129677404,tool,30.08,16.0,32.7,22.26,17.57,15.13,12.11,10.15,3.51,15.29
php-cs-fixer,run_10,140.139349542,tool,29.95,16.37,31.97,22.38,17.11,14.86,12.13,10.26,3.52,15.75
php-cs-fixer,run_10,150.149348218,harness,44.04,8.98,16.71,30.17,5.3,11.41,23.86,6.32,1.58,7.38
php-cs-fixer,run_10,150.149348218,tool,29.44,16.42,32.19,22.52,17.39,14.8,12.22,10.29,3.33,15.82
php-cs-fixer,run_10,160.159682372,harness,42.21,9.02,15.29,32.43,5.51,9.78,25.65,6.77,1.57,7.45
php-cs-fixer,run_10,160.159682372,tool,30.16,16.72,32.82,21.67,17.36,15.45,11.94,9.73,3.49,16.08
