task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
phpoffice-bT,run_1,10.009125302,harness,31.12,17.47,36.17,15.05,23.07,13.1,9.71,5.34,1.11,16.7
phpoffice-bT,run_1,10.009125302,tool,30.91,11.89,36.77,20.49,21.28,15.48,12.46,8.03,3.26,11.22
phpoffice-bT,run_1,20.01912943,harness,42.94,10.8,21.4,24.53,9.68,11.72,18.62,5.91,0.85,8.83
phpoffice-bT,run_1,20.01912943,tool,30.18,16.96,32.7,20.31,16.95,15.75,11.35,8.96,3.08,16.43
phpoffice-bT,run_1,30.02943449,harness,43.25,10.26,18.68,29.31,7.68,10.99,22.9,6.41,0.85,8.51
phpoffice-bT,run_1,30.02943449,tool,28.51,15.55,33.56,20.96,18.23,15.33,11.92,9.04,3.24,15.11
phpoffice-bT,run_1,40.039125539,harness,44.28,9.35,18.09,31.05,6.47,11.62,23.44,7.61,1.1,7.97
phpoffice-bT,run_1,40.039125539,tool,27.24,14.85,32.59,25.53,17.97,14.63,15.06,10.47,3.27,14.33
phpoffice-bT,run_1,50.049564709,harness,42.43,9.14,16.31,33.57,5.49,10.82,26.37,7.2,0.91,8.26
phpoffice-bT,run_1,50.049564709,tool,30.28,15.35,37.34,17.34,20.08,17.26,8.91,8.43,2.82,14.13
phpoffice-bT,run_1,60.059132724,harness,43.01,8.54,16.81,31.31,5.44,11.37,23.27,8.04,1.06,6.82
phpoffice-bT,run_1,60.059132724,tool,35.29,10.49,32.79,21.19,16.66,16.13,7.81,13.38,2.02,9.32
phpoffice-bT,run_1,70.070129921,harness,38.8,7.45,15.32,38.43,4.73,10.59,30.21,8.23,1.57,6.28
phpoffice-bT,run_1,70.070129921,tool,27.12,14.03,35.9,25.03,19.43,16.47,16.04,8.99,1.96,12.94
phpoffice-bT,run_1,80.080127869,harness,49.76,7.45,18.95,23.84,4.72,14.23,15.6,8.23,1.57,6.27
phpoffice-bT,run_1,80.080127869,tool,30.44,11.38,33.05,26.12,16.37,16.68,15.59,10.53,1.77,10.5
phpoffice-bT,run_1,90.090127876,tool,37.09,11.43,33.39,18.51,15.56,17.82,8.32,10.19,2.19,10.22
phpoffice-bT,run_1,100.100129258,tool,39.05,10.19,31.78,14.89,13.95,17.83,6.17,8.72,2.64,9.25
phpoffice-bT,run_1,110.110130938,harness,39.98,7.45,15.71,36.86,4.73,10.98,28.62,8.23,1.57,6.28
phpoffice-bT,run_1,110.110130938,tool,27.43,12.63,32.81,27.15,17.82,14.99,19.2,7.95,1.65,11.53
phpoffice-bT,run_1,120.113751352,tool,39.15,9.4,32.16,19.17,13.96,18.2,7.79,11.38,2.05,8.07
phpoffice-bT,run_1,130.12312845,tool,44.66,10.3,31.56,13.17,13.67,17.89,5.27,7.9,2.37,9.82
phpoffice-bT,run_1,140.133131368,harness,45.7,7.48,15.85,25.11,4.88,10.97,16.87,8.24,1.57,6.31
phpoffice-bT,run_1,140.133131368,tool,41.53,9.4,26.12,23.16,12.36,13.76,5.69,17.47,1.78,8.91
phpoffice-bT,run_1,150.143129797,tool,44.92,10.98,28.8,13.69,14.1,14.71,4.71,8.98,1.99,10.08
phpoffice-bT,run_1,160.153124284,tool,33.98,8.24,29.58,27.45,11.66,17.92,14.59,12.85,1.99,7.12
phpoffice-bT,run_1,170.163127968,harness,38.73,9.0,14.52,37.74,6.01,8.51,30.07,7.68,1.02,7.78
phpoffice-bT,run_1,170.163127968,tool,26.27,11.87,31.39,30.89,16.56,14.83,21.07,9.82,1.61,11.09
phpoffice-bT,run_1,180.173125952,tool,40.12,8.94,31.39,19.47,13.1,18.29,8.26,11.21,1.73,7.17
phpoffice-bT,run_1,190.183131943,tool,45.3,10.32,32.16,12.43,13.61,18.55,4.99,7.44,2.38,9.88
phpoffice-bT,run_1,200.194592329,harness,43.75,10.27,17.94,29.86,7.1,10.85,22.45,7.41,0.87,9.0
