task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
prometheus,run_1,10.009129077,harness,36.98,15.83,32.15,14.83,17.71,14.44,9.22,5.61,1.86,14.72
prometheus,run_1,10.009129077,tool,29.6,14.97,39.71,16.07,17.71,22.0,9.74,6.33,2.46,14.36
prometheus,run_1,20.019133091,harness,42.73,9.12,21.08,24.91,8.1,12.98,18.29,6.62,0.85,8.3
prometheus,run_1,20.019133091,tool,24.26,17.84,41.6,17.22,13.43,28.17,11.43,5.79,1.75,17.6
prometheus,run_1,30.029450089,harness,43.12,8.47,18.51,28.24,6.91,11.61,22.24,6.01,1.02,7.39
prometheus,run_1,30.029450089,tool,33.61,15.48,38.79,13.18,19.42,19.37,8.19,4.99,2.55,15.05
prometheus,run_1,40.032149162,harness,41.91,9.18,17.5,31.81,5.62,11.88,24.28,7.53,1.22,7.77
prometheus,run_1,40.032149162,tool,31.05,16.25,38.01,16.15,18.93,19.08,10.49,5.66,2.35,15.8
prometheus,run_1,50.042134759,harness,42.33,7.98,15.59,31.9,5.13,10.46,24.19,7.71,1.18,7.06
prometheus,run_1,50.042134759,tool,32.27,14.61,35.14,20.17,17.83,17.3,12.15,8.03,2.13,14.19
prometheus,run_1,60.052129,harness,44.43,8.24,13.22,31.98,5.12,8.1,24.53,7.45,1.18,7.06
prometheus,run_1,60.052129,tool,33.04,15.42,35.71,17.61,17.9,17.81,11.23,6.38,2.15,14.92
prometheus,run_1,70.062128836,harness,40.71,8.24,14.92,31.54,5.11,9.8,25.1,6.44,1.18,7.06
prometheus,run_1,70.062128836,tool,33.28,16.14,33.79,18.94,16.8,16.99,12.19,6.74,2.04,15.69
prometheus,run_1,80.072136939,tool,35.25,15.85,35.98,13.43,17.58,18.41,8.79,4.63,2.19,15.37
prometheus,run_1,90.082132698,tool,35.88,14.86,36.72,14.11,19.37,17.34,9.41,4.71,2.67,14.57
prometheus,run_1,100.090726981,harness,35.01,8.24,14.91,39.1,5.11,9.8,32.04,7.06,1.18,7.06
prometheus,run_1,100.090726981,tool,35.31,17.33,22.95,27.33,10.84,12.11,18.84,8.49,2.52,16.99
prometheus,run_1,110.101057062,tool,35.83,14.54,32.74,18.2,16.62,16.12,12.61,5.59,2.55,14.36
prometheus,run_1,120.111381878,tool,35.22,15.03,30.83,20.36,15.16,15.67,13.61,6.75,2.53,14.84
prometheus,run_1,130.121703255,harness,41.41,8.28,15.02,14.68,5.22,9.8,7.62,7.06,1.18,7.11
prometheus,run_1,130.121703255,tool,35.63,16.19,29.94,19.13,16.05,13.89,13.11,6.02,2.5,15.84
prometheus,run_1,140.13203256,tool,36.08,14.42,21.12,30.41,9.35,11.77,21.52,8.89,2.47,13.97
prometheus,run_1,150.142132387,tool,36.16,15.13,32.37,18.2,16.49,15.88,12.2,6.0,2.54,14.83
prometheus,run_1,160.152448499,harness,34.08,8.24,14.92,35.89,5.11,9.8,28.83,7.06,1.18,7.06
prometheus,run_1,160.152448499,tool,35.26,15.74,31.04,19.32,15.77,15.27,13.36,5.96,2.49,15.45
prometheus,run_1,170.162132256,harness,39.6,8.63,16.09,35.29,4.72,11.37,27.52,7.77,1.57,6.67
prometheus,run_1,170.162132256,tool,35.6,15.33,31.18,19.57,16.28,14.91,13.6,5.97,2.53,15.0
prometheus,run_1,180.172477156,harness,39.6,8.24,16.09,36.86,4.72,11.37,28.23,8.63,1.57,6.67
prometheus,run_1,180.172477156,tool,35.23,15.18,29.28,21.94,14.33,14.95,15.19,6.75,2.28,14.83
prometheus,run_1,190.182127072,harness,39.99,8.24,16.48,35.68,4.71,11.76,28.23,7.45,1.57,6.67
prometheus,run_1,190.182127072,tool,35.46,16.08,30.07,19.88,15.4,14.67,13.38,6.5,2.44,15.81
prometheus,run_1,200.192130494,harness,39.99,8.24,14.61,34.75,4.72,9.89,27.3,7.45,1.57,6.67
prometheus,run_1,200.192130494,tool,34.57,13.94,31.47,23.04,15.95,15.53,14.57,8.47,2.53,13.77
prometheus,run_1,210.196418005,harness,37.33,8.24,15.7,40.61,4.72,10.98,33.16,7.45,1.57,6.67
prometheus,run_1,210.196418005,tool,35.06,14.55,32.03,20.8,16.8,15.22,12.85,7.94,2.55,14.28
prometheus,run_1,220.207143969,harness,40.39,8.63,16.09,35.29,5.11,10.98,27.06,8.23,1.57,7.06
prometheus,run_1,220.207143969,tool,35.41,15.09,33.16,18.04,17.27,15.89,12.12,5.92,2.56,14.8
prometheus,run_1,230.217501335,harness,37.76,8.63,16.09,37.91,5.11,10.98,30.55,7.36,1.57,7.06
prometheus,run_1,230.217501335,tool,34.94,13.73,30.4,23.45,15.83,14.57,14.99,8.46,2.62,13.46
prometheus,run_1,240.227134043,harness,41.06,8.63,16.09,36.47,5.11,10.98,28.63,7.84,1.57,7.06
prometheus,run_1,240.227134043,tool,33.35,12.08,27.71,30.68,15.41,12.29,16.83,13.85,2.59,11.88
prometheus,run_1,250.23744274,harness,41.52,8.63,16.09,36.47,5.11,10.98,30.16,6.31,1.57,7.06
prometheus,run_1,250.23744274,tool,29.51,18.87,21.91,30.7,9.25,12.66,7.46,23.24,2.25,18.77
prometheus,run_1,260.247132255,harness,43.58,8.63,16.09,33.27,5.11,10.98,29.02,4.25,1.57,7.06
prometheus,run_1,260.247132255,tool,31.68,14.81,26.75,29.13,12.94,13.81,17.31,11.82,2.17,14.53
prometheus,run_1,264.312433808,harness,33.66,7.84,13.82,45.07,4.4,9.41,37.2,7.87,1.28,6.28
prometheus,run_1,264.312433808,tool,33.11,15.55,34.53,18.48,20.44,14.09,10.18,8.3,2.67,15.2
prometheus,run_10,10.009914115,harness,37.67,15.19,31.36,16.41,16.58,14.78,10.82,5.59,1.56,14.37
prometheus,run_10,10.009914115,tool,26.25,15.44,40.6,18.87,18.32,22.28,11.97,6.9,2.1,15.2
prometheus,run_10,20.019915843,harness,43.09,11.91,23.5,24.66,11.27,12.24,18.61,6.05,1.14,11.48
prometheus,run_10,20.019915843,tool,23.76,17.65,40.78,18.13,12.74,28.03,12.05,6.08,1.53,17.55
prometheus,run_10,30.029922106,harness,43.05,11.54,21.23,31.54,9.46,11.77,25.59,5.96,1.25,10.81
prometheus,run_10,30.029922106,tool,33.81,15.18,38.77,12.85,19.72,19.05,8.13,4.72,2.48,14.8
prometheus,run_10,40.039921499,harness,44.6,10.8,19.19,27.02,7.78,11.4,20.22,6.8,1.38,9.8
prometheus,run_10,40.039921499,tool,32.16,15.93,38.47,14.83,19.57,18.9,9.21,5.61,2.35,15.48
prometheus,run_10,50.046496664,harness,41.4,9.41,16.76,32.58,7.06,9.7,26.02,6.57,1.47,8.68
prometheus,run_10,50.046496664,tool,32.85,15.52,37.82,15.25,18.86,18.96,9.8,5.46,2.36,15.13
prometheus,run_10,60.055915371,harness,41.63,9.76,14.88,33.29,6.9,7.98,27.59,5.7,1.52,8.68
prometheus,run_10,60.055915371,tool,32.87,12.53,33.43,21.74,17.5,15.93,13.24,8.5,2.48,12.07
prometheus,run_10,70.065956506,harness,43.44,9.76,16.71,31.99,6.5,10.21,25.06,6.93,1.32,7.67
prometheus,run_10,70.065956506,tool,32.68,13.65,34.56,18.73,17.57,16.99,12.19,6.55,2.39,13.3
prometheus,run_10,80.075922767,harness,46.69,9.81,20.44,23.06,6.29,14.15,16.8,6.26,1.95,8.25
prometheus,run_10,80.075922767,tool,34.67,14.66,31.79,17.62,16.16,15.63,10.48,7.14,2.38,14.19
prometheus,run_10,90.086251839,tool,34.69,14.4,37.09,14.03,18.78,18.31,9.32,4.71,2.63,13.96
prometheus,run_10,100.09592137,harness,40.03,9.56,17.11,37.56,5.94,11.17,31.28,6.27,1.71,8.23
prometheus,run_10,100.09592137,tool,34.09,15.15,17.02,34.97,7.18,9.84,23.9,11.07,2.16,14.79
prometheus,run_10,110.105917743,tool,34.08,13.53,18.0,35.48,7.84,10.16,24.93,10.55,2.22,13.13
prometheus,run_10,120.115917635,tool,32.61,13.7,17.7,36.68,7.72,9.98,26.25,10.44,2.12,13.19
prometheus,run_10,130.125915506,harness,48.77,9.83,18.81,22.58,6.02,12.79,14.97,7.62,1.95,8.28
prometheus,run_10,130.125915506,tool,33.78,14.78,17.75,35.15,7.4,10.35,24.26,10.89,2.17,14.33
prometheus,run_10,140.135921034,tool,34.4,16.16,18.23,32.58,7.83,10.4,22.02,10.56,2.06,15.89
prometheus,run_10,150.14591597,tool,34.13,16.78,20.21,30.5,8.92,11.29,21.36,9.14,1.86,16.44
prometheus,run_10,160.155920277,harness,32.81,8.62,13.71,46.05,4.72,8.98,39.38,6.67,0.78,7.05
prometheus,run_10,160.155920277,tool,34.21,14.62,18.02,34.58,7.81,10.21,23.26,11.32,2.2,14.26
prometheus,run_10,170.166256886,harness,41.12,9.11,16.33,35.83,5.63,10.71,27.57,8.26,1.57,7.75
prometheus,run_10,170.166256886,tool,33.89,15.06,18.76,33.78,7.98,10.78,23.22,10.55,2.36,14.16
prometheus,run_10,180.176583367,harness,41.26,9.32,16.06,35.07,6.11,9.96,26.9,8.17,1.57,8.05
prometheus,run_10,180.176583367,tool,34.59,13.75,17.34,35.8,7.16,10.18,24.31,11.5,2.48,13.31
prometheus,run_10,190.185917543,harness,39.15,8.7,16.16,36.24,4.7,11.46,28.47,7.77,1.57,7.13
prometheus,run_10,190.185917543,tool,34.01,14.42,18.44,34.39,7.69,10.76,24.04,10.34,2.22,13.97
prometheus,run_10,200.191074676,harness,39.57,8.4,15.99,36.3,4.85,11.14,29.29,7.01,1.57,7.19
prometheus,run_10,200.191074676,tool,32.76,13.52,21.36,34.36,10.1,11.26,22.04,12.32,2.19,13.1
prometheus,run_10,210.201516473,harness,39.72,8.64,15.51,34.74,4.89,10.62,28.04,6.7,1.57,7.07
prometheus,run_10,210.201516473,tool,32.73,12.91,19.94,35.19,9.14,10.81,22.82,12.37,2.09,12.63
prometheus,run_10,220.211940562,harness,40.06,9.09,15.29,36.77,5.05,10.24,29.99,6.79,1.57,7.06
prometheus,run_10,220.211940562,tool,39.04,10.27,33.89,18.61,17.27,16.62,12.79,5.82,3.92,9.68
prometheus,run_10,230.222836474,harness,39.07,8.46,15.45,36.74,4.55,10.9,28.98,7.75,1.57,6.81
prometheus,run_10,230.222836474,tool,40.7,9.42,28.76,22.28,14.21,14.55,15.97,6.31,3.6,8.84
prometheus,run_10,240.23292232,harness,39.98,8.48,16.87,36.08,4.99,11.88,27.47,8.61,1.57,6.82
prometheus,run_10,240.23292232,tool,34.11,6.03,22.98,37.78,12.52,10.46,23.02,14.76,2.69,5.53
prometheus,run_10,250.24291729,harness,38.9,8.9,15.96,36.71,5.01,10.95,28.73,7.98,1.57,7.09
prometheus,run_10,250.24291729,tool,33.0,13.99,20.57,32.67,9.22,11.35,10.98,21.69,3.49,13.87
prometheus,run_10,260.253252173,harness,39.83,8.91,15.98,33.82,5.0,10.98,28.29,5.52,1.57,7.06
prometheus,run_10,260.253252173,tool,31.58,16.6,25.19,27.43,11.39,13.8,14.4,13.04,2.54,16.14
prometheus,run_10,265.85205854,harness,34.64,9.01,12.05,44.68,5.18,6.86,35.55,9.14,1.57,7.06
prometheus,run_10,265.85205854,tool,32.37,6.77,21.54,40.54,12.23,9.31,22.59,17.95,2.26,6.39
prometheus,run_11,10.009912856,harness,38.4,15.8,31.09,15.86,16.48,14.61,9.94,5.92,1.92,14.66
prometheus,run_11,10.009912856,tool,25.79,15.12,40.29,18.77,18.0,22.29,12.11,6.65,2.21,14.89
prometheus,run_11,20.019902161,harness,42.87,11.67,22.63,23.82,9.84,12.79,17.41,6.41,1.62,10.79
prometheus,run_11,20.019902161,tool,22.92,17.33,41.65,18.29,14.96,26.69,11.97,6.32,1.83,17.15
prometheus,run_11,30.022759887,harness,40.84,9.43,19.42,30.48,7.27,12.14,24.27,6.21,1.36,8.19
prometheus,run_11,30.022759887,tool,33.48,15.71,38.85,13.25,20.08,18.77,8.11,5.14,2.7,15.3
prometheus,run_11,40.026906682,harness,42.46,8.78,17.48,29.4,6.89,10.6,22.17,7.22,1.58,8.13
prometheus,run_11,40.026906682,tool,31.88,16.11,37.53,16.78,18.84,18.69,10.94,5.84,2.55,15.73
prometheus,run_11,50.036910801,harness,42.23,9.34,17.89,31.56,6.84,11.04,22.52,9.04,1.58,8.35
prometheus,run_11,50.036910801,tool,32.64,14.68,36.6,17.57,19.14,17.46,10.5,7.07,2.73,14.38
prometheus,run_11,60.046906284,harness,40.53,8.34,15.8,34.49,5.0,10.8,27.84,6.65,1.12,7.26
prometheus,run_11,60.046906284,tool,33.09,15.4,33.52,19.61,17.07,16.45,12.63,6.98,2.35,14.97
prometheus,run_11,70.056903707,harness,42.62,8.63,15.03,30.75,5.12,9.91,24.08,6.67,1.18,7.45
prometheus,run_11,70.056903707,tool,33.23,15.55,34.58,18.24,17.49,17.1,11.9,6.34,2.35,15.09
prometheus,run_11,80.066907158,tool,35.34,15.37,36.94,13.0,18.54,18.4,8.12,4.89,2.7,14.99
prometheus,run_11,90.077359801,harness,29.22,8.93,11.16,44.5,6.64,4.53,42.36,2.14,1.48,8.06
prometheus,run_11,90.077359801,tool,33.9,16.15,34.5,16.66,18.86,15.65,11.18,5.49,2.6,15.79
prometheus,run_11,100.087905155,harness,54.07,8.63,15.71,19.64,5.12,10.59,12.97,6.67,1.18,7.45
