task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
rubocop,run_1,10.009803198,harness,30.19,17.43,37.68,14.45,23.34,14.33,8.14,6.31,1.57,17.04
rubocop,run_1,10.009803198,tool,30.69,15.73,39.41,14.44,21.0,18.42,7.43,7.0,2.6,15.2
rubocop,run_1,20.019802978,harness,36.09,14.75,22.14,26.64,10.52,11.62,20.93,5.71,1.12,13.8
rubocop,run_1,20.019802978,tool,31.98,15.13,38.07,15.5,19.88,18.2,8.13,7.37,2.62,14.36
rubocop,run_1,30.029798355,harness,45.62,14.38,25.97,13.85,13.17,12.81,8.24,5.61,1.34,13.44
rubocop,run_1,30.029798355,tool,32.92,14.45,38.48,14.75,19.7,18.78,7.73,7.01,2.61,13.77
rubocop,run_1,40.037938675,harness,46.7,15.16,26.45,16.97,13.98,12.47,12.94,4.02,1.24,14.14
rubocop,run_1,40.037938675,tool,32.46,14.97,38.14,14.73,19.34,18.8,7.69,7.04,2.36,14.23
rubocop,run_1,50.044481932,harness,49.87,15.66,26.78,20.81,12.49,14.29,13.55,7.26,1.18,14.88
rubocop,run_1,50.044481932,tool,32.41,14.97,37.52,15.59,19.35,18.16,8.48,7.1,2.36,14.28
rubocop,run_1,60.054797565,harness,52.42,15.66,26.77,20.81,13.85,12.92,14.92,5.89,1.18,14.88
rubocop,run_1,60.054797565,tool,28.15,13.5,31.63,27.08,16.59,15.05,18.32,8.76,2.36,13.1
rubocop,run_1,70.064798129,tool,23.04,14.51,28.31,34.93,16.65,11.66,25.18,9.74,2.02,14.12
rubocop,run_1,80.075131608,harness,35.26,12.38,17.98,40.23,8.29,9.69,34.28,5.95,1.2,10.8
rubocop,run_1,80.075131608,tool,30.94,13.86,34.51,21.18,17.88,16.63,13.06,8.11,1.84,13.46
rubocop,run_1,81.1359534,harness,32.74,3.35,8.43,55.77,5.17,3.26,42.68,13.09,2.78,3.02
rubocop,run_10,10.01002797,harness,30.65,17.83,37.25,14.8,22.88,14.37,8.14,6.66,1.56,16.68
rubocop,run_10,10.01002797,tool,31.24,15.52,39.21,14.56,20.44,18.78,7.64,6.92,2.65,14.74
