task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
tokio-rs,run_1,10.009848511,harness,31.13,17.43,35.82,15.1,22.53,13.29,10.02,5.07,1.43,16.4
tokio-rs,run_1,10.009848511,tool,23.19,20.7,38.18,18.8,22.7,15.49,11.0,7.8,2.26,19.96
tokio-rs,run_1,20.020190576,harness,38.41,12.62,22.2,27.0,10.47,11.73,21.64,5.36,1.05,11.84
tokio-rs,run_1,20.020190576,tool,24.23,16.79,32.12,27.58,20.29,11.82,17.18,10.41,1.68,15.96
tokio-rs,run_1,30.030526631,harness,45.61,12.9,22.48,21.59,9.01,13.47,16.33,5.26,1.18,11.97
tokio-rs,run_1,30.030526631,tool,24.15,17.97,32.21,25.78,19.48,12.73,16.2,9.58,1.62,17.21
tokio-rs,run_1,40.039845885,harness,44.78,12.54,20.73,26.03,8.94,11.79,20.91,5.12,1.18,11.74
tokio-rs,run_1,40.039845885,tool,26.76,15.56,28.14,29.98,15.55,12.59,19.67,10.31,1.71,15.29
tokio-rs,run_1,50.041853207,harness,49.39,11.8,19.59,20.42,8.03,11.56,15.67,4.75,1.18,10.5
tokio-rs,run_1,50.041853207,tool,25.24,16.71,31.6,27.09,19.5,12.09,16.67,10.42,1.84,15.92
tokio-rs,run_1,60.051852917,harness,47.68,9.91,18.99,29.19,6.84,12.15,24.09,5.1,1.18,9.13
tokio-rs,run_1,60.051852917,tool,25.4,16.17,29.88,29.38,17.72,12.17,18.41,10.97,1.7,15.53
tokio-rs,run_1,70.0618482,harness,46.05,9.86,18.39,26.1,5.81,12.58,21.31,4.78,1.18,8.31
tokio-rs,run_1,70.0618482,tool,26.6,16.73,30.37,27.38,17.23,13.14,16.61,10.77,1.7,16.05
tokio-rs,run_1,80.07184576,tool,29.47,15.88,30.65,25.09,17.44,13.21,16.76,8.33,1.79,15.29
tokio-rs,run_1,89.872364866,harness,38.55,9.34,14.7,36.47,5.41,9.3,30.36,6.11,1.19,8.18
tokio-rs,run_1,89.872364866,tool,29.08,4.63,34.62,32.05,19.69,14.93,19.06,12.99,4.4,4.17
tokio-rs,run_10,10.009832227,harness,32.09,17.63,35.78,15.5,22.17,13.61,9.8,5.69,1.41,16.54
tokio-rs,run_10,10.009832227,tool,23.18,20.91,38.2,17.94,22.6,15.6,10.18,7.76,1.96,20.38
tokio-rs,run_10,20.019833172,harness,37.44,13.5,22.31,27.78,11.27,11.04,21.9,5.88,0.72,12.33
tokio-rs,run_10,20.019833172,tool,24.15,16.88,32.49,27.56,20.11,12.38,16.76,10.8,1.63,16.04
tokio-rs,run_10,30.030834752,harness,47.17,13.2,22.64,20.76,11.53,11.11,15.53,5.23,0.79,12.68
tokio-rs,run_10,30.030834752,tool,24.79,17.47,32.34,26.37,19.55,12.79,16.46,9.91,1.57,16.85
tokio-rs,run_10,40.041165578,harness,47.06,11.73,19.6,28.33,10.23,9.38,23.83,4.5,0.78,10.94
tokio-rs,run_10,40.041165578,tool,26.8,15.59,27.79,30.48,15.54,12.25,19.81,10.67,1.9,15.0
tokio-rs,run_10,50.051509649,harness,46.42,11.17,20.24,24.71,9.66,10.58,17.85,6.86,0.78,10.39
tokio-rs,run_10,50.051509649,tool,25.77,16.47,31.9,26.46,19.48,12.42,16.77,9.68,1.64,15.79
tokio-rs,run_10,60.061856462,harness,41.87,12.54,18.43,27.89,7.84,10.58,25.59,2.3,0.78,11.76
tokio-rs,run_10,60.061856462,tool,25.75,15.93,29.61,28.82,17.39,12.22,18.05,10.77,1.63,15.12
tokio-rs,run_10,70.07185031,harness,45.47,9.41,17.29,27.06,5.53,11.76,21.57,5.49,1.18,8.23
tokio-rs,run_10,70.07185031,tool,26.15,16.63,29.81,27.75,17.61,12.2,17.54,10.21,1.66,15.9
tokio-rs,run_10,80.082281454,tool,28.87,15.6,29.83,26.78,16.43,13.4,17.94,8.84,1.72,14.99
tokio-rs,run_10,89.567002951,harness,39.53,9.47,15.61,36.21,5.12,10.48,29.82,6.39,1.24,8.21
tokio-rs,run_10,89.567002951,tool,31.06,13.02,31.66,25.57,16.99,14.67,17.11,8.46,2.25,12.45
tokio-rs,run_11,10.009856001,harness,31.86,17.62,35.72,14.93,21.79,13.93,9.36,5.56,1.35,16.61
tokio-rs,run_11,10.009856001,tool,23.61,20.36,38.8,18.53,22.95,15.85,10.55,7.98,2.35,19.64
tokio-rs,run_11,20.020206776,harness,38.52,13.26,22.02,27.15,9.85,12.17,21.73,5.42,1.05,11.78
tokio-rs,run_11,20.020206776,tool,24.33,16.65,32.61,27.57,20.24,12.37,16.96,10.61,1.63,15.84
tokio-rs,run_11,30.029848236,harness,46.18,13.27,21.72,21.8,9.11,12.61,16.3,5.5,1.17,11.59
tokio-rs,run_11,30.029848236,tool,24.49,17.66,31.79,26.68,19.66,12.14,16.8,9.88,1.6,16.77
