task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
vuejs,run_1,10.009912594,harness,31.94,17.23,35.82,15.23,21.8,14.02,9.49,5.73,1.62,16.09
vuejs,run_1,10.009912594,tool,27.48,18.19,38.94,16.56,23.04,15.91,8.92,7.64,2.33,17.51
vuejs,run_1,20.019916249,harness,40.74,15.82,28.07,14.99,12.64,15.43,9.11,5.88,1.56,14.65
vuejs,run_1,20.019916249,tool,30.37,17.21,38.48,16.7,22.66,15.82,9.32,7.38,2.47,16.58
vuejs,run_1,30.029914344,harness,32.78,13.67,20.89,33.07,10.35,10.53,27.17,5.9,0.87,11.71
vuejs,run_1,30.029914344,tool,30.42,17.62,37.53,17.25,22.08,15.45,9.63,7.61,2.3,16.98
vuejs,run_1,40.039955474,tool,30.75,17.34,37.9,16.92,22.29,15.6,9.33,7.6,2.29,16.74
vuejs,run_1,44.712571742,harness,17.92,10.46,12.95,59.02,5.63,7.32,51.85,7.17,0.45,9.87
vuejs,run_1,44.712571742,tool,30.74,15.75,38.47,17.07,22.71,15.76,9.77,7.29,2.34,15.09
vuejs,run_10,10.009819981,harness,33.69,17.86,34.09,15.9,19.32,14.77,9.22,6.68,1.56,16.7
vuejs,run_10,10.009819981,tool,28.31,18.15,38.22,16.81,22.75,15.46,9.36,7.45,2.42,17.55
vuejs,run_10,20.019820898,harness,44.21,16.66,26.19,15.78,11.35,14.83,9.1,6.67,1.56,15.49
vuejs,run_10,20.019820898,tool,29.81,17.61,38.1,17.02,22.46,15.64,9.81,7.22,2.5,17.08
vuejs,run_10,30.030238818,harness,34.45,13.04,21.43,32.51,10.15,11.28,27.05,5.46,1.56,12.72
vuejs,run_10,30.030238818,tool,32.65,16.08,36.63,16.88,21.41,15.22,10.06,6.82,2.06,15.55
vuejs,run_10,40.031235098,tool,32.25,16.33,37.36,16.92,21.68,15.68,9.85,7.07,2.15,15.82
vuejs,run_10,44.617578587,harness,17.28,10.45,11.85,61.22,5.44,6.41,54.37,6.85,0.8,9.7
vuejs,run_10,44.617578587,tool,32.22,16.27,37.26,17.29,21.6,15.66,9.94,7.34,2.19,15.74
vuejs,run_11,10.009805436,harness,32.23,17.57,35.21,15.71,21.11,14.09,9.94,5.77,1.13,16.46
vuejs,run_11,10.009805436,tool,28.13,17.81,38.38,16.89,22.69,15.69,9.28,7.61,2.43,17.15
vuejs,run_11,20.020183904,harness,42.58,15.49,25.6,16.57,11.59,14.02,10.7,5.87,1.16,14.34
vuejs,run_11,20.020183904,tool,29.42,17.61,38.89,16.76,23.03,15.86,9.16,7.6,2.49,16.96
vuejs,run_11,30.029909324,harness,32.88,13.1,20.97,33.78,9.84,11.13,28.06,5.73,1.25,11.84
vuejs,run_11,30.029909324,tool,30.63,17.74,37.89,16.34,22.54,15.35,8.98,7.35,2.31,17.07
vuejs,run_11,40.039808209,tool,30.73,17.34,38.15,16.68,22.69,15.46,9.05,7.63,2.33,16.69
vuejs,run_11,44.595600684,harness,17.39,10.07,12.73,59.67,5.72,7.01,52.92,6.75,0.36,9.8
vuejs,run_11,44.595600684,tool,29.84,16.0,39.81,16.38,24.22,15.59,9.82,6.56,1.76,15.35
vuejs,run_2,10.009983391,harness,31.69,17.11,35.63,15.1,21.52,14.11,9.22,5.88,1.31,16.21
vuejs,run_2,10.009983391,tool,27.69,18.04,38.38,17.14,22.89,15.49,9.66,7.48,2.32,17.44
vuejs,run_2,20.020333783,harness,42.56,15.78,27.7,14.98,13.41,14.29,9.11,5.87,1.56,13.92
vuejs,run_2,20.020333783,tool,29.54,17.35,38.37,16.75,22.96,15.41,9.59,7.16,2.43,16.74
vuejs,run_2,30.02998758,harness,33.64,12.89,20.83,34.04,9.97,10.86,28.16,5.89,0.87,11.33
vuejs,run_2,30.02998758,tool,31.07,16.84,36.99,16.81,21.51,15.48,10.02,6.78,2.33,16.22
vuejs,run_2,40.040344996,tool,30.83,16.8,37.9,17.23,22.38,15.52,9.64,7.59,2.46,16.23
vuejs,run_2,44.638876585,harness,17.52,10.74,11.84,59.89,5.46,6.39,53.56,6.33,0.79,10.66
vuejs,run_2,44.638876585,tool,31.0,15.11,39.35,16.13,23.49,15.86,9.63,6.51,2.05,14.56
vuejs,run_3,10.009809638,harness,32.71,17.78,35.1,15.19,20.57,14.53,9.04,6.14,1.49,16.37
vuejs,run_3,10.009809638,tool,28.65,17.59,37.78,17.39,22.31,15.47,9.75,7.64,2.46,16.95
vuejs,run_3,20.019817899,harness,40.68,15.07,29.63,14.83,14.95,14.68,9.89,4.94,1.17,13.75
vuejs,run_3,20.019817899,tool,29.7,17.13,37.59,17.56,22.34,15.25,10.19,7.37,2.54,16.57
vuejs,run_3,30.023376607,harness,34.96,12.06,20.11,32.88,9.73,10.38,27.77,5.11,0.61,10.89
vuejs,run_3,30.023376607,tool,30.94,16.6,36.81,17.73,21.21,15.6,10.36,7.37,2.53,16.07
vuejs,run_3,40.033814682,tool,30.81,16.8,37.4,17.95,22.04,15.36,10.27,7.68,2.49,16.3
vuejs,run_3,44.62783476,harness,17.23,10.0,13.03,59.75,5.74,7.29,52.86,6.89,0.84,9.64
vuejs,run_3,44.62783476,tool,30.67,15.95,38.43,18.0,23.08,15.35,10.14,7.87,2.15,15.44
vuejs,run_4,10.009312482,harness,31.84,17.19,35.92,13.98,21.59,14.33,8.64,5.34,1.33,16.06
vuejs,run_4,10.009312482,tool,28.38,17.75,37.97,17.5,22.4,15.57,9.82,7.68,2.37,17.15
vuejs,run_4,20.019317868,harness,42.58,13.92,28.69,13.82,13.41,15.28,8.52,5.29,1.37,12.75
vuejs,run_4,20.019317868,tool,30.52,17.08,37.97,16.94,22.37,15.6,9.63,7.31,2.46,16.36
vuejs,run_4,30.029682932,harness,34.18,12.43,21.0,32.41,10.35,10.65,27.25,5.16,0.92,11.26
vuejs,run_4,30.029682932,tool,30.6,16.89,37.85,17.47,22.25,15.61,9.86,7.61,2.4,16.17
vuejs,run_4,40.039385666,tool,31.15,16.25,38.34,17.59,22.63,15.71,9.93,7.66,2.48,15.6
vuejs,run_4,44.596530062,harness,19.04,10.56,13.2,59.01,5.76,7.44,52.26,6.76,0.44,10.18
vuejs,run_4,44.596530062,tool,30.32,15.21,39.72,17.0,24.15,15.57,9.98,7.02,2.05,14.66
vuejs,run_5,10.009826988,harness,34.11,17.88,34.48,14.35,19.7,14.78,8.47,5.88,1.56,16.72
vuejs,run_5,10.009826988,tool,27.93,18.22,38.3,17.03,22.95,15.35,9.74,7.29,2.49,17.6
vuejs,run_5,20.019892147,harness,44.05,17.38,26.05,14.46,11.31,14.74,8.73,5.73,1.58,16.19
vuejs,run_5,20.019892147,tool,30.32,17.37,38.39,16.47,22.89,15.5,9.46,7.01,2.56,16.75
vuejs,run_5,30.030298402,harness,32.93,11.86,22.53,32.74,10.81,11.72,27.86,4.88,0.84,10.87
vuejs,run_5,30.030298402,tool,30.76,17.29,37.93,16.39,22.52,15.41,9.42,6.97,2.11,16.62
vuejs,run_5,40.039829739,tool,31.05,17.14,37.98,16.78,22.52,15.46,9.44,7.34,2.14,16.51
