instance_id,repo,language,ps_chars,ps_has_traceback,ps_has_repro,hints_chars,patch_files,patch_hunks,patch_add,patch_del,patch_exts,test_files,test_hunks,test_add,n_f2p,n_p2p,touches_header,touches_build,touches_core
apache__druid-13704,apache/druid,Java,768,0,0,0,2,3,10,1,.java .md,1,1,29,1,2,0,0,1
apache__druid-14092,apache/druid,Java,1304,0,0,0,1,5,65,32,.java,1,5,43,1,1,0,0,1
apache__druid-14136,apache/druid,Java,979,0,1,0,3,8,30,43,.java,3,5,142,3,2,0,0,1
apache__druid-15402,apache/druid,Java,1277,0,1,355,1,3,5,4,.java,1,2,5,1,2,0,0,1
apache__druid-16875,apache/druid,Java,2469,1,1,0,1,3,9,2,.java,1,2,11,1,2,0,0,1
apache__lucene-11760,apache/lucene,Java,409,0,0,0,1,2,5,1,.java,1,2,38,1,11,0,0,1
apache__lucene-12022,apache/lucene,Java,1189,0,0,0,2,3,8,0,.java .txt,1,1,28,1,23,0,0,1
apache__lucene-12196,apache/lucene,Java,1099,0,1,377,2,2,6,0,.java .txt,1,1,5,1,11,0,0,1
apache__lucene-12212,apache/lucene,Java,3723,0,1,0,1,3,8,2,.java,1,5,56,1,10,0,0,1
apache__lucene-12626,apache/lucene,Java,782,0,1,0,2,2,3,0,.java .txt,2,6,50,1,106,0,0,1
apache__lucene-13170,apache/lucene,Java,1440,0,1,130,1,1,1,1,.java,1,1,11,1,8,0,0,1
apache__lucene-13301,apache/lucene,Java,1584,1,1,0,5,5,12,5,.java,10,12,62,1,0,0,0,1
apache__lucene-13494,apache/lucene,Java,2408,1,1,0,2,4,12,3,.java .txt,1,2,37,1,8,0,0,1
apache__lucene-13704,apache/lucene,Java,1923,0,1,0,2,3,5,2,.java .txt,1,2,38,1,39,0,0,1
astral-sh__ruff-15309,astral-sh/ruff,Rust,334,0,0,0,1,3,19,1,.rs,2,3,45,1,4,0,0,1
astral-sh__ruff-15330,astral-sh/ruff,Rust,1038,0,1,0,1,2,2,24,.rs,2,3,18,1,12,0,0,1
astral-sh__ruff-15356,astral-sh/ruff,Rust,2068,0,1,183,1,1,1,1,.rs,1,1,12,1,133,0,0,1
