language	type	instance	repo	why	runner_up
Rust	E	uutils__coreutils-6575	uutils/coreutils	large fix (2f/10h/77+)	uutils__coreutils-6377
Rust	T	astral-sh__ruff-15356	astral-sh/ruff	heavy verify set (1+133 tests)	astral-sh__ruff-15543
Rust	B	tokio-rs__axum-682	tokio-rs/axum	gold patch touches build files	
C	E	micropython__micropython-12158	micropython/micropython	large fix (8f/18h/51+)	redis__redis-9733
C	T	redis__redis-13115	redis/redis	heavy verify set (1+183 tests)	redis__redis-11279
Go	E	hashicorp__terraform-35543	hashicorp/terraform	large fix (8f/17h/247+)	hashicorp__terraform-34900
Go	T	gohugoio__hugo-12448	gohugoio/hugo	heavy verify set (1+34 tests)	prometheus__prometheus-12874
Java	E	projectlombok__lombok-3486	projectlombok/lombok	large fix (6f/9h/30+)	apache__druid-14136
Java	T	projectlombok__lombok-3009	projectlombok/lombok	heavy verify set (1+322 tests)	projectlombok__lombok-3215
TypeScript	E	facebook__docusaurus-9183	facebook/docusaurus	large fix (3f/5h/18+)	vuejs__core-11739
TypeScript	T	facebook__docusaurus-9897	facebook/docusaurus	heavy verify set (1+91 tests)	facebook__docusaurus-10130
Ruby	E	jekyll__jekyll-8761	jekyll/jekyll	large fix (3f/3h/17+)	jekyll__jekyll-8771
Ruby	T	jordansissel__fpm-1829	jordansissel/fpm	heavy verify set (6+41 tests)	rubocop__rubocop-13424
PHP	E	phpoffice__phpspreadsheet-4214	phpoffice/phpspreadsheet	large fix (3f/7h/27+)	phpoffice__phpspreadsheet-4114
PHP	T	phpoffice__phpspreadsheet-3940	phpoffice/phpspreadsheet	heavy verify set (1+58 tests)	php-cs-fixer__php-cs-fixer-7523
PHP	B	briannesbitt__carbon-2813	briannesbitt/carbon	gold patch touches build files	
JavaScript	E	mrdoob__three.js-27395	mrdoob/three.js	large fix (5f/5h/18+)	mrdoob__three.js-26589
JavaScript	T	preactjs__preact-4152	preactjs/preact	heavy verify set (1+75 tests)	preactjs__preact-3062
JavaScript	B	axios__axios-5316	axios/axios	gold patch touches build files	
C++	T	fmtlib__fmt-3901	fmtlib/fmt	heavy verify set (1+122 tests)	fmtlib__fmt-3750
