instance	language	mech	short	fence	live_ratio	boot_s	coverage	classified_pct	own_B	own_T	own_S	own_label	proc_B	proc_T	proc_S	proc_label	n_leaf	leaf_B	leaf_T	leaf_S	leaf_label	flags	n_receipts	top_procs
apache__lucene-13704	Java	J	apache-lucene-13704	16.9	1.66	0.0	97.8	32.1	4	85	12	?	4	85	12	?	93	2	10	88	S		309499	test-run=3.3  runtime=1.3  search=0.6  vcs=0.4  compile=0.2
apache__lucene-11760	Java	J	apache-t11760	17.9	0.08	0.0	100.3	83.4	0	96	4	?	0	96	4	?	122	0	29	71	?	call-step-mismatch(104v100),replay-invalid(ratio=0.08)	43482	test-run=10.2  runtime=4.1  vcs=1.6  search=0.6  other=0.0
apache__lucene-12022	Java	J	apache-t12022	18.1	0.07	0.0	100.3	83.0	0	93	7	?	0	93	7	?	184	0	23	77	?	call-step-mismatch(131v128),replay-invalid(ratio=0.07)	42833	test-run=10.0  runtime=4.0  vcs=1.3  search=1.0  other=0.0
apache__lucene-12196	Java	J	apache-t12196	19.3	0.13	0.0	98.4	86.6	6	92	2	?	6	92	2	?	139	9	32	59	?	call-step-mismatch(89v85),replay-invalid(ratio=0.13)	18967	test-run=11.7  runtime=3.6  compile=1.0  vcs=1.0  search=0.4
apache__lucene-12212	Java	J	apache-t12212	49.4	0.29	0.0	98.9	76.7	0	99	1	?	0	99	1	?	266	0	32	68	?	replay-invalid(ratio=0.29)	312795	test-run=27.2  runtime=10.3  vcs=0.5  search=0.4  other=0.0
apache__lucene-12626	Java	J	apache-t12626	35.9	0.07	0.0	100.1	90.9	0	97	3	?	0	97	3	?	347	1	55	44	?	replay-invalid(ratio=0.07)	106715	test-run=21.6  runtime=10.0  vcs=1.0  search=1.0  other=0.1
apache__lucene-13170	Java	J	apache-t13170	16.4	0.18	0.0	99.1	88.3	6	89	6	?	6	89	6	?	159	5	20	75	?	replay-invalid(ratio=0.18)	12311	test-run=9.9  runtime=2.9  search=0.9  compile=0.8  vcs=0.7
apache__lucene-13301	Java	J	apache-t13301	12.6	2.01	0.0	97.4	3.4	0	0	100	?	0	0	100	?	85	0	0	100	?	call-step-mismatch(75v71),replay-invalid(ratio=2.01)	309173	vcs=1.1  search=0.4  other=0.0
apache__lucene-13494	Java	J	apache-t13494	37.2	0.22	0.0	99.3	90.9	10	89	2	?	5	93	2	?	336	24	18	57	?	call-step-mismatch(145v141),replay-invalid(ratio=0.22)	78836	test-run=22.5  runtime=7.5  pkg=1.5  vcs=1.1  search=0.6
apache__druid-13704	Java	J	apache-t13704	27.0	1.03	0.0	100.0	90.3	9	85	6	T	9	85	6	T	327	7	10	82	S	call-step-mismatch(108v104)	7244	test-run=17.9  runtime=2.8  compile=2.2  search=1.5  vcs=1.1
apache__druid-14092	Java	J	apache-t14092	539.2	1.17	0.0	111.0	110.3	0	100	0	T	0	100	0	T	97	31	23	46	S		14070	test-run=441.2  lint=105.4  runtime=47.9  vcs=1.6  other=1.3
apache__druid-14136	Java	J	apache-t14136	950.0	1.24	0.0	99.5	99.1	0	99	0	T	0	99	0	T	327	20	18	61	S		27073	test-run=649.5  lint=196.5  runtime=88.7  compile=4.5  vcs=1.7
apache__druid-15402	Java	J	apache-t15402	3999.1	1.18	0.0	99.4	99.3	0	100	0	T	0	100	0	T	741	33	34	33	M	call-step-mismatch(175v168)	84662	test-run=2622.8  lint=990.4  runtime=353.6  vcs=4.8  other=2.6
apache__druid-16875	Java	J	apache-t16875	359.7	1.2	0.0	99.6	98.6	1	99	0	T	1	99	0	T	299	21	22	57	S	call-step-mismatch(118v111)	15531	test-run=250.1  lint=55.0  runtime=44.4  compile=3.7  vcs=1.8
astral-sh__ruff-15309	Rust	A	astral-sh-t15309	688.5	1.16	0.0	99.5	98.9	78	22	1	B	98	1	1	B	6786	61	20	19	B		69392	compile=656.1  build-drv=6.9  search=6.0  test-run=5.0  runtime=4.2
astral-sh__ruff-15330	Rust	A	astral-sh-t15330	700.7	1.21	0.0	99.5	99.2	79	21	0	B	99	0	0	B	6042	65	16	19	B	call-step-mismatch(100v97)	54506	compile=683.0  build-drv=4.8  runtime=2.2  search=1.3  other=1.1
astral-sh__ruff-15356	Rust	A	astral-sh-t15356	707.0	1.18	0.0	99.4	99.0	70	30	0	B	98	2	0	B	6190	59	21	19	B		57086	compile=675.6  test-run=13.2  build-drv=5.1  runtime=1.9  other=1.3
astral-sh__ruff-15394	Rust	A	astral-sh-t15394	619.0	1.21	0.0	99.4	99.1	79	21	0	B	99	1	0	B	5799	66	14	20	B		43226	compile=600.9  build-drv=4.5  runtime=2.4  search=1.4  lint=1.3
astral-sh__ruff-15443	Rust	A	astral-sh-t15443	528.5	1.24	0.0	99.4	99.1	75	25	0	B	99	1	0	B	4514	66	9	25	B	call-step-mismatch(66v63)	32669	compile=511.0  test-run=4.9  build-drv=3.8  search=1.2  runtime=1.1
astral-sh__ruff-15543	Rust	A	astral-sh-t15543	387.1	1.2	0.0	99.4	99.0	100	0	0	B	99	0	0	B	3784	66	3	31	B	E7-consecutive-loop	22705	compile=377.2  build-drv=2.1  search=1.4  runtime=1.0  vcs=0.4
astral-sh__ruff-15626	Rust	A	astral-sh-t15626	505.0	1.14	0.0	99.4	98.9	74	26	0	B	99	1	0	B	4743	63	11	26	B		35513	compile=489.4  build-drv=3.2  runtime=2.2  search=1.9  test-run=1.1
axios__axios-4731	JavaScript	N	axios-t4731	12.5	0.93	0.0	100.9	90.5	0	100	0	T	0	100	0	T	619	0	91	9	T		15142	runtime=8.4  test-run=2.8  search=0.1  vcs=0.0
axios__axios-4738	JavaScript	N	axios-t4738	5.9	0.95	0.0	102.6	82.7	0	99	1	?	0	99	1	?	323	0	84	16	T		14919	runtime=4.8  vcs=0.1  search=0.1
axios__axios-5085	JavaScript	N	axios-t5085	7.6	0.95	0.0	101.1	84.0	0	99	1	?	0	99	1	?	435	0	86	14	T		33190	runtime=6.3  search=0.1  vcs=0.1
axios__axios-5316	JavaScript	N	axios-t5316	13.9	0.82	0.0	100.0	74.0	0	97	3	T	0	97	3	T	1020	0	71	29	T	call-step-mismatch(312v309)	80666	runtime=8.7  test-run=1.3  search=0.3  vcs=0.3
axios__axios-5892	JavaScript	N	axios-t5892	16.0	0.96	0.0	100.5	91.8	0	99	0	T	1	98	0	T	906	0	93	7	T		33820	runtime=13.0  test-run=1.4  build-drv=0.2  vcs=0.1  search=0.1
axios__axios-6539	JavaScript	N	axios-t6539	19.1	0.9	0.0	99.5	89.1	2	97	1	T	0	99	1	T	1001	0	86	14	T		42222	runtime=13.4  test-run=3.4  search=0.2  vcs=0.1
babel__babel-15445	JavaScript	N	babel-X15445	28.7		0.0	100.4	85.1	0	98	2	T	0	98	2	T	946	0	67	33	T		6511	runtime=24.0  vcs=3.2  search=0.4
babel__babel-13928	JavaScript	N	babel-t13928	402.5	1.14	0.0	99.8	98.3	1	99	0	T	1	97	2	T	5064	0	95	5	T		32167	runtime=384.9  search=6.9  build-drv=4.0  vcs=3.7  other=0.0
babel__babel-14532	JavaScript	N	babel-t14532	10.6	0.95	0.0	99.4	23.2	0	68	32	?	0	68	32	?	365	0	32	68	S	E7-consecutive-loop,mechanism-not-witnessed	7068	vcs=6.5  runtime=1.7  search=0.8
babel__babel-15649	JavaScript	N	babel-t15649	41.9	1.04	0.0	100.3	92.5	0	99	1	T	0	99	1	T	617	0	83	17	T	call-step-mismatch(73v70)	5303	runtime=37.8  vcs=2.2  test-run=0.7  search=0.3  other=0.0
babel__babel-16130	JavaScript	N	babel-t16130	164.0	1.1	0.0	100.0	97.2	0	99	1	T	0	99	1	T	1830	0	88	12	T		14675	runtime=157.6  vcs=2.7  search=1.8
briannesbitt__carbon-2813	PHP	I	briannesbitt-carbon-2813	14.5	2.99	0.0	98.4	23.8	0	1	99	?	0	1	99	?	173	0	2	98	?	E7-consecutive-loop,mechanism-not-witnessed,replay-invalid(ratio=2.99)	309308	search=3.4  vcs=0.2  runtime=0.0
briannesbitt__carbon-2665	PHP	I	briannesbitt-t2665	13.4	1.88	0.0	98.3	13.5	0	94	6	?	0	94	6	?	124	0	18	82	S	E7-consecutive-loop,call-step-mismatch(164v147)	308891	runtime=1.7  vcs=0.4  search=0.1
briannesbitt__carbon-2752	PHP	I	briannesbitt-t2752	10.1	0.92	0.0	101.1	84.3	0	98	2	?	0	98	2	?	139	0	28	72	S	call-step-mismatch(104v101)	9547	runtime=8.3  vcs=0.3  search=0.2
briannesbitt__carbon-2762	PHP	I	briannesbitt-t2762	11.6	5.98	0.0	98.0	3.5	0	31	69	?	0	31	69	?	144	0	5	95	?	E7-consecutive-loop,mechanism-not-witnessed,replay-invalid(ratio=5.98)	308788	search=0.3  runtime=0.1  vcs=0.1
briannesbitt__carbon-2981	PHP	I	briannesbitt-t2981	159.2	0.99	227.2	100.0	98.4	2	98	0	T	1	99	0	T	403	25	21	54	S	call-step-mismatch(162v158)	33589	runtime=153.7  pkg=1.3  vcs=0.5  search=0.3  other=0.0
briannesbitt__carbon-3005	PHP	I	briannesbitt-t3005	91.9	0.98	225.9	99.9	96.2	3	97	0	T	1	98	0	T	442	23	19	58	S	call-step-mismatch(257v252)	33843	runtime=85.6  pkg=1.2  vcs=0.5  search=0.4  other=0.0
briannesbitt__carbon-3041	PHP	I	briannesbitt-t3041	12.5	0.88	31.3	98.7	74.8	27	71	2	?	15	82	3	?	471	22	35	42	M		15670	runtime=6.7  pkg=1.2  vcs=0.6  search=0.2  other=0.0
briannesbitt__carbon-3073	PHP	I	briannesbitt-t3073	5.9	0.87	0.0	98.9	66.4	0	93	7	?	0	93	7	?	180	0	24	76	S	call-step-mismatch(133v125)	7522	runtime=3.6  search=0.3  vcs=0.3
briannesbitt__carbon-3098	PHP	I	briannesbitt-t3098	14.4	1.41	0.0	97.8	21.2	0	70	30	?	0	70	30	?	620	0	2	98	S		308906	runtime=2.1  search=0.9  vcs=0.3
