instance	language	ratio	live_wall_s	live_fence_cs	replay_wall_s	replay_fence_cs	action_cpu_cs	background_cores	e7_loop	exit_status	wrapper_marks	cause
apache__lucene-12022	Java	0.07	1430	253.5	310	18.1	-47.1	0.21	False	submitted	44	gradle-wrapper-offline
apache__lucene-12626	Java	0.07	1791	522.2	770	35.9	-331.3	0.477	False	submitted	120	gradle-wrapper-offline
apache__lucene-11760	Java	0.08	823	224.2	320	17.9	-113.6	0.41	False	submitted	26	gradle-wrapper-offline
apache__lucene-12196	Java	0.13	564	154.0	125	19.3	-19.1	0.307	False	submitted	32	gradle-wrapper-offline
apache__lucene-13170	Java	0.18	604	92.2	80	16.4	4.8	0.145	False	submitted	35	gradle-wrapper-offline
apache__lucene-13494	Java	0.22	1573	172.2	560	37.2	-37.5	0.133	False	submitted	68	gradle-wrapper-offline
apache__lucene-12212	Java	0.29	2492	172.2	2402	49.4	-3223.6	1.363	False		58	gradle-wrapper-offline
caddyserver__caddy-5995	Go	0.32	1426	157.8	70	50.9	45.4	0.079	False	submitted	0	background-dominated
caddyserver__caddy-6345	Go	0.32	806	169.3	70	54.7	43.8	0.156	False	submitted	0	background-dominated
micropython__micropython-15898	C	0.32	890	38.0	25	12.3	11.6	0.03	False	submitted	0	background-dominated
jqlang__jq-2919	C	0.41	665	35.8	45	14.7	13.2	0.034	False	submitted	0	background-dominated
caddyserver__caddy-6115	Go	0.43	626	149.9	55	64.8	56.6	0.149	False	submitted	0	background-dominated
caddyserver__caddy-6288	Go	0.44	1045	134.4	90	59.1	52.0	0.079	False	submitted	0	background-dominated
caddyserver__caddy-6350	Go	0.44	934	189.3	95	83.4	71.4	0.126	False	submitted	0	background-dominated
micropython__micropython-13569	C	0.47	927	64.5	60	30.5	28.1	0.039	False	submitted	0	background-dominated
apache__lucene-13301	Java	2.01	2492	6.3	2402	12.6	180.9	-0.07	False		0	drain-cap-background
laravel__framework-53206	PHP	2.37	971	6.2	2402	14.6	0.4	0.006	True		0	drain-cap-background
phpoffice__phpspreadsheet-3570	PHP	2.47	510	6.4	2402	15.7	3.8	0.005	True		0	drain-cap-background
briannesbitt__carbon-2813	PHP	2.99	330	4.8	2402	14.5	3.3	0.005	True		0	drain-cap-background
prometheus__prometheus-11859	Go	3.09	710	4.2	2402	12.9	0.5	0.005	True		0	drain-cap-background
reactivex__rxjava-7597	Java	3.18	590	4.0	2402	12.8	1.2	0.005	True		0	drain-cap-background
laravel__framework-52866	PHP	4.21	360	3.2	2402	13.5	1.4	0.005	True		0	drain-cap-background
laravel__framework-51195	PHP	4.29	520	2.9	2402	12.6	0.3	0.005	True		0	drain-cap-background
laravel__framework-52680	PHP	4.34	770	2.7	2402	11.9	-1.6	0.006	True		0	drain-cap-background
php-cs-fixer__php-cs-fixer-7663	PHP	4.65	790	2.5	2402	11.4	-1.9	0.006	True		0	drain-cap-background
hashicorp__terraform-35543	Go	4.98	380	2.4	2402	11.9	0.6	0.005	True		0	drain-cap-background
briannesbitt__carbon-2762	PHP	5.98	370	1.9	2402	11.6	0.2	0.005	True		0	drain-cap-background
php-cs-fixer__php-cs-fixer-8367	PHP	10.57	230	1.1	2402	11.2	-0.0	0.005	True		0	drain-cap-background
