instance	campaign	src_bytes	min_bytes	turns	src_sha256
gin-gonic__gin-3741	ML_multiling	7085556	38280	55	8f9d31be7e54556a513556b5e2a15f0f236e0d9849a061640217ea971f7253a5
google__gson-2061	ML_multiling	18544183	80973	117	226e27a654e6cd52a57d10f31d10798fada636ae1f29ac012aab71a29844236a
jqlang__jq-2681	ML_multiling	19450763	73759	105	797fdd82eb7aec141b94d9a2abfae1dfdd4330bd8fb76e10d483589075be5cd7
php-cs-fixer__php-cs-fixer-7523	ML_multiling	42794933	157796	149	b111ae744e37520ec74256d386524fe95a27827218e1e66a36db38fb47c7d585
phpoffice__phpspreadsheet-3940	ML_multiling	99867921	311219	210	89d03a0cfe15565dc686db3daadc67b3fbbba7f7629bd3f8f7ac08aae049a28c
preactjs__preact-4152	ML_multiling	73575024	150266	178	615a799f4e7ab14aab3b398018f7043e6bc1f149808ea358f9c8dba616d779d3
rubocop__rubocop-13668	ML_multiling	9891840	52866	74	18c696c4942ba0af206dca127ddc61541f636fdfce29f1d9b56debbd9c2008aa
tokio-rs__tokio-6551	ML_multiling	28005248	95777	122	0e2411a30eed9076bb647d0c4723a927c386789b3059238e2fdb5e455e305cc4
vuejs__core-11915	ML_multiling	5654244	35221	46	390290ca57793607870a18d996b6cd2a8b151883591c60173aac5eeee72ddcb5
apache__lucene-13704	ML_typeid	4135044	36067	40	45c3646fc944da9e548be3ccf585a71c4ebc54155e4a31f5722a5005d1f04fbc
apache__lucene-11760	ML_typeid	14853081	63179	100	a76ad0232819e722fd9ae674ee84d077e4420f6af385b96a9b680c177515b309
apache__lucene-12022	ML_typeid	30269390	76947	128	ad793b2e1a2eac969fce6e782f7da228bf040175e902aad9228f2f7c072900e8
apache__lucene-12196	ML_typeid	11582448	62262	85	8a87a269a358fd0f3e6c5913092f01e0174c3d26c1cd9b10b49a91b9e7d16f4b
apache__lucene-12212	ML_typeid	57813101	291477	148	fef2bd43d59b5a92e49185db430cbfcca2bebd8223fe5dc0de99357261c28506
apache__lucene-12626	ML_typeid	29165481	104375	156	c30d9847442f58bd21dadaec9e9288830803b1f49e2a9ebabbd5110d1a972e8c
apache__lucene-13170	ML_typeid	6143289	55158	60	9d3237fbab559e27c2c73559cfcd7cf9a4cb4643347496f0ef305822bbb8ab42
apache__lucene-13301	ML_typeid	7952527	38645	71	8344bb648d19ea8d93de50fdaf34726e2227d98aebefc5d9beb9e7c99a8173af
apache__lucene-13494	ML_typeid	38196590	91951	141	e35e65efa1aa870f35b3afebc2c68bed803823abe8bdfbd54ce79b46ce7ac243
apache__druid-13704	ML_typeid	17833230	72442	104	37970c80e59a1a1445c6636593f3451efdf2496e63f5fe8bc4f5c0f8677d044b
apache__druid-14092	ML_typeid	7957828	56975	63	228f1812f6f2edebe1d7f120fdaa72e93be21506e71630bc2f9b8d794d42c05d
apache__druid-14136	ML_typeid	35123224	112477	138	aaab739363106ba37fd147a04ea61d1ac3558ef57d912449f906e9d966025d3c
apache__druid-15402	ML_typeid	48473268	132478	168	271641a328525859cf191324d5f046a3b386ad80a99a096a570f2b3adb506db2
apache__druid-16875	ML_typeid	21335397	83569	111	6b4f7a340b2f876a7559467eb44f05a56b13d6fb6417af3181a404dfa1b1135f
astral-sh__ruff-15309	ML_typeid	97952177	373973	216	620cb28fe6aacb0afff5e748ff50caf55b16a5ec85e6f1d52015c9b4f4784163
astral-sh__ruff-15330	ML_typeid	22431658	112221	97	aefa37cd7fd2b07b67681f76da47c0bc7ce8d0700091d9de376701d32675d372
astral-sh__ruff-15356	ML_typeid	25224537	99756	115	a5c370ccb8ee78f90d2a46973f06c0ce230cabe803cd8837dae08dae5de2c1c3
astral-sh__ruff-15394	ML_typeid	25027881	128626	116	4a3861449dc4496e91313d8742f6f60d340fc2a57624aef47a43d1ccabd41039
astral-sh__ruff-15443	ML_typeid	4965438	40125	63	332cf4fb1ec7a99f4e699a4bedf0a26afbe940f296a4e4a37cf845c1d1a81e93
astral-sh__ruff-15543	ML_typeid	3139515	32157	54	43be618c4f436210502ace96829672bc451affe589bdb878c94bab9b17f625a1
astral-sh__ruff-15626	ML_typeid	17488024	69958	118	f145492bc2d037252a3d2202d1381208f9dd1361dd6358f3f3e6a2338dfb23f5
axios__axios-4731	ML_typeid	16267236	62292	90	ae052c38145e411524ba3ba7464a891ccf75e36a6e07d1f576f74f133fdfdbef
axios__axios-4738	ML_typeid	11266432	55817	72	0d7a100eb7a46468d1dceecb19333acecfb0b628732ca6787452a19e04ddd5de
axios__axios-5085	ML_typeid	18495385	59758	84	a3e4dbbc4e4fd4b233182538da0035a588603a120b52c570bcec64b78b91c4c2
axios__axios-5316	ML_typeid	117058398	128841	310	b6e530020e5cccee7a1b486a7313c94e1807bb0d2da572707e4172d76634f2f2
axios__axios-5892	ML_typeid	25988770	62761	87	dfd9815a9ba5c518a46aff6ebd28b921fed0e1883f511d1e72ee617c46ea641b
axios__axios-6539	ML_typeid	38119454	108531	145	1507733600d1a7bf12de99fc8e2e8aae89aa976f929223ebc44a89e91d8fb6bc
babel__babel-13928	ML_typeid	59712664	132112	165	52b7302b2e8d7d133c507c25a04cc53cfae228e3d30cbdb8b1f9bbb99f86f5f6
babel__babel-14532	ML_typeid	18218063	97388	115	afe23504c19b58e0560cdf8dfd1b8bd23a813d49abcde9d911407e749b859a3f
babel__babel-15649	ML_typeid	6819486	48989	70	829ea72a64051a9e80016c4be271bff50f6164ce76ea281f5702d598b7402079
babel__babel-16130	ML_typeid	50029571	160199	142	1890ee69cebcb6ef8c17ccf4b9ca1308a0c080d400b6a757ae29159f4a267529
briannesbitt__carbon-2813	ML_typeid	15526838	38136	92	bd9d1a3fd7f71cc98d5464a6731e0d2dbc863de741062d1d946219f490a260a2
briannesbitt__carbon-2665	ML_typeid	52123157	96093	147	06f0770bfcfaf0f4a0f115191c20ffce5b740db1fd5b7c503aaa31fe1da9d5e8
briannesbitt__carbon-2752	ML_typeid	13857077	76339	101	100093bd45d4e04904dc00cfe322d7a9fc827a4b90e205fceddccf6a8237387b
briannesbitt__carbon-2762	ML_typeid	12534016	58055	96	4ce18a251f2c13d4270671fd77026531e87f7dd8f6ac252003307e281bf592bf
briannesbitt__carbon-2981	ML_typeid	42165167	143918	158	d0ef25f9dcf35db061b99c9458b6fbb0898b955fcaf0722cac599c465c1a667a
briannesbitt__carbon-3005	ML_typeid	85107299	153215	251	66d4b7064b400bbb88dac21489db8de764fde9554df053bc65cd4389af5be380
briannesbitt__carbon-3041	ML_typeid	54842328	111464	203	c2f03205ad030174b7dc6793f694165be4ea2c58b0d64a226c042b6cae9547e5
briannesbitt__carbon-3073	ML_typeid	22605529	78843	125	9c452f31ec763a9f1b4d3b024b165c63eceaae47598b9c035c89db2ca5fd08a6
briannesbitt__carbon-3098	ML_typeid	127961697	142892	354	5c6c9e2a197b18e3d1df734a39031f48bc26ea5935014ee4e2c57128dfecf890
briannesbitt__carbon-3103	ML_typeid	46476535	98060	193	f9fbc60ab6dca67718d7ac11994275080db29831081cb863666444ce23239853
burntsushi__ripgrep-2209	ML_typeid	34896723	126876	127	7d7c58d306af42b06b778dc86f0e7cdb67a962e217c946516fa3599369ed64fe
burntsushi__ripgrep-2576	ML_typeid	165612587	352953	250	09b1e5b9d47143423e98bcbda22d2dcea990a955495ff7fb6453b79c689554a6
caddyserver__caddy-4774	ML_typeid	85617109	138223	194	45304d508ac84541ac3715233de49189fde804cd6a54c88cc0013b49b792013b
caddyserver__caddy-4943	ML_typeid	50000722	108109	145	15bd147ab17f0d75127e1861773b77864371388f5cc64c87aaa98239971b1cc3
caddyserver__caddy-5404	ML_typeid	26067349	89037	91	f539ed1a472d269819f776e6ee87c77fdb72f4898762936c612b1d60db8b73ab
caddyserver__caddy-5626	ML_typeid	64588760	125676	170	9adb5623eef82f8f83e17a6c769d1ee3d5ace7d233a1d306b05ed9864417ec75
caddyserver__caddy-5761	ML_typeid	82060049	108232	155	5a157c964e9a373ec1cbf4ebf0d5b4b0eaa84f87a6c23951baba9d9eaa8df3fe
caddyserver__caddy-5870	ML_typeid	106105059	216731	191	266b03888724815cf3685cd3bb8594badef22fd5aa9d6482535d90a610eb099c
caddyserver__caddy-5995	ML_typeid	49472450	150464	138	aab6fea32874665c5343e53848e3b87b98a7640039251f5c4f4810e432061ae4
caddyserver__caddy-6051	ML_typeid	34188374	95417	116	8b9f1205efeebe04077fce0ee79c8fdec9ba3ddf8768cf847bb9872cc1c6e708
caddyserver__caddy-6115	ML_typeid	24417661	96720	101	7cc5d6def062f5002abc51e434a4b9c2f58cac4e61ef7a7492ae6a8bf6a37d75
