when	instance	language	mech	status	realized	mix	support	other_pct	steps	uniq_frac	longest_run	flags	wall_s	tool_cs_raw	tool_cs_corr	harness_cs	proxy_cs	magnitude_bin	witness_cov	tokens_sent	tokens_received	api_calls	exit_status	detail
2026-08-10.17:22:45	jqlang__jq-2235	C	B	classified	S	S=88% E=5% T=2% B=5%	99	24.4	131	0.962	1		688.2	21.5	21.5	21.25	3.45	measurable	0.015	4649673	8450	132	submitted	
2026-08-10.17:35:22	fmtlib__fmt-1683	C++	B	classified	S	S=70% E=5% T=0% B=26%	82	16.3	98	0.949	1		712.0	109.29	109.29	10.44	2.45	large	0.07	2308087	6770	98	submitted	
2026-08-10.17:56:47	caddyserver__caddy-4774	Go	A	classified	S	S=71% E=10% T=16% B=4%	167	13.9	194	0.943	5	call-step-mismatch(202v194)	1225.9	221.91	221.91	66.47	7.14	large	0.064	13795307	14396	202	submitted	
2026-08-10.18:06:34	apache__druid-13704	Java	J	classified	S	S=87% E=2% T=0% B=11%	84	19.2	104	0.904	3	call-step-mismatch(108v104)	516.6	26.1	26.1	12.37	2.51	measurable	0.011	2778568	4905	108	submitted	
2026-08-10.18:23:03	axios__axios-4731	JavaScript	N	classified	S	S=65% E=8% T=28% B=0%	80	11.1	90	0.956	1		923.6	13.42	13.42	9.74	2.52	measurable	0.074	2933802	3836	90	submitted	
2026-08-10.18:54:42	briannesbitt__carbon-2665	PHP	I	classified	S	S=60% E=1% T=39% B=0%	96	34.7	147	0.83	13	E7-consecutive-loop,call-step-mismatch(164v147)	1671.2	7.12	7.12	34.57	6.09	below-floor	0.003	9068418	11645	163		
2026-08-10.19:08:02	faker-ruby__faker-2705	Ruby	I	classified	S	S=89% E=2% T=9% B=0%	55	16.7	66	0.985	1		746.3	28.47	28.47	5.5	1.91	measurable	0.035	2035837	4651	68	submitted	
2026-08-10.19:42:23	astral-sh__ruff-15309	Rust	A	classified	S	S=76% E=9% T=12% B=4%	198	8.3	216	0.958	1		1971.5	596.03	596.03	95.72	9.47	large	0.074	14345226	63083	217	submitted	
2026-08-10.19:51:14	facebook__docusaurus-10130	TypeScript	N	classified	S	S=79% E=3% T=17% B=0%	63	18.2	77	0.974	1		417.5	22.24	22.24	7.41	1.8	measurable	0.024	2374572	3574	77	submitted	
2026-08-10.20:02:20	jqlang__jq-2598	C	B	classified	S	S=89% E=2% T=0% B=9%	94	21.0	119	0.933	1		614.8	73.71	73.71	16.81	3.21	large	0.102	3070784	6324	121	submitted	
2026-08-10.20:14:01	fmtlib__fmt-2310	C++	B	classified	S	S=66% E=5% T=6% B=24%	88	11.1	99	0.939	1		651.3	96.98	96.98	11.33	2.67	large	0.142	2659155	5632	99	submitted	
2026-08-10.20:35:52	caddyserver__caddy-4943	Go	A	classified	S	S=77% E=2% T=11% B=9%	123	15.2	145	0.938	5	call-step-mismatch(153v145)	1264.1	180.2	180.2	35.54	5.22	large	0.026	8563315	12870	153	submitted	
2026-08-10.20:44:13	apache__druid-14092	Java	J	classified	S	S=89% E=4% T=4% B=2%	47	25.4	63	0.937	1		438.4	462.31	462.31	4.31	1.39	large	0.168	1148173	3509	65	submitted	
2026-08-10.20:53:52	axios__axios-4738	JavaScript	N	classified	S	S=62% E=10% T=28% B=0%	60	16.7	72	0.958	1		521.8	6.2	6.2	5.76	1.68	below-floor	0.147	1863849	5176	74	submitted	
2026-08-10.21:05:56	briannesbitt__carbon-2752	PHP	I	classified	M	S=50% E=1% T=49% B=0%	82	18.8	101	0.921	2	call-step-mismatch(104v101)	684.0	10.93	10.93	11.71	2.65	measurable	0.044	2121675	6031	104	submitted	
2026-08-10.21:19:31	faker-ruby__faker-2970	Ruby	I	classified	S	S=80% E=3% T=16% B=0%	91	25.4	122	0.951	2		767.4	124.02	124.02	19.65	3.4	large	0.157	3978210	10658	123	submitted	
2026-08-10.22:02:20	astral-sh__ruff-15330	Rust	A	classified	S	S=73% E=7% T=12% B=8%	88	9.3	97	0.959	1	call-step-mismatch(100v97)	2492.0	581.29	581.29	13.3	4.51	large	0.056	4039888	10439	99		
2026-08-10.22:36:37	facebook__docusaurus-10309	TypeScript	N	classified	S	S=92% E=0% T=8% B=0%	325	3.0	335	0.94	11		1951.4	14.69	14.69	278.88	17.03	measurable	0.001	28122982	18	336		
2026-08-10.23:17:28	jqlang__jq-2650	C	B	classified	T	S=9% E=0% T=91% B=0%	367	17.3	444	0.39	1	E7-cyclic-loop,mechanism-not-witnessed	2401.6	19.7	19.7	572.69	26.74	measurable	0.0	19858037	14	445		
2026-08-10.23:27:39	fmtlib__fmt-2317	C++	B	classified	S	S=68% E=6% T=5% B=22%	88	12.0	100	0.94	1		560.1	269.19	269.19	11.31	2.37	large	0.161	2965619	4795	101	submitted	
2026-08-10.23:49:28	caddyserver__caddy-5404	Go	A	classified	S	S=68% E=3% T=24% B=5%	76	16.5	91	0.934	3	call-step-mismatch(96v91)	1254.5	106.84	106.84	11.66	3.04	large	0.012	4682762	7857	96	submitted	
